year,month,day,competition,home.team,away.team,rmd,notes,to be done
2016,1,23,international.friendly,USA,IRL,,"on FS1, replay likely will not be available from FOX Sports",7 days after I have replay
2016,1,24,W-League,Canberra United,Sydney FC,,replay may only be availabe if someone uploads a recording,
2016,1,25,W-League,Melbourne City,Brisbane Roar,,replay may only be availabe if someone uploads a recording,
2016,1,26,international.friendly,France,Norway,,replay may only be availabe if someone uploads a recording,
2016,1,26,international.friendly,Sweden,Scotland,,replay may only be availabe if someone uploads a recording,
