date,year,month,day,competition.slug,competition.string,home.team,away.team,matchup,rmd.link,match.csv.link,stats.csv.link,notes,round,location.data,home.FIFA.rank,away.FIFA.rank
2/8/15,2015,2,8,international-friendlies-2015,International Friendlies 2015,FRA,USA,FRA-USA,,https://raw.githubusercontent.com/amj2012/wosostats/master/source/csv/international-friendlies-2015/international-friendlies-2015-fra-usa-020815.csv,https://raw.githubusercontent.com/amj2012/wosostats/master/stats/international-friendlies-2015/international-friendlies-2015-fra-usa-020815.csv,,,no,3,2
2/13/15,2015,2,13,international-friendlies-2015,International Friendlies 2015,ENG,USA,ENG-USA,,https://raw.githubusercontent.com/amj2012/wosostats/master/source/csv/international-friendlies-2015/international-friendlies-2015-eng-usa-021315.csv,https://raw.githubusercontent.com/amj2012/wosostats/master/stats/international-friendlies-2015/international-friendlies-2015-eng-usa-021315.csv,,,no,6,2
4/11/15,2015,4,11,nwsl-2015,NWSL 2015,PTFC,BOS,PTFC-BOS,,https://raw.githubusercontent.com/amj2012/wosostats/master/source/csv/nwsl-2015/nwsl-2015-ptfc-bos-041115.csv,https://raw.githubusercontent.com/amj2012/wosostats/master/stats/nwsl-2015/nwsl-2015-ptfc-bos-041115.csv,,,no,,
4/18/15,2015,4,18,nwsl-2015,NWSL 2015,PTFC,WNYF,PTFC-WNYF,,https://raw.githubusercontent.com/amj2012/wosostats/master/source/csv/nwsl-2015/nwsl-2015-ptfc-wnyf-041815.csv,https://raw.githubusercontent.com/amj2012/wosostats/master/stats/nwsl-2015/nwsl-2015-ptfc-bos-041815.csv,,,no,,
7/22/15,2015,7,22,nwsl-2015,NWSL 2015,PTFC,SRFC,PTFC-SRFC,,https://raw.githubusercontent.com/amj2012/wosostats/master/source/csv/nwsl-2015/nwsl-2015-ptfc-srfc-072215.csv,https://raw.githubusercontent.com/amj2012/wosostats/master/stats/nwsl-2015/nwsl-2015-ptfc-srfc-072215.csv,,,yes,,
9/13/15,2015,9,13,nwsl-2015,NWSL 2015,CRS,FCKC,CRS-FCKC,,https://raw.githubusercontent.com/amj2012/wosostats/master/source/csv/nwsl-2015/nwsl-2015-semifinal-crs-fckc-091315.csv,https://raw.githubusercontent.com/amj2012/wosostats/master/stats/nwsl-2015/nwsl-2015-semifinal-crs-fckc-091315.csv,semifinal,,yes,,
9/13/15,2015,9,13,nwsl-2015,NWSL 2015,SRFC,WAS,SRFC-WAS,,https://raw.githubusercontent.com/amj2012/wosostats/master/source/csv/nwsl-2015/nwsl-2015-semifinal-srfc-was-091315.csv,https://raw.githubusercontent.com/amj2012/wosostats/master/stats/nwsl-2015/nwsl-2015-semifinal-srfc-was-091315.csv,semifinal,,yes,,
10/1/15,2015,10,1,nwsl-2015,NWSL 2015,SRFC,FCKC,SRFC-FCKC,,https://raw.githubusercontent.com/amj2012/wosostats/master/source/csv/nwsl-2015/nwsl-2015-championship-srfc-fckc-100115.csv,https://raw.githubusercontent.com/amj2012/wosostats/master/stats/nwsl-2015/nwsl-2015-championship-srfc-fckc-100115.csv,final,,yes,,
1/23/16,2016,1,23,international-friendlies-2016,International Friendlies 2016,USA,IRL,USA-IRL,,https://raw.githubusercontent.com/amj2012/wosostats/master/source/csv/international-friendlies-2016/international-friendlies-2016-usa-irl-012316.csv,https://raw.githubusercontent.com/amj2012/wosostats/master/stats/international-friendlies-2016/international-friendlies-2016-usa-irl-012316.csv,,,yes,1,32
2/5/16,2016,2,5,d1-feminine-2015-2016,D1 Feminine 2015/2016,PSG,LYON,PSG-LYON,,https://raw.githubusercontent.com/amj2012/wosostats/master/source/csv/d1-feminine-2015-2016/d1-feminine-2015-2016-psg-lyon-020516.csv,https://raw.githubusercontent.com/amj2012/wosostats/master/stats/d1-feminine-2015-2016/d1-feminine-2015-2016-psg-lyon-020516.csv,,,inc,,
