"event","time","poss.position","poss.team","poss.player","poss.action","poss.location","poss.play.destination","play.type","def.position","def.team","def.player","def.action","def.location","gk.ball.stop","gk.s.o.g.attempt","poss.player.disciplinary","poss.notes","def.player.disciplinary","def.notes","CORRECTION COMMENTS","NA","NA.1","NA.2","NA.3","NA.4","xG","poss.number","def.number"
"370","23","D","SBFC","Simon","passes.f","AM3C",NA,"launch","M","HOU","Heap","blocks","D3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"371","23","M","SBFC","Hayes","passes.b.c","A3C","AM3C",NA,"M","HOU","Privett","pressured","D3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"372","23","D","SBFC","Simon","passes.f","AM3C",NA,NA,"M","HOU","Privett","blocks","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"373","23","M","SBFC","Lytle","aerial.won","AM3L",NA,NA,"F","HOU","Ohai","aerial.lost","DM3R",NA,NA,NA,"out.of.bounds.lost.poss",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"374","23","D","HOU","Poliana","passes.f.c","AM3R","A3R","throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"375","23","F","HOU","Ubogagu","dispossessed","A3R",NA,NA,"D","SBFC","O'Hara","dispossessed","D3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"376","23","M","SBFC","Nick","recoveries","D3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"377","23","M","SBFC","Nick","passes.b.c","D3C","D3C",NA,"M","HOU","Andressa","pressured","A3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"378","23","D","SBFC","Rampone","passes.b.c","D3C","D18",NA,"M","HOU","Andressa","pressured","A3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"379","23","GK","SBFC","Stanley","passes.f","D18",NA,"launch","M","HOU","Privett","blocks","AM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"380","23","F","SBFC","Kai","recoveries","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"381","23","F","SBFC","Kai","passes.s.c","DM3C","DM3L",NA,"D","HOU","Brush","challenged","AM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"382","23","M","SBFC","Lytle","passes.s.c","DM3L","DM3C",NA,"D","HOU","Poliana","pressured","AM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"383","23","F","SBFC","Rodriguez","passes.b.c","DM3C","DM3C",NA,"M","HOU","Privett","pressured","AM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"384","23","M","SBFC","Nick","passes.f","DM3C",NA,"through","D","HOU","Chapman","blocks","D3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"385","23","D","SBFC","Simon","lost.touch","A3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"out.of.bounds.lost.poss",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"386","23","D","HOU","Chapman","passes.b.c","D3L","D3L","throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"387","24","D","HOU","Moros","passes.b.c","D3L","D18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"388","24","GK","HOU","Williams","passes.f.c","D18","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"389","24","D","HOU","Brush","passes.s.c","D3R","D3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"390","24","M","HOU","Privett","passes.s.c","D3C","D3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"391","24","D","HOU","Moros","movement","D3L","DM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"392","24","D","HOU","Moros","passes.f.c","DM3L","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"393","24","F","HOU","Daly","passes.f","AM3L",NA,"headed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"393","24",NA,NA,NA,NA,NA,NA,"flick.on","D","SBFC","Simon","interceptions","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"394","24","D","SBFC","Simon","passes.f.c","DM3R","DM3R","headed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"395","24","M","SBFC","Hayes","passes.s.c","DM3R","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"396","24","M","SBFC","Nick","passes.f.c","DM3R","AM3R",NA,"F","HOU","Ubogagu","pressured","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"397","24","M","SBFC","Killion","passes.f.c","AM3R","AM3C",NA,"M","HOU","Heap","pressured","DM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"397","24",NA,NA,NA,NA,NA,NA,NA,"M","HOU","Privett","pressured","DM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"398","24","F","SBFC","Kai","lost.touch","AM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"399","24","F","SBFC","Rodriguez","recoveries","AM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"400","24","F","SBFC","Rodriguez","dispossessed","AM3R",NA,NA,"D","HOU","Moros","dispossessed","DM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"401","24","D","HOU","Moros","passes.f.c","DM3L","DM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"402","24","F","HOU","Daly","passes.b","DM3L",NA,NA,"F","SBFC","Rodriguez","challenged","AM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"403","24","F","SBFC","Kai","recoveries","AM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"404","24","F","SBFC","Kai","passes.b.c","AM3R","AM3R",NA,"D","HOU","Chapman","pressured","DM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"404","24",NA,NA,NA,NA,NA,NA,NA,"D","HOU","Moros","pressured","DM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"405","24","F","SBFC","Rodriguez","passes.b","AM3R",NA,NA,"M","HOU","Andressa","blocks","DM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"406","24","M","HOU","Andressa","recoveries","DM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"407","24","M","HOU","Andressa","ball.shield","DM3L",NA,NA,"F","SBFC","Rodriguez","challenged","AM3R",NA,NA,"fouls.won",NA,"fouls.conceded",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"408","24",NA,NA,NA,"playcutoffbybroadcast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"409","25","D","HOU","Brush","passes.f.c","AM3R","AM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"410","25","D","HOU","Poliana","movement","AM3R","A3R",NA,"M","SBFC","Lytle","pressured","DM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"411","25","D","HOU","Poliana","passes.s","A3R",NA,"corner.crosses","M","SBFC","Lytle","pressured","D3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"411","25",NA,NA,NA,NA,NA,NA,NA,"D","SBFC","O'Hara","blocks","D3L",NA,NA,NA,"out.of.bounds.keep.poss",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"412","25","M","HOU","Andressa","passes.s","A3R",NA,"corner.kick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"413","25","D","HOU","Poliana","aerial.lost","A18",NA,NA,"F","SBFC","Kai","aerial.won","D18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"414","25","M","SBFC","Hayes","recoveries","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"415","25","M","SBFC","Hayes","passes.f","D3R",NA,"launch","D","HOU","Chapman","pressured","A3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"416","25","D","HOU","Moros","recoveries","AM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"417","25","D","HOU","Moros","passes.f","AM3C",NA,"through","F","SBFC","Kai","pressured","DM3C",NA,NA,NA,"out.of.bounds.lost.poss",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"418","26","D","SBFC","O'Hara","passes.f","D3L",NA,"throw.in","D","HOU","Poliana","clearances","A3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"419","26","GK","SBFC","Stanley","passes.f.c","D6","DM3L","goal.kick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"420","26","F","SBFC","Kai","aerial.won","DM3L",NA,NA,"M","HOU","Privett","aerial.lost","AM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"421","26","M","SBFC","Hayes","recoveries","AM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"422","26","M","SBFC","Hayes","passes.s.c","AM3C","AM3C",NA,"D","HOU","Moros","pressured","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"423","26","F","SBFC","Rodriguez","passes.f.c","AM3C","A3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"424","26","D","SBFC","Simon","passes.s.c","A3R","A3R",NA,"D","HOU","Chapman","pressured","D3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"425","26","F","SBFC","Rodriguez","passes.b.c","A3R","A3C",NA,"M","HOU","Privett","pressured","D3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"426","26","M","SBFC","Nick","passes.s","A3C",NA,"switch",NA,NA,NA,NA,NA,NA,NA,NA,"out.of.bounds.lost.poss",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"427","27","D","HOU","Poliana","passes.b.c","D3R","D3R","throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"428","27","D","HOU","Brush","passes.f.c","D3R","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"429","27","D","HOU","Poliana","passes.f","D3R",NA,NA,"D","SBFC","Skroski","clearances","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"430","27","F","HOU","Ubogagu","recoveries","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"431","27","F","HOU","Ubogagu","take.on.won","DM3R",NA,NA,"M","SBFC","Killion","dribbled.tackles.missed","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"432","27","F","HOU","Ubogagu","passes.s.c","DM3R","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"433","27","M","HOU","Heap","take.on.won","DM3C",NA,NA,"M","SBFC","Nick","dribbled.tackles.missed","AM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"434","27","M","HOU","Heap","passes.b.c","DM3C","DM3R",NA,"M","SBFC","Killion","pressured","AM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"435","27","M","HOU","Andressa","movement","DM3R","DM3C",NA,"F","SBFC","Rodriguez","pressured","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"436","27","M","HOU","Andressa","passes.s.c","DM3C","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"437","27","M","HOU","Privett","passes.f","DM3C",NA,NA,"F","SBFC","Rodriguez","pressured","AM3C",NA,NA,NA,"out.of.bounds.lost.poss",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"438","27","D","SBFC","Simon","passes.f.c","DM3R","DM3R","throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"439","27","M","SBFC","Hayes","passes.b.c","DM3R","DM3R",NA,"F","HOU","Daly","pressured","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"440","27","D","SBFC","Simon","passes.s.c","DM3R","DM3R",NA,"F","HOU","Daly","pressured","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"441","27","M","SBFC","Nick","passes.f.c","DM3R","DM3R",NA,"M","HOU","Heap","pressured","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"442","27","M","SBFC","Hayes","ball.shield","DM3R",NA,NA,"D","HOU","Chapman","challenged","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"443","27","M","SBFC","Hayes","passes.b.c","DM3R","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"444","27","M","SBFC","Nick","passes.f","DM3R",NA,"launch","F","HOU","Daly","pressured","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"444","27",NA,NA,NA,NA,NA,NA,NA,"M","HOU","Heap","pressured","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"444","27",NA,NA,NA,NA,NA,NA,NA,"F","HOU","Ohai","pressured","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"444","27",NA,NA,NA,NA,NA,NA,NA,"M","HOU","Privett","clearances","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"445","27","F","HOU","Daly","recoveries","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"446","27","F","HOU","Daly","passes.s","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"447","27","F","HOU","Ubogagu","recoveries","AM3C",NA,NA,"M","SBFC","Killion","challenged","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"448","27","F","HOU","Ubogagu","movement","AM3C","A3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"449","27","F","HOU","Ubogagu","shots.missed","A3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"out.of.bounds.lost.poss",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"450","28","GK","SBFC","Stanley","passes.f","D6",NA,"goal.kick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"451","28","F","HOU","Daly","recoveries","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"452","28","F","HOU","Daly","ball.shield","AM3L",NA,NA,"F","SBFC","Kai","challenged","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"453","28","F","HOU","Daly","take.on.lost","AM3L",NA,NA,"D","SBFC","Simon","tackles.ball","DM3R",NA,NA,NA,"out.of.bounds.keep.poss",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"454","28","D","HOU","Chapman","passes.f.c","AM3L","AM3L","throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"455","28","F","HOU","Daly","passes.s.c","AM3L","AM3L",NA,"D","SBFC","Simon","pressured","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"455","28",NA,NA,NA,NA,NA,NA,NA,"M","SBFC","Hayes","pressured","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"456","28","D","HOU","Chapman","passes.s.c","AM3L","AM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"457","28","M","HOU","Privett","passes.f","AM3C",NA,NA,"M","SBFC","Killion","blocks","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"458","28","F","SBFC","Rodriguez","recoveries","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"459","28","F","SBFC","Rodriguez","movement","DM3C","AM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"460","28","F","SBFC","Rodriguez","passes.s.c","AM3C","A3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"461","29","M","SBFC","Hayes","passes.b.c","A3R","AM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"462","29","M","SBFC","Nick","passes.s.c","AM3C","AM3L","switch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"463","29","D","SBFC","O'Hara","passes.s.c","AM3L","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"464","29","M","SBFC","Lytle","passes.f","AM3L",NA,"through","D","HOU","Poliana","interceptions","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"465","29","D","HOU","Poliana","passes.f.c","D3R","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"466","29","M","HOU","Andressa","movement","D3R","D3C",NA,"M","SBFC","Killion","pressured","A3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"467","29","M","HOU","Andressa","passes.b.c","D3C","D18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"468","29","GK","HOU","Williams","passes.s.c","D18","D3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"469","29","D","HOU","Moros","passes.f.c","D3L","DM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"470","29","D","HOU","Chapman","passes.b.c","DM3L","D3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"471","29","D","HOU","Moros","passes.b.c","D3L","D3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"472","29","GK","HOU","Williams","passes.f","D3C",NA,"launch",NA,NA,NA,NA,NA,NA,NA,NA,"out.of.bounds.lost.poss",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"473","29","D","SBFC","Simon","passes.f.c","DM3R","DM3R","throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"474","29","M","SBFC","Hayes","passes.b.c","DM3R","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"475","29","D","SBFC","Simon","passes.f","DM3R",NA,"launch","F","HOU","Daly","pressured","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"476","29","F","SBFC","Kai","aerial.lost","AM3R",NA,NA,"D","HOU","Brush","aerial.won","DM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"477","29","M","HOU","Andressa","recoveries","DM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"478","29","M","HOU","Andressa","passes.b","DM3L",NA,NA,"F","SBFC","Kai","blocks","AMR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"479","30","M","SBFC","Hayes","recoveries","AM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"480","30","M","SBFC","Hayes","passes.s.c","AM3R","AM3L","switch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"481","30","D","SBFC","O'Hara","movement","AM3L","A3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"482","30","D","SBFC","O'Hara","passes.f.c","A3L","A18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"483","30","F","SBFC","Rodriguez","passes.b.c","A18","A3L",NA,"M","HOU","Privett","challenged","D18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"484","30","D","SBFC","O'Hara","movement","A3L","A3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"485","30","D","SBFC","O'Hara","dispossessed","A3C",NA,NA,"M","HOU","Andressa","tackles.ball","D3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"486","30","D","HOU","Chapman","recoveries","D18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"487","30","D","HOU","Chapman","passes.f.c","D18","D3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"488","30","M","HOU","Heap","movement","D3C","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"489","30","M","HOU","Heap","passes.f","DM3C",NA,"through","D","SBFC","Simon","blocks","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"490","30","D","SBFC","Simon","recoveries","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"491","30","D","SBFC","Simon","passes.b.c","DM3C","D18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"492","30","GK","SBFC","Stanley","passes.f","D18",NA,"launch","D","HOU","Moros","clearances","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"493","30","D","SBFC","Simon","recoveries","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"494","30","D","SBFC","Simon","lost.touch","DM3R",NA,NA,"F","HOU","Daly","pressured","AM3L",NA,NA,NA,"out.of.bounds.lost.poss",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"495","30","D","HOU","Chapman","passes.s.c","AM3L","AM3L","throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"496","30","M","HOU","Andressa","passes.s.c","AM3L","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"497","30","D","HOU","Chapman","passes.f.c","AM3L","AM3L",NA,"F","SBFC","Kai","pressured","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"498","30","F","HOU","Ohai","ball.shield","AM3L",NA,NA,"D","SBFC","Simon","challenged","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"499","30","F","HOU","Ohai","dispossessed","AM3L",NA,NA,"M","SBFC","Hayes","tackles.ball","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"500","30","M","SBFC","Hayes","recoveries","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"501","30","M","SBFC","Hayes","passes.f","DM3R",NA,NA,"F","HOU","Ohai","challenged","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"502","30","D","HOU","Moros","recoveries","DM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
