"event","time","poss.position","poss.team","poss.player","poss.action","poss.location","poss.play.destination","play.type","def.position","def.team","def.player","def.action","def.location","gk.ball.stop","gk.s.o.g.attempt","poss.player.disciplinary","poss.notes","def.player.disciplinary","def.notes","poss.number","def.number"
1388,"90+5","M","PTFC","Long","passes.f.c","AMC","AC","headed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1389,"90+5","F","PTFC","Nadim","lost.touch","AC",NA,NA,"D","FCKC","Averbuch","clearances","DC",NA,NA,NA,NA,NA,NA,NA,NA
1390,"90+5","F","FCKC","Kastor","aerial.lost","DMC",NA,NA,"M","PTFC","Horan","aerial.won","AMC",NA,NA,NA,NA,NA,NA,NA,NA
1391,"90+5","F","PTFC","Heath","recoveries","AC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1392,"90+5","F","PTFC","Heath","passes.b.c","AC","AMC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1393,"90+5","M","PTFC","Long","passes.f.c","AMC","AL",NA,"M","FCKC","Laddish","pressured","DMC",NA,NA,NA,NA,NA,NA,NA,NA
1394,"90+5","D","PTFC","Klingenberg","passes.f.c","AL","AL",NA,"M","FCKC","Laddish","pressured","DR",NA,NA,NA,NA,NA,NA,NA,NA
1395,"90+5","M","PTFC","Long","fouls.won","AL",NA,NA,"F","FCKC","Kastor","fouls.conceded",NA,NA,NA,"fouls.won",NA,"fouls.conceded",NA,NA,NA
1396,"90+6","M","PTFC","Long","shots.stopped.by.gk","AL",NA,"free.kick","GK","FCKC","Barnhart","gk.s.o.g.stop","D6","caught","stooping",NA,NA,NA,NA,NA,NA
1397,"90+6","GK","FCKC","Barnhart","passes.f","DC",NA,"launch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1398,"90+6","D","PTFC","Reynolds","recoveries","DC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1399,"90+6","D","PTFC","Reynolds","passes.b.c","DC","D18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1400,"90+6","GK","PTFC","Betos","passes.f","D18","DMC","launch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1400,"90+6",NA,NA,NA,"end.of.match",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
