"event","time","poss.position","poss.team","poss.number","poss.player","poss.action","poss.location","poss.play.destination","play.type","def.position","def.team","def.number","def.player","def.action","def.location","gk.ball.stop","gk.s.o.g.attempt","poss.player.disciplinary","poss.notes","def.player.disciplinary","def.notes","xG"
37,"2","M","WNYF",NA,"Kennedy","passes.f.c","AM3C","AM3C",NA,"M","WAS",NA,"Huster","pressured","DM3C",NA,NA,NA,NA,NA,NA,NA
38,"2","F","WNYF",9,"L. Williams","passes.f","AM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"2","GK","WAS",NA,"Labbe","recoveries","D18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"3","GK","WAS",NA,"Labbe","movement","D18","D3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,"3","GK","WAS",NA,"Labbe","passes.f","D3C",NA,"launch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"3","F","WAS",20,"C. Williams","aerial.lost","AM3R",NA,NA,"D","WNYF",NA,"Hinkle","aerial.won","DM3L",NA,NA,NA,NA,NA,NA,NA
43,"3","M","WNYF",NA,"Kennedy","recoveries","DM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,"3","M","WNYF",NA,"Kennedy","passes.f.c","DM3L","DM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,"3","M","WNYF",NA,"Ayinde","passes.s.c","DM3L","DM3L",NA,"F","WAS",20,"C. Williams","pressured","AM3R",NA,NA,NA,NA,NA,NA,NA
45,"3",NA,NA,NA,NA,NA,NA,NA,NA,"M","WAS",NA,"Nairn","challenged","AM3R",NA,NA,NA,NA,NA,NA,NA
46,"3","D","WNYF",NA,"Hinkle","passes.f","DM3L",NA,NA,"D","WAS",NA,"Oyster","blocks","DM3R",NA,NA,NA,"out.of.bounds.keep.poss",NA,NA,NA
46,"3",NA,NA,NA,NA,NA,NA,NA,NA,"F","WAS",20,"C. Williams","pressured","AM3R",NA,NA,NA,NA,NA,NA,NA
47,"3","D","WNYF",NA,"Hinkle","passes.f.c","AM3L","A3L","throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,"3","M","WNYF",NA,"Ayinde","passes.s.c","A3L","A3L",NA,"D","WAS",NA,"Krieger","challenged","D3R",NA,NA,NA,NA,NA,NA,NA
49,"3","F","WNYF",NA,"Smith","passes.s","A3L",NA,NA,"M","WAS",NA,"Huster","pressured","D3R",NA,NA,NA,NA,NA,NA,NA
49,"3",NA,NA,NA,NA,NA,NA,NA,NA,"M","WAS",NA,"Lohman","interceptions","D3C",NA,NA,NA,NA,NA,NA,NA
50,"3","M","WAS",NA,"Lohman","passes.b.c","D3C","D3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,"3","D","WAS",NA,"Zadorsky","passes.b.c","D3C","D18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,"4","GK","WAS",NA,"Labbe","movement","D18","D3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,"4","GK","WAS",NA,"Labbe","passes.f.c","D3C","A3R","launch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,"4","F","WAS",20,"C. Williams","aerial.won","A3R",NA,NA,"D","WNYF",NA,"Hinkle","aerial.lost","D3L",NA,NA,NA,NA,NA,NA,NA
55,"4","M","WAS",NA,"Lohman","passes.s.c","AM3R","A3R","headed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,"4","M","WAS",NA,"Nairn","passes.f.c","A3R","A3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,"4","F","WAS",NA,"Dunn","passes.f.c","A3R","A18","through","D","WNYF",NA,"Erceg","pressured","D3L",NA,NA,NA,"key.passes",NA,NA,NA
57,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"assists",NA,NA,NA
58,"4","M","WAS",NA,"Matheson","shots.scored","A18",NA,NA,"GK","WNYF",NA,"D'Angelo","gk.s.o.g.scored","D6","missed.the.ball","diving",NA,"big.chances.scored",NA,NA,NA
58,"4",NA,NA,NA,NA,"playcutoffbybroadcast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,"5","M","WAS",NA,"Matheson","lost.touch","DM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,"5","M","WNYF",NA,"Ayinde","recoveries","AM3R",NA,NA,"M","WAS",NA,"Matheson","pressured","DM3L",NA,NA,NA,NA,NA,NA,NA
61,"5","M","WNYF",NA,"Ayinde","passes.b.c","AM3R","AM3R",NA,"M","WAS",NA,"Matheson","challenged","DM3L",NA,NA,NA,NA,NA,NA,NA
62,"5","D","WNYF",NA,"Eddy","passes.f.c","AM3R","AM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,"5","M","WNYF",NA,"Ayinde","lost.touch","AM3R",NA,NA,"M","WAS",NA,"Matheson","challenged","DM3L",NA,NA,NA,NA,NA,NA,NA
64,"5","M","WAS",NA,"Matheson","recoveries","DM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,"5","M","WAS",NA,"Matheson","dispossessed","DM3L",NA,NA,"F","WNYF",9,"L. Williams","dispossessed","AM3R",NA,NA,NA,NA,NA,NA,NA
65,"5",NA,NA,NA,NA,NA,NA,NA,NA,"M","WNYF",NA,"Ayinde","challenged","AM3R",NA,NA,NA,NA,NA,NA,NA
66,"5","F","WNYF",9,"L. Williams","passes.s.c","AM3R","A3C",NA,"M","WAS",NA,"Huster","pressured","DM3L",NA,NA,NA,NA,NA,NA,NA
67,"5","M","WNYF",NA,"Mewis","passes.f","A3C",NA,"through","GK","WAS",NA,"Labbe","gk.loose.balls.won","D18",NA,NA,NA,NA,NA,NA,NA
68,"5","GK","WAS",NA,"Labbe","movement","D18","D3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,"5","GK","WAS",NA,"Labbe","passes.f","D3C",NA,"launch","M","WNYF",NA,"Kennedy","clearances","DM3C",NA,NA,NA,NA,NA,NA,NA
70,"6","GK","WAS",NA,"Labbe","passes.f","D3C",NA,"launch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,"6","F","WAS",20,"C. Williams","aerial.lost","AM3R",NA,NA,"D","WNYF",NA,"Hinkle","aerial.lost","DM3L",NA,NA,NA,NA,NA,NA,NA
72,"6","F","WAS",NA,"Dunn","take.on.won","A3R",NA,NA,"D","WNYF",NA,"Erceg","dribbled.tackles.missed","D3L",NA,NA,NA,NA,NA,NA,NA
73,"6","F","WAS",NA,"Dunn","passes.f","A3R",NA,NA,"M","WNYF",NA,"Mewis","interceptions","D3L",NA,NA,NA,NA,NA,NA,NA
73,"6",NA,NA,NA,NA,NA,NA,NA,NA,"D","WNYF",NA,"Erceg","challenged","D3L",NA,NA,NA,NA,NA,NA,NA
74,"6","M","WNYF",NA,"Mewis","dispossessed","D3L",NA,NA,"F","WAS",NA,"Dunn","tackles.ball","A3R",NA,NA,NA,NA,NA,NA,NA
75,"6","M","WNYF",NA,"Kennedy","recoveries","D3L",NA,NA,"F","WAS",NA,"Dunn","pressured","A3R",NA,NA,NA,NA,NA,NA,NA
76,"6","M","WNYF",NA,"Kennedy","passes.s.c","D3L","D3L",NA,"F","WAS",NA,"Dunn","pressured","A3R",NA,NA,NA,NA,NA,NA,NA
77,"6","M","WNYF",NA,"Mewis","passes.f","D3L",NA,NA,"F","WAS",NA,"Dunn","pressured","A3R",NA,NA,NA,NA,NA,NA,NA
77,"6",NA,NA,NA,NA,NA,NA,NA,NA,"D","WAS",NA,"Krieger","interceptions","AM3R",NA,NA,NA,NA,NA,NA,NA
78,"6","D","WAS",NA,"Krieger","fouls.won","AM3R",NA,NA,"F","WNYF",NA,"Smith","fc (fouls.conceded)","DML",NA,NA,"fouls.won",NA,"fouls.conceded","fc (fouls.conceded)",NA
79,"6","D","WAS",NA,"Krieger","passes.f","AM3R",NA,"launch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,"6",NA,NA,NA,NA,NA,NA,NA,"free.kick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,"6","D","WNYF",NA,"Dahlkemper","recoveries","D3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,"6","D","WNYF",NA,"Dahlkemper","passes.f.c","D3C","D3C","headed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,"6","M","WNYF",NA,"Mewis","passes.f.c","D3C","DM3C","headed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,"6","M","WNYF",NA,"Ayinde","lost.touch","DM3C",NA,NA,"M","WAS",NA,"Huster","challenged","AM3C",NA,NA,NA,NA,NA,NA,NA
84,"6","M","WAS",NA,"Huster","recoveries","AM3C",NA,NA,"M","WNYF",NA,"Ayinde","pressured","DM3C",NA,NA,NA,NA,NA,NA,NA
85,"6","M","WAS",NA,"Huster","passes.f.c","AM3C","A3C",NA,"M","WNYF",NA,"Ayinde","pressured","DM3C",NA,NA,NA,NA,NA,NA,NA
86,"6","F","WAS",NA,"Dunn","passes.s","A3C",NA,NA,"D","WNYF",NA,"Erceg","blocks","DC",NA,NA,NA,NA,NA,NA,NA
86,"6",NA,NA,NA,NA,NA,NA,NA,NA,"D","WNYF",NA,"Erceg","pressured","D3C",NA,NA,NA,NA,NA,NA,NA
87,"6","D","WNYF",NA,"Eddy","clearances","D3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,"6","D","WAS",NA,"Krieger","recoveries","AM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,"6","D","WAS",NA,"Krieger","passes.f.c","AM3C","AM3C","headed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,"7","M","WAS",NA,"Lohman","dispossessed","AM3C",NA,NA,"M","WNYF",NA,"Kennedy","tackles.ball","DM3C",NA,NA,NA,NA,NA,NA,NA
91,"7","M","WAS",NA,"Huster","recoveries","AM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,"7","M","WAS",NA,"Huster","passes.f","AM3C",NA,NA,"M","WNYF",NA,"Ayinde","pressured","DM3C",NA,NA,NA,NA,NA,NA,NA
92,"7",NA,NA,NA,NA,NA,NA,NA,NA,"D","WNYF",NA,"Eddy","interceptions","DM3C",NA,NA,NA,NA,NA,NA,NA
93,"7","D","WNYF",NA,"Eddy","passes.s.c","DM3C","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,"7","M","WNYF",NA,"Kennedy","passes.b.c","DM3C","D3C",NA,"F","WAS",NA,"Dunn","pressured","AM3C",NA,NA,NA,NA,NA,NA,NA
95,"7","D","WNYF",NA,"Dahlkemper","passes.s.c","D3C","DM3R",NA,"F","WAS",NA,"Dunn","pressured","A3C",NA,NA,NA,NA,NA,NA,NA
96,"7","D","WNYF",NA,"Eddy","passes.f.c","DM3R","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,"7","F","WNYF",9,"L. Williams","take.on.lost","DM3R",NA,NA,"D","WAS",NA,"Kleiner","ball.shield","AML",NA,NA,NA,"out.of.bounds.lost.poss",NA,NA,NA
98,"7","D","WAS",NA,"Kleiner","passes.s.c","DM3L","DM3L","throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,"7","M","WAS",NA,"Matheson","passes.s.c","DM3L","DM3L","headed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,"7","D","WAS",NA,"Kleiner","passes.f.c","DM3L","AM3L",NA,"F","WNYF",9,"L. Williams","pressured","AM3R",NA,NA,NA,NA,NA,NA,NA
101,"7","F","WAS",NA,"Dunn","lost.touch","AM3L",NA,NA,"D","WNYF",NA,"Eddy","challenged","DM3R",NA,NA,NA,NA,NA,NA,NA
102,"7","M","WAS",NA,"Lohman","recoveries","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
