"Player","Team","MP","GS","Goals","Shots","Shot.Accuracy","Shot.GK.Stop","Shot.Def.Stop","Shot.Miss","Shot.Pressd","Pct.Shots.Pressd","A6.Shots","A18.Shots","A3L.Shots","A3C.Shots","A3R.Shots","Far.Shots","Assists","Key.Passes","KP.to.Goal","Key.Assists","Second.Assists","Unscored.Key.Passes","KP.Goal","Big.Chances","BC.Scored","BC.to.Goal","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Cross.Comp","Cross.Comp.Pct","Cross.Att","Corner.Crosses","Deep.Crosses","Launch.Comp","Launch.Comp.Pct","Launch.Att","Through.Comp","Through.Comp.Pct","Through.Att","Throw.In.Comp","Throw.In.Comp.Pct","Throw.In.Att","Corner.Kicks.Completed","CK.Effectiveness","Corner.Kicks.Taken","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Comp.Pct","FK.Pass.Att","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","Pass.Comp","Pass.Comp.Pct","Pass.Att","opPass.Comp","opPass.Comp.Pct","opPass.Att","opPPass.Comp","opPPass.Comp.Pct","opPPass.Att","Pct.opPass.Pressd","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","Pct.Pass.Pressd","PPass.Comp","PPass.Comp.Pct","PPass.Att","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","TO.Won","TO.Win.Pct","Take.Ons","TO.Lost","Dispossessed","Lost.Touches","AD.Won","AD.Win.Pct","Aerial.Duels","AD.Lost","Tackles","Dispossesses","Dribbled","Press.Opp","Challenge.Opp","Recoveries","Def.Recoveries","Poss.Recoveries","Interceptions","Blocks","Clearances","Balls.Shields","Saves","Goals.Allowed","SOG.Faced","GperSOG","BC.SOG.Faced","BC.Saves","BC.Goals.Allowed","GperBCSOG","High.Balls","HB.Won","HB.Lost","HB.Caught","HB.Punched","HB.Parried","HB.Collected","HB.Fouls.Won","Crosses","Crosses.Won","Crosses.Lost","Corner.Kicks","CKs.Won","CKs.Lost","Free.Kicks","FKs.Won","FKs.Lost","Smothers.Won","Smothers.Lost","All.Pass.Comp","Distribution.Success","All.Pass.Att","Throw.Comp","Throw.Comp.Pct","Throw.Att","Drop.Kick.Comp","Drop.Kick.Comp.Pct","Drop.Kick.Att","GK.FK.Comp","GK.FK.Comp.Pct","GK.FK.Att"
"A. Johnson","PUR",57,1,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,6,0.545454545454545,11,6,0.545454545454545,11,5,0.625,8,0.727272727272727,0.545454545454545,0,0.454545454545455,2,6,0.333333333333333,0,0,NA,4,5,0.8,0.727272727272727,5,0.625,8,0.5,0,0.5,2,4,0.5,0,0,NA,3,4,0.75,3,0.6,5,2,0,0,2,0.4,5,3,0,0,1,10,2,5,1,4,0,1,3,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0
"Acosta","CRC",96,1,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,3,0.333333333333333,9,0,NA,0,0,NA,0,0,NA,0,0,0,5,0.833333333333333,6,0,0,0,0,6,31,0.720930232558139,43,26,0.702702702702703,37,8,0.8,10,0.27027027027027,0.697674418604651,0.0930232558139535,0.209302325581395,18,30,0.6,4,4,1,9,9,1,0.232558139534884,8,0.8,10,0.7,0.1,0.2,5,7,0.714285714285714,1,1,1,2,2,1,0,NA,0,0,0,0,1,0.2,5,4,1,0,1,13,4,5,3,2,4,4,5,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0
"Alvarado","CRC",47,1,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,1,0.5,2,0,NA,0,0,NA,0,0,NA,0,0,0,1,0.333333333333333,3,0,0,0,0,3,18,0.782608695652174,23,17,0.85,20,8,0.888888888888889,9,0.45,0.478260869565217,0.260869565217391,0.260869565217391,6,11,0.545454545454545,6,6,1,6,6,1,0.391304347826087,8,0.888888888888889,9,0.333333333333333,0.222222222222222,0.444444444444444,2,3,0.666666666666667,2,2,1,4,4,1,0,NA,0,0,0,1,0,0,1,1,0,0,2,10,0,2,2,0,1,1,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0
"Attin-Johnson","TRI",92,1,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,14,0.823529411764706,17,14,0.823529411764706,17,11,0.846153846153846,13,0.764705882352941,0.588235294117647,0.117647058823529,0.294117647058824,7,10,0.7,2,2,1,5,5,1,0.764705882352941,11,0.846153846153846,13,0.538461538461538,0.0769230769230769,0.384615384615385,5,7,0.714285714285714,1,1,1,5,5,1,0,0,2,2,0,0,3,0.5,6,3,0,0,2,33,5,9,5,4,1,6,3,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0
"Barrantes","CRC",96,1,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,1,1,1,1,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,12,0.705882352941177,17,12,0.705882352941177,17,10,0.833333333333333,12,0.705882352941177,0.529411764705882,0.0588235294117647,0.411764705882353,5,9,0.555555555555556,1,1,1,6,7,0.857142857142857,0.705882352941177,10,0.833333333333333,12,0.5,0.0833333333333333,0.416666666666667,4,6,0.666666666666667,1,1,1,5,5,1,1,1,1,0,2,2,2,0.333333333333333,6,4,1,0,2,29,2,2,0,2,0,1,1,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0
"Belanger","CAN",94,1,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,1,0,1,0.2,5,0,NA,0,1,1,1,0,NA,0,0,0,0,NA,0,0,0,0,0,0,24,0.705882352941177,34,23,0.696969696969697,33,8,0.666666666666667,12,0.363636363636364,0.441176470588235,0.323529411764706,0.235294117647059,7,15,0.466666666666667,10,11,0.909090909090909,7,8,0.875,0.352941176470588,8,0.666666666666667,12,0.416666666666667,0.416666666666667,0.166666666666667,2,5,0.4,5,5,1,1,2,0.5,2,0.4,5,3,2,0,1,0.333333333333333,3,2,1,0,3,28,1,9,8,1,1,3,2,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0
"Blair","TRI",92,1,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,1,0.25,4,0,NA,0,8,0.8,10,0,NA,0,0,0,0,0,1,0,0,0,0,1,12,0.666666666666667,18,4,0.571428571428571,7,2,0.666666666666667,3,0.428571428571429,0.944444444444444,0,0.0555555555555556,11,17,0.647058823529412,0,0,NA,1,1,1,0.166666666666667,2,0.666666666666667,3,1,0,0,2,3,0.666666666666667,0,0,NA,0,0,NA,0,0,1,1,2,0,3,0.6,5,2,1,0,3,16,3,5,2,3,3,2,5,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0
"Brian","USA",394,4,0,2,0,0,0,2,1,0.5,0,0,0,2,0,0,3,2,0.5,1,0,1,1,0,0,NA,0,0,0,1,0,4,0.5,8,9,0,6,0.461538461538462,13,6,0.75,8,0,NA,0,12,0.5,24,1,0,4,0.5,8,0,0,1,0,9,289,0.867867867867868,333,273,0.906976744186046,301,117,0.906976744186046,129,0.428571428571429,0.417417417417417,0.285285285285285,0.297297297297297,115,139,0.827338129496403,80,95,0.842105263157895,94,99,0.94949494949495,0.39039039039039,117,0.9,130,0.407692307692308,0.230769230769231,0.361538461538462,45,53,0.849056603773585,29,30,0.966666666666667,43,47,0.914893617021277,12,0.857142857142857,14,2,4,6,11,0.523809523809524,21,10,7,0,1,59,29,42,25,16,10,10,7,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0
"Buchanan","CAN",94,1,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,0,1,0,0,3,0,NA,0,0,0,1,0,NA,0,0,0,1,1,1,0,0,0,0,1,20,0.769230769230769,26,19,0.791666666666667,24,9,0.818181818181818,11,0.458333333333333,0.615384615384615,0.192307692307692,0.192307692307692,10,16,0.625,5,5,1,5,5,1,0.423076923076923,9,0.818181818181818,11,0.636363636363636,0.0909090909090909,0.272727272727273,5,7,0.714285714285714,1,1,1,3,3,1,1,0.5,2,1,1,0,3,0.5,6,3,1,0,0,5,0,3,2,1,2,3,6,2,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0
"Carrion","PUR",37,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,0,1,0,NA,0,0,0,0,NA,0,0,0,0,0,0,2,0.4,5,2,0.5,4,1,0.333333333333333,3,0.75,0.8,0.2,0,1,4,0.25,1,1,1,0,0,NA,0.6,1,0.333333333333333,3,0.666666666666667,0.333333333333333,0,0,2,0,1,1,1,0,0,NA,1,1,1,0,0,2,0,0,2,2,2,0,2,2,1,2,0,2,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0
