"Player","Team","MP","GS","Goals","Shots","Shot.Accuracy","Shot.GK.Stop","Shot.Def.Stop","Shot.Miss","Shot.Pressd","Pct.Shots.Pressd","A6.Shots","A18.Shots","A3L.Shots","A3C.Shots","A3R.Shots","Far.Shots","Assists","Key.Passes","KP.to.Goal","Key.Assists","Second.Assists","Unscored.Key.Passes","KP.Goal","Big.Chances","BC.Scored","BC.to.Goal","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Cross.Comp","Cross.Comp.Pct","Cross.Att","Corner.Crosses","Deep.Crosses","Launch.Comp","Launch.Comp.Pct","Launch.Att","Through.Comp","Through.Comp.Pct","Through.Att","Throw.In.Comp","Throw.In.Comp.Pct","Throw.In.Att","Corner.Kicks.Completed","CK.Effectiveness","Corner.Kicks.Taken","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Comp.Pct","FK.Pass.Att","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","Pass.Comp","Pass.Comp.Pct","Pass.Att","opPass.Comp","opPass.Comp.Pct","opPass.Att","opPPass.Comp","opPPass.Comp.Pct","opPPass.Att","Pct.opPass.Pressd","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","Pct.Pass.Pressd","PPass.Comp","PPass.Comp.Pct","PPass.Att","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","TO.Won","TO.Win.Pct","Take.Ons","TO.Lost","Dispossessed","Lost.Touches","AD.Won","AD.Win.Pct","Aerial.Duels","AD.Lost","Tackles","Dispossesses","Dribbled","Press.Opp","Challenge.Opp","Recoveries","Def.Recoveries","Poss.Recoveries","Interceptions","Blocks","Clearances","Balls.Shields","Saves","Goals.Allowed","SOG.Faced","GperSOG","BC.SOG.Faced","BC.Saves","BC.Goals.Allowed","GperBCSOG","High.Balls","HB.Won","HB.Lost","HB.Caught","HB.Punched","HB.Parried","HB.Collected","HB.Fouls.Won","Crosses","Crosses.Won","Crosses.Lost","Corner.Kicks","CKs.Won","CKs.Lost","Free.Kicks","FKs.Won","FKs.Lost","Smothers.Won","Smothers.Lost","All.Pass.Comp","Distribution.Success","All.Pass.Att","Throw.Comp","Throw.Comp.Pct","Throw.Att","Drop.Kick.Comp","Drop.Kick.Comp.Pct","Drop.Kick.Att","GK+FK.Comp","GK+FK.Comp.Pct","GK+FK.Att"
"Lawrence","CAN",94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.75,4,4,0,0,0,0,0,0,1,1,1,1,1,0.5,2,0,0,0,0,0,0,0,0,0,0,9,0.529411764705882,17,7,0.5,14,6,0.6,10,0.714285714285714,0.529411764705882,0.294117647058824,0.176470588235294,3,9,0.333333333333333,3,5,0.6,3,3,1,0.642857142857143,0.285714285714286,0.0714285714285714,3,9,0.333333333333333,3,4,0.75,1,1,1,0.588235294117647,6,0.6,10,0.7,0.2,0.1,3,7,0.428571428571429,2,2,1,1,1,1,3,0.75,4,1,1,1,1,0.111111111111111,9,8,3,0,6,30,4,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lloyd","USA",94,1,0,3,0,0,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.625,24,15,0.625,24,9,0.692307692307692,13,0.541666666666667,0.583333333333333,0.125,0.291666666666667,5,14,0.357142857142857,3,3,1,7,7,1,0.583333333333333,0.125,0.291666666666667,5,14,0.357142857142857,3,3,1,7,7,1,0.541666666666667,9,0.692307692307692,13,0.538461538461538,0.230769230769231,0.230769230769231,3,7,0.428571428571429,3,3,1,3,3,1,1,0.333333333333333,3,2,1,1,6,0.6,10,4,1,0,6,23,12,7,5,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Matheson","CAN",36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,2,0,0,0,2,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,14,0.823529411764706,17,12,0.857142857142857,14,11,0.916666666666667,12,0.857142857142857,0.470588235294118,0.176470588235294,0.352941176470588,5,8,0.625,3,3,1,6,6,1,0.5,0.214285714285714,0.285714285714286,5,7,0.714285714285714,3,3,1,4,4,1,0.705882352941177,11,0.916666666666667,12,0.5,0.166666666666667,0.333333333333333,5,6,0.833333333333333,2,2,1,4,4,1,1,0.5,2,1,1,1,2,0.666666666666667,3,1,0,0,0,5,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Morgan","USA",73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.538461538461538,13,7,0.538461538461538,13,4,0.4,10,0.769230769230769,0.384615384615385,0.230769230769231,0.384615384615385,0,5,0,2,3,0.666666666666667,5,5,1,0.384615384615385,0.230769230769231,0.384615384615385,0,5,0,2,3,0.666666666666667,5,5,1,0.769230769230769,4,0.4,10,0.5,0.1,0.4,0,5,0,0,1,0,4,4,1,1,1,1,0,2,1,7,0.7,10,3,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O'Hara","USA",94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.25,4,3,1,1,0.5,2,1,1,1,5,0.714285714285714,7,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0.773584905660377,53,36,0.782608695652174,46,15,0.833333333333333,18,0.391304347826087,0.679245283018868,0.207547169811321,0.113207547169811,26,36,0.722222222222222,9,11,0.818181818181818,6,6,1,0.673913043478261,0.217391304347826,0.108695652173913,23,31,0.741935483870968,8,10,0.8,5,5,1,0.339622641509434,15,0.833333333333333,18,0.777777777777778,0.111111111111111,0.111111111111111,11,14,0.785714285714286,2,2,1,2,2,1,2,1,2,0,1,0,5,0.833333333333333,6,1,1,0,2,2,4,3,3,0,7,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Press","USA",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0.5,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0.5,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0.2,5,4,0,0,0,9,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prince","CAN",62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.777777777777778,9,7,0.777777777777778,9,6,0.75,8,0.888888888888889,0.444444444444444,0.111111111111111,0.444444444444444,3,4,0.75,1,1,1,3,4,0.75,0.444444444444444,0.111111111111111,0.444444444444444,3,4,0.75,1,1,1,3,4,0.75,0.888888888888889,6,0.75,8,0.375,0.125,0.5,2,3,0.666666666666667,1,1,1,3,4,0.75,0,0,1,1,0,0,0,0,2,2,0,0,3,11,4,3,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pugh","USA",90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,4,1,4,4,0,0,0,0,1,0.25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0.791666666666667,24,19,0.791666666666667,24,15,0.789473684210526,19,0.791666666666667,0.291666666666667,0.291666666666667,0.416666666666667,2,7,0.285714285714286,7,7,1,10,10,1,0.291666666666667,0.291666666666667,0.416666666666667,2,7,0.285714285714286,7,7,1,10,10,1,0.791666666666667,15,0.789473684210526,19,0.315789473684211,0.210526315789474,0.473684210526316,2,6,0.333333333333333,4,4,1,9,9,1,3,0.6,5,2,5,1,1,0.333333333333333,3,2,1,0,2,20,7,9,4,5,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Quinn","CAN",58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,11,0.611111111111111,18,11,0.647058823529412,17,7,0.875,8,0.470588235294118,0.722222222222222,0.166666666666667,0.111111111111111,6,13,0.461538461538462,3,3,1,2,2,1,0.705882352941177,0.176470588235294,0.117647058823529,6,12,0.5,3,3,1,2,2,1,0.444444444444444,7,0.875,8,0.625,0.25,0.125,4,5,0.8,2,2,1,1,1,1,1,1,1,0,1,0,2,0.25,8,6,0,0,1,23,4,8,4,4,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sauerbrunn","USA",94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0.905660377358491,53,48,0.923076923076923,52,9,0.818181818181818,11,0.211538461538462,0.471698113207547,0.39622641509434,0.132075471698113,21,25,0.84,20,21,0.952380952380952,7,7,1,0.480769230769231,0.384615384615385,0.134615384615385,21,25,0.84,20,20,1,7,7,1,0.207547169811321,9,0.818181818181818,11,0.454545454545455,0.272727272727273,0.272727272727273,3,5,0.6,3,3,1,3,3,1,1,1,1,0,0,0,5,0.625,8,3,0,0,0,4,1,14,6,8,1,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
