"Player","Team","MP","GS","Goals","Shots","Shot.Accuracy","Shot.GK.Stop","Shot.Def.Stop","Shots.Miss","Shot.Pressd","Pct.Shots.Pressd","A6.Shots","A18.Shots","A3L.Shots","A3C.Shots","A3R.Shots","Far.Shots","Assists","Key.Passes","KP.to.Goal","Key.Assists","2nd.Assists","Unscored.Key.Passes","KP.Goal","Big.Chances","BC.Scored","BC.to.Goal","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Crosses.Comp","Cross.Comp.Pct","Cross.Att","Corner.Crosses","Deep.Crosses","Through.Comp","Through.Comp.Pct","Through.Att","Passes.Comp","Pass.Comp.Pct","Pass.Att","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","Pct.Pass.Pressd","PPass.Comp","PPass.Comp.Pct","PPass.Att","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","TO.Won","TO.Win.Pct","Take.Ons","TO.Lost","Dispossessed","Lost.Touches","AD.Won","AD.Win.Pct","Aerial.Duels","AD.Lost","Tackles","Dispossesses","Dribbled","Press.Opp","Challenge.Opp","Recoveries","Interceptions","Blocks","Clearances","Balls.Shielded","Saves","Goals.Allowed","HB.Won","HB.Lost","HB.Caught","HB.Punched","HB.Parried","HB.Collected","HB.Fouls.Won","Crosses.Won","CKs.Won","FKs.Won","Smothers.Won","Smothers.Lost"
"Johnston","USA",94,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0.845070422535211,71,0.676056338028169,0.23943661971831,0.0845070422535211,38,48,0.791666666666667,16,17,0.941176470588235,6,6,1,0.154929577464789,9,0.818181818181818,11,0.727272727272727,0.0909090909090909,0.181818181818182,6,8,0.75,1,1,1,2,2,1,1,1,1,0,0,1,1,0.5,2,1,1,0,0,1,0,11,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Klingenberg","USA",94,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,44,0.916666666666667,48,0.354166666666667,0.1875,0.458333333333333,14,17,0.823529411764706,8,9,0.888888888888889,22,22,1,0.25,12,1,12,0.416666666666667,0.0833333333333333,0.5,5,5,1,1,1,1,6,6,1,4,0.5,8,4,1,0,2,1,2,0,0,0,1,1,4,5,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krieger","USA",75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,2,2,0,0,0,1,32,0.761904761904762,42,0.547619047619048,0.285714285714286,0.166666666666667,15,23,0.652173913043478,10,12,0.833333333333333,7,7,1,0.261904761904762,8,0.727272727272727,11,0.454545454545455,0.545454545454545,0,3,5,0.6,5,6,0.833333333333333,0,0,0,1,1,1,0,0,1,3,0.75,4,1,2,0,1,2,1,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lloyd","USA",94,1,1,3,0.666666666666667,1,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,20,0.8,25,0.48,0.32,0.2,8,12,0.666666666666667,7,8,0.875,5,5,1,0.4,10,1,10,0.7,0.2,0.1,7,7,1,2,2,1,1,1,1,6,0.666666666666667,9,3,6,1,5,0.555555555555556,9,4,1,0,2,12,2,11,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mejia","MEX",94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.727272727272727,11,0.545454545454545,0.0909090909090909,0.363636363636364,3,6,0.5,1,1,1,4,4,1,0.454545454545455,5,1,5,0.4,0.2,0.4,2,2,1,1,1,1,2,2,1,1,0.5,2,1,0,1,5,0.714285714285714,7,2,2,0,2,11,1,9,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Morgan","USA",83,1,0,2,0,0,0,2,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.333333333333333,3,3,0,0,0,0,12,0.666666666666667,18,0,0.555555555555556,0.444444444444444,0,0,0,5,10,0.5,7,8,0.875,0.722222222222222,8,0.615384615384615,13,0,0.461538461538462,0.538461538461538,0,0,0,2,6,0.333333333333333,6,7,0.857142857142857,4,1,4,0,2,1,2,0.666666666666667,3,1,0,0,1,4,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nieto","MEX",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,2,0.5,0.5,0,1,1,1,0,1,0,0,0,0,0.5,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Noyola","MEX",86,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.6,15,0.6,0.2,0.2,4,9,0.444444444444444,2,3,0.666666666666667,3,3,1,0.266666666666667,3,0.75,4,0.75,0,0.25,2,3,0.666666666666667,0,0,0,1,1,1,2,1,2,0,0,0,0,0,2,2,0,0,3,19,2,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ocampo","MEX",94,1,0,2,0.5,1,0,1,1,0.5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6,0.4,15,0.4,0.333333333333333,0.266666666666667,2,6,0.333333333333333,1,5,0.2,3,4,0.75,0.6,6,0.666666666666667,9,0.333333333333333,0.222222222222222,0.444444444444444,2,3,0.666666666666667,1,2,0.5,3,4,0.75,2,0.4,5,3,2,0,1,0.5,2,1,4,0,6,22,5,9,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Perez","MEX",70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.631578947368421,19,0.684210526315789,0.263157894736842,0.0526315789473684,6,13,0.461538461538462,5,5,1,1,1,1,0.473684210526316,7,0.777777777777778,9,0.666666666666667,0.222222222222222,0.111111111111111,4,6,0.666666666666667,2,2,1,1,1,1,1,0.5,2,1,1,1,1,0.5,2,1,2,0,1,20,2,4,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Press","USA",49,0,0,2,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,15,0.652173913043478,23,0.521739130434783,0.173913043478261,0.304347826086957,7,12,0.583333333333333,2,4,0.5,6,7,0.857142857142857,0.391304347826087,6,0.666666666666667,9,0.333333333333333,0.444444444444444,0.222222222222222,2,3,0.666666666666667,2,4,0.5,2,2,1,0,0,1,1,3,1,0,0,0,0,1,0,0,3,0,9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pugh","USA",19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,4,0.25,0.75,0,1,1,1,3,3,1,0,0,0,0.5,2,1,2,0.5,0.5,0,1,1,1,1,1,1,0,0,0,1,0.5,2,1,0,1,2,1,2,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rangel","MEX",94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,14,0.7,20,0.5,0.25,0.25,6,10,0.6,3,5,0.6,5,5,1,0.5,7,0.7,10,0.5,0.2,0.3,3,5,0.6,1,2,0.5,3,3,1,1,0.5,2,1,1,0,8,0.444444444444444,18,10,3,0,5,12,10,8,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Romero","MEX",94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.25,24,0.958333333333333,0,0.0416666666666667,5,23,0.217391304347826,0,0,0,1,1,1,0.166666666666667,2,0.5,4,1,0,0,2,4,0.5,0,0,0,0,0,0,1,1,1,0,0,0,3,0.5,6,3,2,0,2,13,2,3,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Samarzich","MEX",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Santiago","MEX",94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.481481481481481,27,0.962962962962963,0.037037037037037,0,12,26,0.461538461538462,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,4,1,1,0,0,0,0,1,0,0,0,0,0,0
"Sauerbrunn","USA",94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0.901408450704225,71,0.52112676056338,0.380281690140845,0.0985915492957746,33,37,0.891891891891892,24,27,0.888888888888889,7,7,1,0.0985915492957746,7,1,7,0.428571428571429,0.142857142857143,0.428571428571429,3,3,1,1,1,1,3,3,1,0,0,0,0,0,0,1,0.5,2,1,0,0,0,3,2,7,1,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Solo","USA",94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,11,1,0,0,11,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0
