match_id,competition_slug,date,matchup,lineup_player_id,team,position,player,aerial_duels,aerials_won,clearances,dispossessed,pass_att,pass_comp,ppass_att,ppass_comp,op_pass_att,op_pass_comp,op_ppass_att,op_ppass_comp,fw_pass_att,fw_pass_comp,s_pass_att,s_pass_comp,b_pass_att,b_pass_comp,fw_op_pass_att,fw_op_pass_comp,s_op_pass_att,s_op_pass_comp,b_op_pass_att,b_op_pass_comp,fw_ppass_att,fw_ppass_comp,s_ppass_att,s_ppass_comp,b_ppass_att,b_ppass_comp,recoveries,shots,goals,shots_missed,shots_blocked,shots_saved,shots_pressed,take_ons,take_ons_won,crosses,crosses_comp,launch_att,launch_comp,ck_taken,ck_comp,ck_assists,ck_key_passes,fk_taken,fk_passatt,fk_passcomp,fk_shot,fk_scored,fk_assists,fk_key_passes,through_att,through_comp,throwin_att,throwin_comp,assists,blocks,shot_blocks,pass_blocks,dispossess_opp,interceptions,tackles,dribbled_byopp,pressured_opp,challenged_opp,ball_shields,gk_saves,gk_goal_conceded,gk_bigchances_saved,gk_bigchances_conceded,gk_bigchances_sog_faced,gk_highballs,gk_highballs_won,big_chances,bc_goals,bc_sog,bc_smiss,bc_dispossessed,bc_lost,bc_created,key_passes,key_assists,second_assists,err_togoals,err_tobc,bc_stopped,own_goals
100001,international-friendlies-2015,2/8/15,FRA-USA,112,FRA,M,Lavogez,2,0,0,0,8,7,6,5,7,6,6,5,4,4,2,1,2,2,3,3,2,1,2,2,3,3,1,0,2,2,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100001,international-friendlies-2015,2/8/15,FRA-USA,113,FRA,M,Hamaroui,0,0,0,0,7,5,3,3,7,5,3,3,6,5,0,0,1,0,6,5,0,0,1,0,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100001,international-friendlies-2015,2/8/15,FRA-USA,114,FRA,M,Dali,1,0,2,2,16,11,15,10,16,11,15,10,5,3,5,3,6,5,5,3,5,3,6,5,4,2,5,3,6,5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100001,international-friendlies-2015,2/8/15,FRA-USA,115,FRA,F,Delie,0,0,0,0,6,4,4,3,6,4,4,3,0,0,1,0,5,4,0,0,1,0,5,4,0,0,1,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100001,international-friendlies-2015,2/8/15,FRA-USA,116,FRA,F,Bussaglia,0,0,0,0,13,10,9,6,13,10,9,6,9,6,1,1,3,3,9,6,1,1,3,3,7,4,1,1,1,1,5,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100001,international-friendlies-2015,2/8/15,FRA-USA,117,USA,GK,Harris,0,0,1,0,13,10,0,0,8,8,0,0,13,10,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100001,international-friendlies-2015,2/8/15,FRA-USA,118,USA,D,Klingenberg,4,1,2,1,43,40,19,18,33,31,19,18,19,18,6,5,18,17,15,14,5,4,13,13,9,9,3,2,7,7,9,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,10,9,0,4,0,4,1,4,3,0,18,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100001,international-friendlies-2015,2/8/15,FRA-USA,119,USA,D,Engen,1,1,6,0,39,33,9,6,39,33,9,6,21,15,15,15,3,3,21,15,15,15,3,3,6,3,1,1,2,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,1,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100001,international-friendlies-2015,2/8/15,FRA-USA,120,USA,D,Sauerbrunn,3,2,11,0,43,38,12,10,43,38,12,10,28,23,12,12,3,3,28,23,12,12,3,3,10,8,2,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,1,7,2,3,7,0,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100001,international-friendlies-2015,2/8/15,FRA-USA,121,USA,D,Chalupny,0,0,2,4,24,17,11,7,20,14,11,7,18,12,3,2,3,3,16,10,2,2,2,2,8,4,1,1,2,2,9,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,2,0,2,0,1,3,1,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
