"match_id","competition_slug","date","matchup","lineup_player_id","team","position","player","aerial_duels","aerials_won","clearances","dispossessed","pass_att","pass_comp","recoveries","shots","goals","shots_missed","shots_blocked","shots_saved","take_ons","take_ons_won","crosses","crosses_comp","ck_taken","ck_comp","fk_taken","fk_passatt","fk_passcomp","fk_shot","fk_scored","through_att","through_comp","throwin_att","throwin_comp","blocks","dispossess_opp","interceptions","tackles","dribbled_byopp","gk_saves","gk_goal_conceded","gk_highballs","gk_highballs_won","assists","big_chances","bc_goals","bc_sog","bc_smiss","bc_dispossessed","bc_lost","bc_created","key_passes","second_assists","err_togoals","err_tobc","bc_stopped","own_goals","fouls_won","fouls_conceded","yellowcards","redcards","pk_won","pk_conceded"
100001,"international-friendlies-2015","2/8/15","FRA-USA",101,"FRA","GK","Bouhaddi",2,2,3,0,36,26,5,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,1,4,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100001,"international-friendlies-2015","2/8/15","FRA-USA",102,"FRA","D","Houara",3,1,7,0,64,49,11,1,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,13,9,5,2,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16,0,1
100001,"international-friendlies-2015","2/8/15","FRA-USA",103,"FRA","D","Georges",4,2,8,0,37,37,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,16,0,0
100001,"international-friendlies-2015","2/8/15","FRA-USA",104,"FRA","D","Renard",4,3,3,1,47,42,9,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,8,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,0,0
100001,"international-friendlies-2015","2/8/15","FRA-USA",105,"FRA","D","Majri",2,0,3,2,38,33,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,7,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,30,0,0
100001,"international-friendlies-2015","2/8/15","FRA-USA",106,"FRA","M","Thomis",1,0,0,4,23,16,7,0,0,0,0,0,6,2,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,17,0,0
100001,"international-friendlies-2015","2/8/15","FRA-USA",107,"FRA","M","Abily",2,1,2,1,70,63,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0
100001,"international-friendlies-2015","2/8/15","FRA-USA",108,"FRA","M","Henry",5,1,1,3,56,47,19,1,0,1,0,0,2,2,2,1,0,0,0,0,0,0,0,1,1,0,0,3,0,1,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,39,0,0
100001,"international-friendlies-2015","2/8/15","FRA-USA",109,"FRA","M","Necib",0,0,0,3,17,14,2,2,0,2,0,0,1,0,3,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0
100001,"international-friendlies-2015","2/8/15","FRA-USA",110,"FRA","F","Thiney",8,4,1,5,24,15,16,2,0,0,1,1,4,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,37,0,0
