"Player","Team","MP","GS","Goals","Shots","Shot.Accuracy","Shot.GK.Stop","Shot.Def.Stop","Shot.Miss","Shot.Pressd","Pct.Shots.Pressd","A6.Shots","A18.Shots","A3L.Shots","A3C.Shots","A3R.Shots","Far.Shots","Assists","Key.Passes","KP.to.Goal","Key.Assists","X2nd.Assists","Unscored.Key.Passes","KP.Goal","Big.Chances","BC.Scored","BC.to.Goal","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Cross.Comp","Cross.Comp.Pct","Cross.Att","Corner.Crosses","Deep.Crosses","Launch.Comp","Launch.Comp.Pct","Launch.Att","Through.Comp","Through.Comp.Pct","Through.Att","Throw.In.Comp","Throw.In.Comp.Pct","Throw.In.Att","Corner.Kicks.Completed","CK.Effectiveness","Corner.Kicks.Taken","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Comp.Pct","FK.Pass.Att","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","Pass.Comp","Pass.Comp.Pct","Pass.Att","opPass.Comp","opPass.Comp.Pct","opPass.Att","opPPass.Comp","opPPass.Comp.Pct","opPPass.Att","Pct.opPass.Pressd","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","Pct.Pass.Pressd","PPass.Comp","PPass.Comp.Pct","PPass.Att","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","TO.Won","TO.Win.Pct","Take.Ons","TO.Lost","Dispossessed","Lost.Touches","AD.Won","AD.Win.Pct","Aerial.Duels","AD.Lost","Tackles","Dispossesses","Dribbled","Press.Opp","Challenge.Opp","Recoveries","Def.Recoveries","Poss.Recoveries","Interceptions","Blocks","Clearances","Balls.Shields","Saves","Goals.Allowed","SOG.Faced","GperSOG","BC.SOG.Faced","BC.Saves","BC.Goals.Allowed","GperBCSOG","High.Balls","HB.Won","HB.Lost","HB.Caught","HB.Punched","HB.Parried","HB.Collected","HB.Fouls.Won","Crosses","Crosses.Won","Crosses.Lost","Corner.Kicks","CKs.Won","CKs.Lost","Free.Kicks","FKs.Won","FKs.Lost","Smothers.Won","Smothers.Lost","All.Pass.Comp","Distribution.Success","All.Pass.Att","Throw.Comp","Throw.Comp.Pct","Throw.Att","Drop.Kick.Comp","Drop.Kick.Comp.Pct","Drop.Kick.Att","GK.FK.Comp","GK.FK.Comp.Pct","GK.FK.Att"
"DiBernardo","CRS",93,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,2,1,1,2,0.666666666666667,3,0,NA,0,1,1,1,2,0.666666666666667,3,0,0,0,0,3,0,0,0,0,3,31,0.720930232558139,43,28,0.777777777777778,36,14,0.875,16,0.444444444444444,0.651162790697674,0.209302325581395,0.13953488372093,19,28,0.678571428571429,7,9,0.777777777777778,5,6,0.833333333333333,0.372093023255814,14,0.875,16,0.625,0.1875,0.1875,8,10,0.8,3,3,1,3,3,1,2,0.666666666666667,3,1,0,1,0,0,2,2,3,0,2,20,7,6,4,2,2,4,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0
"Dunn","WAS",95,1,0,3,0.666666666666667,2,0,1,2,0.666666666666667,0,1,0,1,1,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,2,3,0,0,NA,0,0,0,2,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,18,0.580645161290323,31,18,0.580645161290323,31,13,0.684210526315789,19,0.612903225806452,0.483870967741935,0.290322580645161,0.225806451612903,6,15,0.4,7,9,0.777777777777778,5,7,0.714285714285714,0.612903225806452,13,0.684210526315789,19,0.368421052631579,0.368421052631579,0.263157894736842,4,7,0.571428571428571,5,7,0.714285714285714,4,5,0.8,3,0.75,4,1,3,5,4,0.444444444444444,9,5,2,0,0,18,14,6,1,5,1,3,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0
"Erceg","CRS",47,1,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,19,0.863636363636364,22,19,0.863636363636364,22,2,1,2,0.0909090909090909,0.727272727272727,0.136363636363636,0.136363636363636,14,16,0.875,2,3,0.666666666666667,3,3,1,0.0909090909090909,2,1,2,0.5,0,0.5,1,1,1,0,0,NA,1,1,1,0,NA,0,0,0,0,0,0,1,1,1,0,1,3,2,2,2,0,0,2,2,1,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0
"Farrelly","PTFC",97,1,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,2,1,1,2,0.5,4,0,0,2,3,1,3,0,NA,0,0,0,0,NA,0,0,0,0,0,0,50,0.735294117647059,68,47,0.723076923076923,65,30,0.769230769230769,39,0.6,0.558823529411765,0.176470588235294,0.264705882352941,25,38,0.657894736842105,11,12,0.916666666666667,14,18,0.777777777777778,0.573529411764706,30,0.769230769230769,39,0.435897435897436,0.205128205128205,0.358974358974359,13,17,0.764705882352941,7,8,0.875,10,14,0.714285714285714,2,0.666666666666667,3,1,4,1,2,1,2,0,3,0,1,40,4,10,5,5,2,1,3,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0
"Fishlock","SRFC",192,2,0,2,0,0,0,2,0,0,1,0,0,1,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,1,1,1,1,0,5,0.5,10,0,0,2,0,NA,0,0,NA,0,0,0,2,0.666666666666667,3,0,0,0,0,3,55,0.774647887323944,71,53,0.779411764705882,68,26,0.838709677419355,31,0.455882352941176,0.605633802816901,0.23943661971831,0.154929577464789,28,43,0.651162790697674,16,17,0.941176470588235,11,11,1,0.436619718309859,26,0.838709677419355,31,0.612903225806452,0.258064516129032,0.129032258064516,14,19,0.736842105263158,8,8,1,4,4,1,3,0.6,5,2,2,2,6,0.666666666666667,9,3,4,0,1,53,23,13,10,3,6,7,9,1,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0
"Fletcher","SRFC",183,2,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,1,0.25,4,4,0,1,0.2,5,0,NA,0,18,0.782608695652174,23,2,1,2,0,0,0,NA,0,0,0,0,0,0,88,0.778761061946903,113,68,0.772727272727273,88,23,0.657142857142857,35,0.397727272727273,0.716814159292035,0.132743362831858,0.150442477876106,56,81,0.691358024691358,15,15,1,17,17,1,0.309734513274336,23,0.657142857142857,35,0.714285714285714,0.114285714285714,0.171428571428571,13,25,0.52,4,4,1,6,6,1,1,0.333333333333333,3,2,0,0,3,0.6,5,2,1,0,2,29,11,13,12,1,7,6,1,1,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0
"Gilliland","CRS",93,1,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,2,0,NA,0,6,0.6,10,0,NA,0,0,0,1,1,1,0,0,0,0,1,25,0.735294117647059,34,18,0.782608695652174,23,6,0.857142857142857,7,0.304347826086957,0.529411764705882,0.147058823529412,0.323529411764706,11,18,0.611111111111111,3,5,0.6,11,11,1,0.205882352941176,6,0.857142857142857,7,0.285714285714286,0,0.714285714285714,1,2,0.5,0,0,NA,5,5,1,0,0,6,6,0,3,0,0,1,1,0,0,1,22,8,5,2,3,1,3,1,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0
"Groom","FCKC",5,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,2,1,2,2,1,2,1,1,1,0.5,0,1,0,0,0,NA,2,2,1,0,0,NA,0.5,1,1,1,0,1,0,0,0,NA,1,1,1,0,0,NA,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0
"Harris","WAS",95,1,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,2,0,NA,0,0,NA,0,0,NA,0,0,0,1,1,1,0,0,0,0,1,18,0.692307692307692,26,10,0.588235294117647,17,0,0,1,0.0588235294117647,0.923076923076923,0.0769230769230769,0,16,24,0.666666666666667,2,2,1,0,0,NA,0.0384615384615385,0,0,1,1,0,0,0,1,0,0,0,NA,0,0,NA,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8,0.375,2,1,1,0.5,7,7,0,2,1,2,0,0,2,2,0,3,3,0,0,0,0,2,0,18,0.692307692307692,26,7,1,7,0,0,1,2,0.25,8
"Heath","PTFC",97,1,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,1,1,1,1,0,0,NA,0,1,1,1,3,0.75,4,1,1,1,0,0,1,0.25,4,0,0,0,0,4,42,0.777777777777778,54,37,0.822222222222222,45,26,0.8125,32,0.711111111111111,0.462962962962963,0.277777777777778,0.259259259259259,16,25,0.64,14,15,0.933333333333333,12,14,0.857142857142857,0.592592592592593,26,0.8125,32,0.46875,0.21875,0.3125,11,15,0.733333333333333,7,7,1,8,10,0.8,5,0.555555555555556,9,4,2,1,1,1,1,0,3,0,1,16,10,8,5,3,4,4,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0
