event,time,poss.position,poss.team,poss.player,poss.action,poss.location,poss.play.destination,play.type,def.position,def.team,def.player,def.action,def.location,gk.ball.stop,gk.s.o.g.attempt,poss.player.disciplinary,poss.notes,def.player.disciplinary,def.notes
1,1,NA,NA,NA,kickoff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,NA,ENG,Williams,passes.b.c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1,NA,ENG,Houghton,passes.f,NA,NA,launch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1,NA,ENG,Duggan,aerial.lost,NA,NA,NA,NA,GER,Kemme,aerial.lost,NA,NA,NA,NA,NA,NA,NA
5,1,NA,GER,Bartusiak,recoveries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1,NA,GER,Bartusiak,passes.s.c,NA,NA,NA,NA,ENG,J. Scott,pressured,NA,NA,NA,NA,NA,NA,NA
7,1,NA,GER,Henning,passes.f,NA,NA,NA,NA,ENG,Williams,interceptions,NA,NA,NA,NA,NA,NA,NA
8,1,NA,ENG,Williams,passes.f.c,NA,NA,NA,NA,GER,Marozsan,challenged,NA,NA,NA,NA,NA,NA,NA
9,1,NA,ENG,A. Scott,take.on.lost,NA,NA,NA,NA,GER,Kemme,ball.shield,NA,NA,NA,NA,NA,NA,NA
10,1,NA,GER,Kemme,passes.f.c,NA,NA,NA,NA,ENG,A. Scott,challenged,NA,NA,NA,NA,NA,NA,NA
11,1,NA,GER,Marozsan,passes.b.c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,1,NA,GER,Bartusiak,passes.s.c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,1,NA,GER,Hendrich,passes.f,NA,NA,launch,NA,ENG,Flaherty,blocks,NA,NA,NA,NA,NA,NA,NA
14,1,NA,GER,Behringer,recoveries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,1,NA,GER,Behringer,passes.f.c,NA,NA,headed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,1,NA,GER,Popp,passes.b.c,NA,NA,NA,NA,ENG,Chapman,pressured,NA,NA,NA,NA,NA,NA,NA
17,1,NA,GER,Hendrich,passes.f.c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,1,NA,GER,Blasse,passes.f.c,NA,NA,through,NA,ENG,Stokes,pressured,NA,NA,NA,NA,NA,NA,NA
18,1,NA,NA,NA,NA,NA,NA,NA,NA,ENG,Houghton,clearances,NA,NA,NA,NA,out.of.bounds.keep.poss,NA,NA
19,2,NA,GER,Hendrich,passes.s.c,NA,NA,through,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,2,NA,GER,Islacker,passes.b.c,NA,NA,headed,NA,ENG,Chapman,pressured,NA,NA,NA,NA,NA,NA,NA
21,2,NA,GER,Blasse,passes.s.c,NA,NA,NA,NA,ENG,Stokes,pressured,NA,NA,NA,NA,NA,NA,NA
22,2,NA,GER,Popp,passes.f.c,NA,NA,through,NA,ENG,Greenwood,challenged,NA,NA,NA,NA,NA,NA,NA
22,2,NA,NA,NA,NA,NA,NA,NA,NA,ENG,Chapman,pressured,NA,NA,NA,NA,NA,NA,NA
23,2,NA,GER,Hendrich,passes.s,NA,NA,cc (corner.crosses),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,2,NA,GER,Kerschowski,aerial.lost,NA,NA,NA,NA,ENG,Houghton,aerial.won,NA,NA,NA,NA,NA,NA,NA
24,2,NA,NA,NA,NA,NA,NA,NA,NA,ENG,Houghton,clearances,NA,NA,NA,NA,NA,NA,NA
25,2,NA,ENG,Williams,recoveries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,2,NA,ENG,Williams,passes.f.c,NA,NA,NA,NA,GER,Kemme,pressured,NA,NA,NA,NA,NA,NA,NA
27,2,NA,ENG,Nobbs,passes.f.c,NA,NA,NA,NA,GER,Marozsan,pressured,NA,NA,NA,NA,NA,NA,NA
27,2,NA,NA,NA,NA,NA,NA,NA,NA,GER,Bartusiak,blocks,NA,NA,NA,NA,NA,NA,NA
27,2,NA,NA,NA,NA,NA,NA,NA,NA,GER,Bartusiak,clearances,NA,NA,NA,NA,out.of.bounds.keep.poss,NA,NA
28,2,NA,ENG,A. Scott,passes.f.c,NA,NA,through,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,2,NA,ENG,Duggan,passes.s.c,NA,NA,NA,NA,GER,Bartusiak,pressured,NA,NA,NA,NA,NA,NA,NA
29,2,NA,NA,NA,NA,NA,NA,NA,NA,GER,Marozsan,blocks,NA,NA,NA,NA,NA,NA,NA
29,2,NA,NA,NA,NA,NA,NA,NA,NA,GER,Marozsan,clearances,NA,NA,NA,NA,NA,NA,NA
30,2,NA,ENG,Houghton,clearances,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,2,NA,ENG,J. Scott,aerial.won,NA,NA,NA,NA,GER,Kemme,aerial.lost,NA,NA,NA,NA,out.of.bounds.lost.poss,NA,NA
32,2,NA,GER,Kemme,passes.f.c,NA,NA,through,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,2,NA,GER,Popp,dispossessed,NA,NA,NA,NA,ENG,Nobbs,dispossess,NA,NA,NA,NA,NA,NA,NA
34,2,NA,ENG,Williams,recoveries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,2,NA,ENG,Williams,dispossessed,NA,NA,NA,NA,GER,Popp,dispossess,NA,NA,NA,NA,NA,NA,NA
36,2,NA,GER,Kemme,recoveries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
