"event","time","poss.position","poss.team","poss.player","poss.action","poss.location","poss.play.destination","play.type","def.position","def.team","def.player","def.action","def.location","gk.ball.stop","gk.s.o.g.attempt","poss.player.disciplinary","poss.notes","def.player.disciplinary","def.notes"
1,"1",NA,NA,NA,"kickoff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"1",NA,"USA","Pugh","passes.f.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"1",NA,"USA","Heath","passes.b.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"1",NA,"USA","Horan","passes.b.c",NA,NA,NA,NA,"FRA","Delie","pressured",NA,NA,NA,NA,NA,NA,NA
5,"1",NA,"USA","Johnston","passes.f.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"1",NA,"USA","Sauerbrunn","passes.f.c",NA,NA,"launch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"1",NA,"USA","Pugh","aerial.won",NA,NA,NA,NA,"FRA","Bathy","aerial.lost",NA,NA,NA,NA,NA,NA,NA
8,"1",NA,NA,NA,"stoppage.in.play",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"2",NA,"USA","Brian","passes.f",NA,NA,"launch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"2","GK","FRA","Bouhaddi","recoveries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"2","GK","FRA","Bouhaddi","passes.f.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,"2",NA,"FRA","Hamraoui","passes.b.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,"2",NA,"FRA","Houara","passes.b.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,"2","GK","FRA","Bouhaddi","passes.f.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"2",NA,"FRA","Majri","passes.f",NA,NA,"launch",NA,"USA","Pugh","pressured",NA,NA,NA,NA,"out.of.bounds.keep.poss",NA,NA
16,"2",NA,"USA","O'Hara","passes.f",NA,NA,"throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,"2",NA,"USA","Morgan","aerial.lost",NA,NA,NA,NA,"FRA","Bathy","aerial.won",NA,NA,NA,NA,NA,NA,NA
18,"2",NA,"FRA","Abily","recoveries",NA,NA,NA,NA,"USA","Brian","pressured",NA,NA,NA,NA,NA,NA,NA
19,"2",NA,"FRA","Abily","passes.b.c",NA,NA,NA,NA,"USA","Brian","pressured",NA,NA,NA,NA,NA,NA,NA
20,"2",NA,"FRA","Majri","passes.f.c",NA,NA,NA,NA,"USA","Morgan","pressured",NA,NA,NA,NA,NA,NA,NA
21,"2",NA,"FRA","Necib","passes.f",NA,NA,NA,NA,"USA","Brian","pressured",NA,NA,NA,NA,NA,NA,NA
21,"2",NA,NA,NA,NA,NA,NA,NA,NA,"USA","Pugh","interceptions",NA,NA,NA,NA,NA,NA,NA
22,"2",NA,"USA","Pugh","passes.b.c",NA,NA,NA,NA,"FRA","Abily","pressured",NA,NA,NA,NA,NA,NA,NA
23,"2",NA,"USA","Johnston","passes.s.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"2",NA,"USA","O'Hara","passes.f.c",NA,NA,"launch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,"2",NA,"USA","Pugh","passes.b.c",NA,NA,"headed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,"2",NA,"USA","Lloyd","lost.touch",NA,NA,NA,NA,"FRA","Abily","dispossessed",NA,NA,NA,NA,NA,NA,NA
27,"2",NA,"FRA","Abily","recoveries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"2",NA,"FRA","Abily","take.on.won",NA,NA,NA,NA,"USA","Morgan","dribbled.tackles.missed",NA,NA,NA,NA,NA,NA,NA
29,"2",NA,"FRA","Abily","passes.f",NA,NA,NA,NA,"USA","Lloyd","pressured",NA,NA,NA,NA,"out.of.bounds.lost.poss",NA,NA
30,"3",NA,"USA","Klingenberg","passes.f.c",NA,NA,"throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"3",NA,"USA","Horan","passes.b.c",NA,NA,NA,NA,"FRA","Hamraoui","pressured",NA,NA,NA,NA,NA,NA,NA
32,"3",NA,"USA","Brian","passes.b.c",NA,NA,NA,NA,"FRA","Le Sommer","pressured",NA,NA,NA,NA,NA,NA,NA
33,"3",NA,"USA","Johnston","passes.b.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"3","GK","USA","Solo","passes.f.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,"3",NA,"USA","Sauerbrunn","passes.b.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"3",NA,"USA","Brian","passes.f.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,"3",NA,"USA","Horan","passes.b.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,"3",NA,"USA","Brian","passes.f.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"3",NA,"USA","Johnston","passes.f.c",NA,NA,"launch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"3",NA,"USA","Pugh","passes.s",NA,NA,"corner.crosses",NA,"FRA","Bathy","blocks",NA,NA,NA,NA,"out.of.bounds.keep.poss",NA,NA
41,"4",NA,"USA","Brian","passes.s",NA,NA,"corner.kick",NA,"FRA","Bathy","clearances",NA,NA,NA,NA,NA,NA,NA
42,"4",NA,"USA","Sauerbrunn","recoveries",NA,NA,NA,NA,"FRA","Thomis","pressured",NA,NA,NA,NA,NA,NA,NA
43,"4",NA,"USA","Sauerbrunn","passes.f",NA,NA,"through",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,"4",NA,"USA","Heath","offside.calls",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,"4","GK","FRA","Bouhaddi","passes.f",NA,NA,"launch",NA,"USA","O'Hara","blocks",NA,NA,NA,NA,NA,NA,NA
45,"4",NA,NA,NA,NA,NA,NA,"free.kick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"4",NA,"USA","Horan","aerial.won",NA,NA,NA,NA,"FRA","Le Sommer","aerial.lost",NA,NA,NA,NA,NA,NA,NA
47,"4",NA,"FRA","Hamraoui","recoveries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,"4",NA,"FRA","Hamraoui","passes.f.c",NA,NA,"switch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,"5",NA,"FRA","Necib","passes.s",NA,NA,NA,NA,"USA","Pugh","pressured",NA,NA,NA,NA,NA,NA,NA
50,"5",NA,"USA","Brian","recoveries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,"5",NA,"USA","Brian","passes.f.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,"5",NA,"USA","Lloyd","lost.touch",NA,NA,NA,NA,"FRA","Majri","dispossessed",NA,NA,NA,NA,NA,NA,NA
53,"5",NA,"FRA","Majri","movement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,"5",NA,"FRA","Majri","passes.b.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,"5",NA,"FRA","Bathy","passes.b.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,"5","GK","FRA","Bouhaddi","passes.f.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,"5",NA,"FRA","Bathy","passes.f.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,"5",NA,"FRA","Abily","passes.b.c",NA,NA,NA,NA,"USA","Pugh","pressured",NA,NA,NA,NA,NA,NA,NA
59,"5",NA,"FRA","Bathy","passes.f.c",NA,NA,"launch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,"5",NA,"FRA","Le Sommer","lost.touch",NA,NA,NA,NA,"USA","Johnston","ball.shield",NA,NA,NA,NA,"out.of.bounds.keep.poss",NA,NA
61,"5",NA,"USA","O'Hara","passes.f.c",NA,NA,"throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,"5",NA,"USA","Lloyd","passes.f.c",NA,NA,"headed",NA,"FRA","Abily","pressured",NA,NA,NA,NA,NA,NA,NA
62,"5",NA,NA,NA,NA,NA,NA,"flick.on",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,"5",NA,"USA","Morgan","passes.b.c",NA,NA,"lay.off",NA,"FRA","Bathy","challenged",NA,NA,NA,NA,NA,NA,NA
64,"5",NA,"USA","Lloyd","take.on.won",NA,NA,NA,NA,"FRA","Hamraoui","dribbled.tackles.missed",NA,NA,NA,NA,NA,NA,NA
65,"5",NA,"USA","Lloyd","movement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,"5",NA,"USA","Lloyd","passes.s.c",NA,NA,NA,NA,"FRA",NA,NA,NA,NA,NA,NA,NA,NA,NA
67,"6",NA,"USA","Klingenberg","passes.f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,"6",NA,"FRA","Georges","recoveries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,"6",NA,"FRA","Georges","passes.b.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,"6","GK","FRA","Bouhaddi","passes.f.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,"6",NA,"FRA","Abily","passes.f.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,"6",NA,"FRA","Houara","passes.b.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,"6",NA,"FRA","Georges","passes.s.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,"6",NA,"FRA","Bathy","passes.f.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,"6",NA,"FRA","Majri","passes.b.c",NA,NA,NA,NA,"USA","Pugh","challenged",NA,NA,NA,NA,NA,NA,NA
76,"6",NA,"FRA","Bathy","passes.s.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,"6","GK","FRA","Bouhaddi","passes.f.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,"6",NA,"FRA","Majri","passes.s.c",NA,NA,NA,NA,"USA","Pugh","pressured",NA,NA,NA,NA,NA,NA,NA
79,"6",NA,"FRA","Necib","movement",NA,NA,NA,NA,"USA","Brian","pressured",NA,NA,NA,NA,NA,NA,NA
80,"6",NA,"FRA","Necib","passes.b.c",NA,NA,NA,NA,"USA","Brian","pressured",NA,NA,NA,NA,NA,NA,NA
81,"6",NA,"FRA","Bathy","passes.f.c",NA,NA,NA,NA,"USA","Lloyd","challenged",NA,NA,NA,NA,NA,NA,NA
82,"6",NA,"FRA","Hamraoui","passes.s.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,"6",NA,"FRA","Houara","passes.f",NA,NA,"launch",NA,"USA","Heath","pressured",NA,NA,NA,NA,NA,NA,NA
83,"6",NA,"FRA",NA,NA,NA,NA,NA,NA,"USA","Sauerbrunn","ball.shield",NA,NA,NA,NA,"out.of.bounds.lost.poss",NA,NA
84,"7",NA,"USA","Klingenberg","passes.s.c",NA,NA,"throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,"7",NA,"USA","Horan","clearances",NA,NA,NA,NA,"FRA","Delie","pressured",NA,NA,NA,NA,"out.of.bounds.keep.poss",NA,NA
85,"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,"7",NA,"USA","Klingenberg","passes.f.c",NA,NA,"throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,"7",NA,"USA","Morgan","passes.b.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,"7",NA,"USA","Klingenberg","passes.f",NA,NA,NA,NA,"FRA","Houara","interceptions",NA,NA,NA,NA,NA,NA,NA
89,"7",NA,"USA","Heath","aerial.lost",NA,NA,NA,NA,"FRA","Houara","aerial.won",NA,NA,NA,NA,NA,NA,NA
90,"7",NA,"FRA","Houara","passes.f.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,"7",NA,"FRA","Delie","passes.b.c",NA,NA,NA,NA,"USA","Horan","challenged",NA,NA,NA,NA,NA,NA,NA
91,"7",NA,NA,NA,NA,NA,NA,NA,NA,"USA","Heath","pressured",NA,NA,NA,NA,NA,NA,NA
92,"7",NA,"FRA","Houara","passes.f.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,"7",NA,"FRA","Abily","passes.f.c",NA,NA,"headed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,"7",NA,NA,NA,NA,NA,NA,"flick.on",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,"7",NA,"FRA","Le Sommer","passes.f",NA,NA,"flick.on",NA,"USA","Sauerbrunn","pressured",NA,NA,NA,NA,NA,NA,NA
95,"7",NA,"USA","Klingenberg","recoveries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,"7",NA,"USA","Klingenberg","passes.b.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,"7","GK","USA","Solo","passes.f",NA,NA,"launch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,"7",NA,"FRA","Abily","recoveries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,"7",NA,"FRA","Abily","lost.touch",NA,NA,NA,NA,"USA","Heath","challenged",NA,NA,NA,NA,NA,NA,NA
100,"7",NA,"USA","Brian","recoveries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,"7",NA,"USA","Heath","passes.b.c",NA,NA,NA,NA,"FRA","Abily","pressured",NA,NA,NA,NA,NA,NA,NA
102,"7",NA,"USA","Brian","passes.f",NA,NA,NA,NA,"FRA","Georges","blocks",NA,NA,NA,NA,NA,NA,NA
103,"7",NA,"USA","Morgan","aerial.won",NA,NA,NA,NA,"FRA","Georges","aerial.lost",NA,NA,NA,NA,NA,NA,NA
104,"7",NA,"FRA","Georges","recoveries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,"7",NA,"FRA","Georges","passes.f",NA,NA,"headed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,"7",NA,"USA","Brian","aerial.won",NA,NA,NA,NA,"FRA","Abily","aerial.lost",NA,NA,NA,NA,NA,NA,NA
107,"7",NA,"USA","Morgan","recoveries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,"7",NA,"USA","Morgan","passes.f.c",NA,NA,"headed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,"7",NA,"USA","Heath","passes.b.c",NA,NA,"lay.off",NA,"FRA",NA,NA,NA,NA,NA,NA,NA,NA,NA
109,"7",NA,NA,NA,NA,NA,NA,NA,NA,"FRA",NA,NA,NA,NA,NA,NA,NA,NA,NA
110,"7",NA,"USA","Morgan","lost.touch",NA,NA,NA,NA,"FRA","Abily","tackles.ball.away",NA,NA,NA,NA,NA,NA,NA
111,"8",NA,"USA","Klingenberg","passes.b.c",NA,NA,"throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,"8",NA,"USA","Sauerbrunn","passes.b.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,"8","GK","USA","Solo","passes.f",NA,NA,"launch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,"8",NA,"USA","Pugh","aerial.lost",NA,NA,NA,NA,"FRA","Bathy","aerial.won",NA,NA,NA,NA,NA,NA,NA
115,"8",NA,"USA","Brian","recoveries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,"8",NA,"USA","Brian","passes.f.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,"8",NA,"USA","Lloyd","passes.f",NA,NA,"through",NA,"FRA","Georges","interceptions",NA,NA,NA,NA,NA,NA,NA
118,"8",NA,"FRA","Georges","passes.b.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,"8","GK","FRA","Bouhaddi","passes.f.c",NA,NA,"launch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,"8",NA,"FRA","Necib","passes.f.c",NA,NA,"flick.on",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,"8",NA,"FRA","Le Sommer","movement",NA,NA,NA,NA,"USA","Lloyd","pressured",NA,NA,NA,NA,NA,NA,NA
122,"8",NA,"FRA","Le Sommer","dispossessed",NA,NA,NA,NA,"USA","Horan","pressured",NA,NA,NA,NA,NA,NA,NA
122,"8",NA,NA,NA,NA,NA,NA,NA,NA,"USA","Lloyd","pressured",NA,NA,NA,NA,NA,NA,NA
122,"8",NA,NA,NA,NA,NA,NA,NA,NA,"USA","Lloyd","dispossessed",NA,NA,NA,NA,NA,NA,NA
123,"8",NA,"USA","O'Hara","recoveries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,"8",NA,"USA","O'Hara","passes.s.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,"8",NA,"USA","Horan","passes.s.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,"8",NA,"USA","Lloyd","movement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,"8",NA,"USA","Lloyd","passes.f.c",NA,NA,NA,NA,"FRA","Abily","pressured",NA,NA,NA,NA,NA,NA,NA
128,"8",NA,"USA","Pugh","take.on.lost",NA,NA,NA,NA,"FRA","Bathy","ball.shield",NA,NA,NA,NA,NA,NA,NA
128,"8",NA,NA,NA,NA,NA,NA,NA,"GK","FRA","Bouhaddi","gk.smothers.won",NA,NA,NA,NA,NA,NA,NA
129,"8","GK","FRA","Bouhaddi","passes.f.c",NA,NA,"gk.throws",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,"8",NA,"FRA","Necib","passes.f.c",NA,NA,NA,NA,"USA","O'Hara","pressured",NA,NA,NA,NA,NA,NA,NA
131,"8",NA,"FRA","Le Sommer","passes.f.c",NA,NA,NA,NA,"USA","O'Hara","tackles.ball.away",NA,NA,NA,NA,NA,NA,NA
131,"8",NA,NA,NA,NA,NA,NA,NA,NA,"USA","Horan","pressured",NA,NA,NA,NA,NA,NA,NA
131,"8",NA,NA,NA,NA,NA,NA,NA,NA,"USA","O'Hara","blocks",NA,NA,NA,NA,"out.of.bounds.keep.poss",NA,NA
132,"9",NA,"FRA","Majri","passes.f.c",NA,NA,"throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133,"9",NA,"FRA","Necib","passes.f",NA,NA,NA,NA,"USA","Horan","challenged",NA,NA,NA,NA,NA,NA,NA
133,"9",NA,NA,NA,NA,NA,NA,NA,NA,"USA","Pugh","blocks",NA,NA,NA,NA,NA,NA,NA
