"event","time","poss.position","poss.team","poss.player","poss.action","poss.location","poss.play.destination","play.type","def.position","def.team","def.player","def.action","def.location","gk.ball.stop","gk.s.o.g.attempt","poss.player.disciplinary","poss.notes","def.player.disciplinary","def.notes"
1,"1",NA,NA,NA,"kickoff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"1",NA,"USA","Dunn","passes.b.c","DM3C","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"1",NA,"USA","Mewis","passes.b.c","DM3C","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"1",NA,"USA","Mewis","passes.f.c","DM3R","AM3C","launch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"1",NA,"USA","Morgan","passes.f.c","AM3C","DM3C","headed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"1",NA,NA,NA,NA,NA,NA,"flick.on",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"1",NA,NA,NA,NA,NA,NA,NA,NA,"GER","Peter","clearances","DM3C",NA,NA,NA,NA,NA,NA
6,"1",NA,"USA","Engen","recoveries","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"1",NA,"USA","Engen","passes.f","DM3C","AM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"1",NA,"USA","Lloyd","offside.calls","A3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"1",NA,"GER","Bartusiak","passes.b.c","DM3C","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"1",NA,"GER","Peter","passes.b.c","DM3R","D3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"1","GK","GER","Schult","passes.f.c","D3C","AM3R","launch",NA,"USA","Morgan","pressured","A3C",NA,NA,NA,NA,NA,NA
12,"1",NA,"GER","Maier","aerial.won","AM3R",NA,NA,NA,"USA","Dunn","aerial.lost","DM3L",NA,NA,NA,NA,NA,NA
13,"1",NA,"GER","Blasse","recoveries","AM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,"1",NA,"GER","Blasse","passes.f.c","AM3R","A3R",NA,NA,"USA","Dunn","challenged","DM3L",NA,NA,NA,NA,NA,NA
15,"1",NA,"GER","Maier","passes.f","A3R",NA,NA,NA,"USA","Engen","clearances","D18",NA,NA,NA,NA,NA,NA
16,"1",NA,"GER","Mittag","recoveries","A3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,"1",NA,"GER","Mittag","passes.s","A3R",NA,NA,NA,"USA","Mewis","pressured","D3R",NA,NA,NA,NA,NA,NA
18,"1",NA,"USA","Brian","recoveries","D18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"1",NA,"USA","Brian","passes.f.c","D18","D3L",NA,NA,"GER","Popp","challenged","A18",NA,NA,NA,NA,NA,NA
20,"1",NA,"USA","Mewis","passes.f.c","D3L","DM3C",NA,NA,"GER","Popp","pressured","A3R",NA,NA,NA,NA,NA,NA
20,"1",NA,NA,NA,NA,NA,NA,NA,NA,"GER","Mittag","pressured","A3R",NA,NA,NA,NA,NA,NA
21,"1",NA,"USA","Lloyd","movement","DM3C","AM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,"1",NA,"USA","Lloyd","movement","AM3C","A3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,"1",NA,"USA","Lloyd","take.on.won","A3C",NA,NA,NA,"GER","Bartusiak","dribbled.turned","D3C",NA,NA,NA,NA,NA,NA
24,"1",NA,"USA","Lloyd","shots.missed","A3C",NA,NA,NA,"GER","Bartusiak","challenged","D3C",NA,NA,NA,"out.of.bounds.lost.poss",NA,NA
24,"1",NA,NA,NA,NA,NA,NA,NA,"GK","GER","Schult","gk.shot.miss","D6",NA,NA,NA,NA,NA,NA
25,"1",NA,NA,NA,"playcutoffbybroadcast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,"2",NA,"USA","Dunn","passes.b","A3L","A3L","through",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,"2",NA,"USA","Mewis","passes.f.c","A3L","A3L",NA,NA,"GER","Behringer","pressured","D3R",NA,NA,NA,NA,NA,NA
27,"2",NA,NA,NA,NA,NA,NA,NA,NA,"GER","Blasse","pressured","D3R",NA,NA,NA,NA,NA,NA
28,"2",NA,"USA","Dunn","take.on.won","A3L",NA,NA,NA,"GER","Maier","dribbled.turned","D3R",NA,NA,NA,NA,NA,NA
29,"2",NA,"USA","Dunn","passes.s","A3L","A6","corner.crosses",NA,"GER","Maier","pressured","D3R",NA,NA,NA,NA,NA,NA
29,"2",NA,NA,NA,NA,NA,NA,NA,NA,"GER","Peter","clearances","D6",NA,NA,NA,"out.of.bounds.keep.poss",NA,NA
30,"3",NA,"USA","Brian","passes.s","A3L",NA,"corner.kick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"3",NA,"USA","Engen","aerial.lost","A18",NA,NA,NA,"GER","Peter","aerial.won","D18",NA,NA,"fouls.conceded",NA,"fouls.won",NA
32,"3","GK","GER","Schult","passes.f.c","D18","AM3C","goal.kick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"3",NA,NA,NA,NA,NA,NA,"launch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"3",NA,"GER","Popp","passes.f","AM3C",NA,"headed","GK","USA","Solo","gk.loose.balls.won","D18","collected",NA,NA,NA,NA,NA
33,"3",NA,NA,NA,NA,NA,NA,"flick.on",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"4","GK","USA","Solo","passes.f.c","D18","D3C","gk.throws",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,"4",NA,"USA","Sauerbrunn","passes.b.c","D3C","D3C",NA,NA,"GER","Popp","pressured","A3C",NA,NA,NA,NA,NA,NA
