"event","time","poss.position","poss.team","poss.player","poss.action","poss.location","poss.play.destination","play.type","def.position","def.team","def.player","def.action","def.location","gk.ball.stop","gk.s.o.g.attempt","poss.player.disciplinary","poss.notes","def.player.disciplinary","def.notes"
1,"1",NA,NA,NA,"kickoff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"1","M","USA","Heath","passes.b.c","DM3C","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"1","M","USA","Brian","passes.b.c","DM3C","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"1","M","USA","Horan","passes.f.c","DM3R","A3C","launch",NA,NA,NA,NA,NA,NA,NA,NA,"second.assists",NA,NA
5,"1","M","USA","Lloyd","aerial.won","A3C",NA,NA,"D","CRC","Sanchez","aerial.lost","D3C",NA,NA,NA,NA,NA,NA
6,"1","M","USA","Lloyd","passes.f.c","A3C","A18","headed",NA,NA,NA,NA,NA,NA,NA,NA,"assists",NA,NA
6,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"key.passes",NA,NA
7,"1","F","USA","Morgan","shots.scored","A18",NA,NA,"D","CRC","Acosta","challenged","D18",NA,NA,NA,"big.chances.scored",NA,NA
7,"1",NA,NA,NA,NA,NA,NA,NA,"GK","CRC","Diaz","gk.s.o.g.scored",NA,"missed.the.ball","diving",NA,NA,NA,NA
7,"1",NA,NA,NA,"playcutoffbybroadcast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"1","M","USA","Heath","passes.f.c","AM3L","AM3L",NA,"F","CRC","Herrera","pressured","DM3R",NA,NA,NA,NA,NA,NA
9,"1","F","USA","Morgan","movement","AM3L","A3L",NA,"F","CRC","Herrera","pressured","DM3R",NA,NA,NA,NA,NA,NA
10,"2","F","USA","Morgan","dispossessed","A3L",NA,NA,"D","CRC","Saenz","dispossessed","D3R",NA,NA,NA,NA,NA,NA
11,"2","D","CRC","Saenz","passes.b.c","D3R","D3R",NA,"F","USA","Morgan","pressured","A3L",NA,NA,NA,NA,NA,NA
12,"2","F","CRC","Herrera","passes.b.c","D3R","D18",NA,"F","USA","Morgan","pressured","A3L",NA,NA,NA,NA,NA,NA
13,"2","D","CRC","Sanchez","passes.s.c","D18","D18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,"2","D","CRC","Acosta","passes.f","D18",NA,NA,"F","USA","Dunn","interceptions","A3R",NA,NA,NA,NA,NA,NA
15,"2","F","USA","Dunn","movement","A3R","A3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,"2","F","USA","Dunn","shots.stopped.by.gk","A3C",NA,NA,"GK","CRC","Diaz","gk.s.o.g.stop","D6","parried.to.safety","reaching",NA,"out.of.bounds.keep.poss",NA,NA
16,"2",NA,NA,NA,NA,NA,NA,NA,"D","CRC","Acosta","pressured",NA,NA,NA,NA,NA,NA,NA
17,"2","M","USA","Brian","passes.s","A3L",NA,"corner.kick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"2","M","USA","Lloyd","aerial.lost","A18",NA,NA,"M","CRC","Rodriguez","aerial.won","D18",NA,NA,NA,"out.of.bounds.keep.poss",NA,NA
19,"3","M","USA","Brian","passes.s","A3L",NA,"corner.kick","D","CRC","Acosta","clearances","D6",NA,NA,NA,"out.of.bounds.keep.poss",NA,NA
20,"3","M","USA","Brian","passes.s","A3L",NA,"corner.kick","GK","CRC","Diaz","gk.high.balls.won","D6","punched.to.safety",NA,NA,NA,NA,NA
21,"3","D","USA","Krieger","take.on.won","A3R",NA,NA,"M","CRC","S. Cruz","dribbled.turned","D3L",NA,NA,NA,NA,NA,NA
22,"3","D","USA","Krieger","dispossessed","A3R",NA,NA,"F","CRC","Barrantes","dispossessed","D3L",NA,NA,NA,NA,NA,NA
23,"3","F","CRC","Barrantes","take.on.won","D3L",NA,NA,"D","USA","Krieger",NA,"A3R",NA,NA,"fouls.won",NA,"fouls.conceded",NA
24,"4","D","CRC","Acosta","passes.f","D3L",NA,"launch,free.kick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,"4","F","CRC","Venegas","aerial.lost","DM3L",NA,NA,"M","USA","Horan","aerial.won","AM3R",NA,NA,NA,NA,NA,NA
26,"4","M","CRC","Alvarado","aerial.lost","DM3L",NA,NA,"M","USA","Brian","aerial.won","AM3R",NA,NA,NA,NA,NA,NA
27,"4","M","CRC","Rodriguez","recoveries","DM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"4","M","CRC","Rodriguez","passes.f.c","DM3L","DM3L","headed","F","USA","Dunn","pressured","AM3R",NA,NA,NA,NA,NA,NA
29,"4","M","CRC","S. Cruz","passes.f.c","DM3L","DM3L",NA,"F","USA","Dunn","pressured","AM3R",NA,NA,NA,NA,NA,NA
30,"4","F","CRC","Venegas","dispossessed","DM3L",NA,NA,"M","USA","Brian","dispossessed","AM3R",NA,NA,NA,NA,NA,NA
30,"4",NA,NA,NA,NA,NA,NA,NA,"M","USA","Horan","challenged",NA,NA,NA,NA,NA,NA,NA
31,"4","F","CRC","Barrantes","recoveries","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"4","F","CRC","Barrantes","passes.b.c","AM3L","DM3L",NA,"F","USA","Dunn","pressured","DM3R",NA,NA,NA,NA,NA,NA
32,"4",NA,NA,NA,NA,NA,NA,NA,"D","USA","Krieger","pressured",NA,NA,NA,NA,NA,NA,NA
33,"4","M","CRC","S. Cruz","dispossessed","DM3L",NA,NA,"M","USA","Lloyd","dispossessed","AM3R",NA,NA,NA,NA,NA,NA
33,"4",NA,NA,NA,NA,NA,NA,NA,"F","USA","Dunn","pressured",NA,NA,NA,NA,NA,NA,NA
34,"4","M","CRC","Rodriguez","recoveries","DM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,"4","M","CRC","Rodriguez","take.on.won","DM3L",NA,NA,"M","USA","Lloyd","dribbled.tackles.missed","AM3R",NA,NA,NA,NA,NA,NA
36,"4","M","CRC","Rodriguez","take.on.won","DM3L",NA,NA,"F","USA","Dunn","dribbled.out.run","AM3R",NA,NA,NA,NA,NA,NA
37,"4","M","CRC","Rodriguez","passes.f.c","DM3L","AM3L",NA,"F","USA","Dunn","pressured","AM3R",NA,NA,NA,NA,NA,NA
38,"4","F","CRC","Venegas","passes.b.c","AM3L","AM3L","lay.off","D","USA","Johnston","pressured","DM3R",NA,NA,NA,NA,NA,NA
39,"4","M","CRC","Rodriguez","take.on.lost","AM3L",NA,NA,"D","USA","Johnston","tackles.ball.away","DM3R",NA,NA,NA,NA,NA,NA
39,"4",NA,NA,NA,NA,NA,NA,NA,"F","USA","Dunn","pressured",NA,NA,NA,NA,NA,NA,NA
40,"4","D","USA","Krieger","recoveries","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,"4","D","USA","Krieger","passes.f.c","DM3R","DM3R",NA,"F","CRC","Barrantes","challenged","AM3L",NA,NA,NA,NA,NA,NA
42,"4","F","USA","Dunn","dispossessed","DM3R","D3R",NA,"D","CRC","D. Cruz","dispossessed","AM3L",NA,NA,NA,"out.of.bounds.lost.poss",NA,NA
43,"5","D","CRC","D. Cruz","passes.f.c","A3L","A3L","throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,"5","M","CRC","S. Cruz","dispossessed","A3L","A3L",NA,"F","USA","Dunn","dispossessed","D3R",NA,NA,NA,"out.of.bounds.keep.poss",NA,NA
44,"5",NA,NA,NA,NA,NA,NA,NA,"D","USA","Krieger","challenged",NA,NA,NA,NA,NA,NA,NA
45,"5","D","CRC","D. Cruz","passes.s.c","A3L","A3L","throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"5","F","CRC","Barrantes","passes.b.c","A3L","A3L",NA,"F","USA","Dunn","challenged","D3R",NA,NA,NA,NA,NA,NA
47,"5","D","CRC","D. Cruz","passes.s","A3L",NA,"corner.crosses",NA,NA,NA,NA,NA,NA,NA,NA,"out.of.bounds.lost.poss",NA,NA
48,"6","GK","USA","Solo","passes.f.c","D6","D3L","goal.kick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,"6","D","USA","Sauerbrunn","passes.s.c","D3L","D3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"6","M","USA","Horan","movement","D3L","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,"6","M","USA","Horan","passes.s.c","DM3C","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,"6","D","USA","Krieger","movement","DM3R","AM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,"6","D","USA","Krieger","passes.f","AM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"out.of.bounds.lost.poss",NA,NA
54,"6","D","CRC","D. Cruz","passes.f","DM3L",NA,"throw.in","D","USA","Krieger","interceptions","DM3R",NA,NA,NA,NA,NA,NA
55,"6","D","USA","Krieger","clearances","DM3R",NA,NA,"M","CRC","Rodriguez","interceptions","DM3L",NA,NA,NA,NA,NA,NA
56,"6","M","CRC","Rodriguez","lost.touch","DM3L",NA,NA,"M","USA","Brian","pressured","AM3R",NA,NA,NA,"out.of.bounds.lost.poss",NA,NA
57,"6","D","USA","Krieger","passes.b.c","AM3R","DM3C","throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,"6","D","USA","Johnston","passes.s.c","DM3C","DM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,"6","D","USA","Sauerbrunn","movement","DM3L","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,"6","D","USA","Sauerbrunn","passes.f.c","AM3L","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,"6","D","USA","Klingenberg","take.on.won","AM3L",NA,NA,"F","CRC","Herrera","dribbled.turned","DM3R",NA,NA,NA,NA,NA,NA
62,"6","D","USA","Klingenberg","passes.b.c","AM3L","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,"6","M","USA","Horan","passes.s.c","AM3L","AM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,"6","D","USA","Johnston","passes.f.c","AM3R","A3C","launch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,"7","M","USA","Lloyd","passes.s.c","A3C","A3C","lay.off",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,"7","M","USA","Horan","lost.touch","A3C",NA,NA,"M","CRC","Alvarado","pressured","D3C",NA,NA,NA,NA,NA,NA
67,"7","M","USA","Lloyd","recoveries","A3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,"7","M","USA","Lloyd","lost.touch","A3C",NA,NA,"M","CRC","S. Cruz","pressured","D3C",NA,NA,NA,NA,NA,NA
69,"7","F","CRC","Herrera","recoveries","D3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,"7","F","CRC","Herrera","passes.f","D3C",NA,NA,"M","USA","Brian","interceptions","AM3C",NA,NA,NA,NA,NA,NA
71,"7","M","USA","Brian","passes.f","AM3C",NA,NA,"M","CRC","Rodriguez","blocks","DM3C",NA,NA,NA,NA,NA,NA
72,"7","M","CRC","S. Cruz","recoveries","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,"7","M","CRC","S. Cruz","passes.f.c","DM3C","DM3C",NA,"M","USA","Brian","pressured","AM3C",NA,NA,NA,NA,NA,NA
74,"7","M","CRC","Rodriguez","passes.f","DM3C",NA,"through",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,"7","D","USA","Krieger","recoveries","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,"7","D","USA","Krieger","passes.b.c","D3R","D18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,"7","GK","USA","Solo","passes.f.c","D18","D3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,"7","D","USA","Sauerbrunn","passes.f.c","D3L","DM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,"7","M","USA","Horan","passes.f.c","DM3L","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,"7","M","USA","Heath","passes.s.c","AM3L","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,"7","F","USA","Morgan","passes.b.c","AM3L","DM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,"7","M","USA","Horan","passes.f.c","DM3L","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,"7","M","USA","Heath","passes.b.c","AM3L","DM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,"7","M","USA","Horan","passes.s.c","DM3L","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,"7","D","USA","Johnston","movement","DM3R","AM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,"7","D","USA","Johnston","passes.f.c","AM3R","A3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,"7","F","USA","Dunn","passes.f","A3R",NA,"through","D","CRC","D. Cruz","pressured","D3L",NA,NA,NA,NA,NA,NA
88,"7","M","CRC","S. Cruz","recoveries","D3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,"7","M","CRC","S. Cruz","clearances","D3L",NA,NA,"D","USA","Krieger","pressured","A3R",NA,NA,NA,"out.of.bounds.keep.poss",NA,NA
90,"8","D","CRC","D. Cruz","passes.f.c","D3L","DM3L","throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,"8","M","CRC","S. Cruz","aerial.won","DM3L",NA,NA,"D","USA","Krieger","aerial.lost","AM3R",NA,NA,NA,"out.of.bounds.lost.poss",NA,NA
92,"8","D","USA","Krieger","passes.f.c","A3R","A3R","throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,"8","M","USA","Lloyd","aerial.won","A3R",NA,NA,"D","CRC","Acosta","aerial.lost","D3L",NA,NA,NA,NA,NA,NA
94,"8","M","USA","Lloyd","passes.f.c","A3R","A3R","headed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,"8","F","USA","Morgan","passes.b.c","A3R","A3R",NA,"D","CRC","Sanchez","challenged","D3L",NA,NA,NA,NA,NA,NA
96,"8","F","USA","Dunn","movement","A3R","A3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,"8","F","USA","Dunn","movement","A3C","A18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,"8","F","USA","Dunn","take.on.won","A18",NA,NA,"F","CRC","Herrera","dribbled.tackles.missed","D18",NA,NA,"penalties.won",NA,"penalties.conceded",NA
99,"9","M","USA","Lloyd","shots.scored","A18",NA,"penalty.kick","GK","CRC","Diaz","gk.s.o.g.scored",NA,"diving",NA,NA,NA,NA,NA
99,"9",NA,NA,NA,"playcutoffbybroadcast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,"10","M","CRC","Rodriguez","passes.b.c","DM3L","DM3C",NA,"M","USA","Lloyd","pressured","AM3R",NA,NA,NA,NA,NA,NA
101,"10","M","CRC","Alvarado","passes.f.c","DM3C","DM3C",NA,"F","USA","Morgan","pressured","AM3C",NA,NA,NA,NA,NA,NA
102,"10","M","CRC","S. Cruz","passes.f.c","DM3C","AM3L",NA,"M","USA","Brian","pressured","AM3C",NA,NA,NA,NA,NA,NA
103,"10","F","CRC","Barrantes","passes.f.c","AM3L","A3L",NA,"F","USA","Dunn","pressured","DM3R",NA,NA,NA,NA,NA,NA
104,"10","F","CRC","Venegas","passes.b.c","A3L","AM3L",NA,"D","USA","Johnston","pressured","D3R",NA,NA,NA,NA,NA,NA
104,"10",NA,NA,NA,NA,NA,NA,NA,"M","USA","Brian","pressured",NA,NA,NA,NA,NA,NA,NA
105,"10","F","CRC","Barrantes","passes.f.c","AM3L","A3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,"10","D","CRC","D. Cruz","passes.s","A3L",NA,"lay.off","D","USA","Krieger","challenged","D3R",NA,NA,NA,"out.of.bounds.lost.poss",NA,NA
