event,time,poss.position,poss.team,poss.player,poss.action,poss.location,poss.play.destination,play.type,def.position,def.team,def.player,def.action,def.location,gk.ball.stop,gk.s.o.g.attempt,poss.player.disciplinary,poss.notes,def.player.disciplinary,def.notes
1,1,NA,NA,NA,kickoff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,NA,SRFC,Little,passes.b.c,DM3C,DM3C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1,NA,SRFC,Fishlock,passes.f.c,DM3C,A3L,launch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1,NA,SRFC,Mathias,passes.f,A3L,NA,NA,NA,PTFC,Van Hollebeke,challenged,D3R,NA,NA,NA,NA,NA,NA
4,1,NA,NA,NA,NA,NA,NA,NA,NA,PTFC,Heath,interceptions,D3R,NA,NA,NA,NA,NA,NA
5,1,NA,PTFC,Heath,passes.s.c,D3R,D18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1,NA,PTFC,Williamson,passes.f,D18,NA,NA,NA,SRFC,Barnes,blocks,A3L,NA,NA,NA,NA,NA,NA
7,1,NA,PTFC,Polkinghorne,recoveries,D3R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,1,NA,PTFC,Polkinghorne,passes.f,D3R,NA,headed,NA,SRFC,Barnes,recoveries,AM3L,NA,NA,NA,NA,NA,NA
9,1,NA,SRFC,Barnes,passes.f.c,AM3L,AM3L,NA,NA,PTFC,Sinclair,pressured,DM3R,NA,NA,NA,NA,NA,NA
10,1,NA,SRFC,Little,dispossessed,AM3L,NA,NA,NA,PTFC,Polkinghorne,tackles.ball.away,DM3R,NA,NA,NA,NA,NA,NA
11,1,NA,PTFC,Heath,recoveries,DM3R,NA,NA,NA,SRFC,Little,challenged,AM3L,NA,NA,NA,NA,NA,NA
12,1,NA,PTFC,Heath,passes.f,DM3R,NA,NA,NA,SRFC,Cox,blocks,AM3L,NA,NA,NA,NA,NA,NA
12,1,NA,NA,NA,NA,NA,NA,NA,NA,SRFC,Cox,pressured,AM3L,NA,NA,NA,NA,NA,NA
13,1,NA,SRFC,Winters,recoveries,DM3L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,1,NA,SRFC,Winters,passes.b.c,DM3L,D3L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,1,NA,SRFC,Barnes,passes.f.c,D3L,D3L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,1,NA,SRFC,Cox,passes.b.c,D3L,D3L,NA,NA,PTFC,Heath,pressured,A3R,NA,NA,NA,NA,NA,NA
17,1,NA,SRFC,Barnes,passes.f,D3L,NA,launch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,1,NA,SRFC,Rapinoe,aerial.lost,DM3L,NA,NA,NA,PTFC,Van Hollebeke,aerial.won,AM3R,NA,NA,NA,NA,NA,NA
19,1,NA,SRFC,Fishlock,recoveries,DM3L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,1,NA,SRFC,Fishlock,dispossessed,DM3L,NA,NA,NA,PTFC,Polkinghorne,tackles.ball.away,AM3R,NA,NA,NA,out.of.bounds.keep.poss,NA,NA
21,2,NA,SRFC,Cox,passes.f,DM3L,NA,throw.in,NA,PTFC,Polkinghorne,interceptions,DM3R,NA,NA,NA,NA,NA,NA
