"event","time","poss.position","poss.team","poss.player","poss.action","poss.location","poss.play.destination","play.type","poss.player.disciplinary","poss.notes","def.position","def.team","def.player","def.action","def.location","gk.ball.stop","gk.s.o.g.attempt","def.player.disciplinary","def.notes","xG","poss.number","def.number"
"1","1",NA,NA,NA,"kickoff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","1","M","FCKC","Holiday","passes.b.c","AM3C","DM3C",NA,NA,NA,"M","SRFC","Winters","pressured","DM3C",NA,NA,NA,NA,NA,NA,NA
"3","1","D","FCKC","Sauerbrunn","passes.s.c","DM3C","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","1","D","FCKC","Moros","passes.f.c","AM3L","AM3L",NA,NA,NA,"F","SRFC","Yanez","pressured","DM3R",NA,NA,NA,NA,NA,NA,NA
"5","1","M","FCKC","Tymrak","passes.f","A3L","A3L",NA,NA,"out.of.bounds.lost.poss","D","SRFC","Fletcher","pressured","D3R",NA,NA,NA,NA,NA,NA,NA
"6","1","D","SRFC","Fletcher","passes.f","D3R","DM3R","throw.in",NA,NA,"D","FCKC","Moros","blocks","AM3L",NA,NA,NA,NA,NA,NA,NA
"7","1","F","SRFC","Yanez","aerial.won","DM3R",NA,NA,NA,NA,"M","FCKC","Tymrak","aerial.lost","AM3L",NA,NA,NA,NA,NA,NA,NA
"8","1","M","FCKC","Buczkowski","recoveries","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","M","FCKC","Buczkowski","passes.f.c","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","1","M","FCKC","Tymrak","passes.b.c","AM3L",NA,NA,NA,NA,"F","SRFC","Yanez","pressured","DM3R",NA,NA,NA,NA,NA,NA,NA
"11","1","D","FCKC","Moros","passes.f","DM3L",NA,NA,NA,NA,"F","SRFC","Yanez","blocks","AM3R",NA,NA,NA,NA,NA,NA,NA
"12","1","M","SRFC","Little","recoveries","AM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","1","M","SRFC","Little","passes.b.c","AM3R","DM3R",NA,NA,NA,"M","FCKC","Holiday","pressured","DM3L",NA,NA,NA,NA,NA,NA,NA
"13","1",NA,"SRFC",NA,NA,NA,NA,NA,NA,NA,"D","FCKC","Moros","pressured","DM3L",NA,NA,NA,NA,NA,NA,NA
"14","1","M","SRFC","Fishlock","passes.f.c","DM3R","AM3C",NA,NA,NA,"M","FCKC","Holiday","pressured","AM3L",NA,NA,NA,NA,NA,NA,NA
"14","1",NA,"SRFC",NA,NA,NA,NA,NA,NA,NA,"F","FCKC","Rodriguez","pressured","AM3L",NA,NA,NA,NA,NA,NA,NA
"15","1","M","SRFC","Winters","lost.touch","A3C",NA,NA,NA,NA,"M","FCKC","Laddish","pressured","DM3C",NA,NA,NA,NA,NA,NA,NA
"16","1","D","FCKC","Lepeilbet","recoveries","D3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","1","D","FCKC","Lepeilbet","passes.f.c","D3C","DM3C",NA,NA,NA,"M","SRFC","Winters","pressured","D3C",NA,NA,NA,NA,NA,NA,NA
"18","1","M","FCKC","Buczkowski","passes.f.c","DM3C","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","1","M","FCKC","Laddish","passes.b.c","DM3C","DM3R",NA,NA,NA,"M","SRFC","Winters","pressured","DM3C",NA,NA,NA,NA,NA,NA,NA
"20","1","D","FCKC","Brown","passes.s.c","DM3R","DM3C",NA,NA,NA,"F","SRFC","Rapinoe","pressured","DM3L",NA,NA,NA,NA,NA,NA,NA
"21","1","M","FCKC","Buczkowski","passes.s.c","AM3R","AM3R",NA,NA,NA,"M","SRFC","Little","pressured","DM3L",NA,NA,NA,NA,NA,NA,NA
"22","1","D","FCKC","Brown","passes.s.c","AM3R","AM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","1","M","FCKC","Laddish","passes.b.c","AM3C","DM3C",NA,NA,NA,"M","SRFC","Little","pressured","DM3C",NA,NA,NA,NA,NA,NA,NA
"24","2","D","FCKC","Sauerbrunn","passes.s.c","DM3L","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2","D","FCKC","Moros","passes.s.c","DM3L","DM3C",NA,NA,NA,"F","SRFC","Yanez","pressured","AM3R",NA,NA,NA,NA,NA,NA,NA
"26","2","D","FCKC","Lepeilbet","passes.f.c","AM3R","AM3R",NA,NA,NA,"M","SRFC","Little","pressured","DM3L",NA,NA,NA,NA,NA,NA,NA
"27","2","D","FCKC","Brown","passes.f.c","AM3R","A3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2","M","FCKC","O'Reilly","passes.f","A3R","A3R","through",NA,"out.of.bounds.lost.poss","F","SRFC","Rapinoe","pressured","D3L",NA,NA,NA,NA,NA,NA,NA
"29","2","GK","SRFC","Solo","passes.f.c","D6","DM3C","goal.kick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2","M","SRFC","Winters","aerial.won","DM3C",NA,NA,NA,NA,"M","FCKC","Laddish","aerial.lost","DM3R",NA,NA,NA,NA,NA,NA,NA
"31","2","F","SRFC","Mathias","recoveries","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","3","F","SRFC","Mathias","passes.s.c","AM3L","A3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","3","F","SRFC","Rapinoe","passes.f","A3L",NA,NA,NA,"out.of.bounds.keep.poss","D","FCKC","Brown","blocks","D3R",NA,NA,NA,NA,NA,NA,NA
"34","3","D","SRFC","Cox","passes.f.c","AM3L","A3L","throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","3","F","SRFC","Rapinoe","passes.f.c","A3L","A3L",NA,NA,NA,"M","FCKC","O'Reilly","pressured","D3R",NA,NA,NA,NA,NA,NA,NA
"36","3","M","SRFC","Little","dispossessed","A3L",NA,NA,NA,NA,"D","FCKC","Brown","dispossessed","D3R",NA,NA,NA,NA,NA,NA,NA
"37","3","D","FCKC","Brown","passes.b.c","D3R","D18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","3","GK","FCKC","Barnhart","passes.f","D18","DM3R","launch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","3","M","FCKC","O'Reilly","aerial.lost","DM3R",NA,NA,NA,NA,"D","SRFC","Cox","aerial.won","AM3L",NA,NA,NA,NA,NA,NA,NA
"40","3","D","FCKC","Brown","recoveries","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","3","D","FCKC","Brown","passes.f","D3R","D3C",NA,NA,NA,"M","SRFC","Fishlock","blocks","A3C",NA,NA,NA,NA,NA,NA,NA
"42","3","M","SRFC","Fishlock","take.on.lost","A3C",NA,NA,NA,NA,"M","FCKC","Tymrak","tackles.ball.away","D3C",NA,NA,NA,NA,NA,NA,NA
"43","3","M","FCKC","Holiday","recoveries","D3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","3","M","FCKC","Holiday","passes.f.c","A3R","A3R",NA,NA,NA,"M","SRFC","Winters","pressured","D3L",NA,NA,NA,NA,NA,NA,NA
"45","3","M","FCKC","O'Reilly","passes.s","A3R","A18","corner.crosses",NA,NA,"D","SRFC","Cox","pressured","D3L",NA,NA,NA,NA,NA,NA,NA
"45","3",NA,"FCKC",NA,NA,NA,NA,NA,NA,NA,"D","SRFC","Corsie","blocks","D18",NA,NA,NA,NA,NA,NA,NA
"46","3","M","FCKC","Tymrak","aerial.lost","A3C",NA,NA,NA,NA,"M","SRFC","Fishlock","aerial.won","D3C",NA,NA,NA,NA,NA,NA,NA
"47","3","M","SRFC","Little","recoveries","D3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","3","M","SRFC","Little","passes.b.c","D3C",NA,NA,NA,NA,"M","FCKC","Tymrak","pressured","A3C",NA,NA,NA,NA,NA,NA,NA
"49","3","D","SRFC","Fletcher","passes.f","D3R","A3R","launch",NA,NA,"D","FCKC","Sauerbrunn","interceptions","D3L",NA,NA,NA,NA,NA,NA,NA
"50","4","D","FCKC","Sauerbrunn","passes.b.c","D3L","D6",NA,NA,NA,"F","SRFC","Mathias","pressured","A3R",NA,NA,NA,NA,NA,NA,NA
"51","4","GK","FCKC","Barnhart","passes.f.c","D6","D18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
