"event","time","poss.position","poss.team","poss.player","poss.action","poss.location","poss.play.destination","play.type","poss.player.disciplinary","poss.notes","def.position","def.team","def.player","def.action","def.location","gk.ball.stop","gk.s.o.g.attempt","def.player.disciplinary","def.notes","xG","poss.number","def.number"
"52","4","D","FCKC","Sauerbrunn","passes.f.c","D3L","D3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","4","D","FCKC","Moros","passes.b.c","D3L","D3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","4","D","FCKC","Sauerbrunn","passes.f.c","D3L","D3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","4","M","FCKC","Buczkowski","passes.f.c","D3L","D3L",NA,NA,NA,"F","SRFC","Yanez","pressured","A3R",NA,NA,NA,NA,NA,NA,NA
"55","4",NA,"FCKC",NA,NA,NA,NA,NA,NA,NA,"M","SRFC","Little","pressured","A3R",NA,NA,NA,NA,NA,NA,NA
"56","4","M","FCKC","Laddish","passes.b.c","D3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","4","D","FCKC","Moros","passes.f","D3L",NA,NA,NA,"out.of.bounds.lost.poss",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","4","D","SRFC","Fletcher","passes.f.c","A3R","A3R","throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","4","F","SRFC","Yanez","passes.b.c","A3R","A3R",NA,NA,NA,"M","FCKC","Tymrak","pressured","D3L",NA,NA,NA,NA,NA,NA,NA
"59","4",NA,"FCKC",NA,NA,NA,NA,NA,NA,NA,"D","FCKC","Moros","pressured","D3L",NA,NA,NA,NA,NA,NA,NA
"60","4","F","SRFC","Mathias","passes.b.c","A3R","A3R",NA,NA,NA,"M","FCKC","Tymrak","pressured","D3L",NA,NA,NA,NA,NA,NA,NA
"61","4","D","SRFC","Fletcher","passes.b.c","A3R","AM3R",NA,NA,NA,"M","FCKC","Tymrak","pressured","D3L",NA,NA,NA,NA,NA,NA,NA
"62","4","M","SRFC","Fishlock","passes.f.c","AM3R","A3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","4","F","SRFC","Yanez","passes.f.c","A3R","A3R",NA,NA,"out.of.bounds.lost.poss","D","FCKC","Moros","pressured","D3L",NA,NA,NA,NA,NA,NA,NA
"63","4",NA,"FCKC",NA,NA,NA,NA,NA,NA,NA,"D","FCKC","Sauerbrunn","pressured","D3L",NA,NA,NA,NA,NA,NA,NA
"64","4","D","FCKC","Moros","passes.f","D3L","D3L",NA,NA,NA,"M","SRFC","Fishlock","interceptions","A3R",NA,NA,NA,NA,NA,NA,NA
"65","4","M","SRFC","Fishlock","passes.f.c","A3R","A3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","4","M","SRFC","Little","passes.s.c","A3R","A3R",NA,NA,NA,"M","FCKC","Holiday","pressured","D3L",NA,NA,NA,NA,NA,NA,NA
"67","4","F","SRFC","Yanez","passes.f.c","A3R","A3R",NA,NA,NA,"M","FCKC","Holiday","pressured","D3L",NA,NA,NA,NA,NA,NA,NA
"68","4","F","SRFC","Mathias","passes.s","A3R","A3R","corner.crosses",NA,NA,"D","FCKC","Moros","pressured","D3L",NA,NA,NA,NA,NA,NA,NA
"68","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"GK","FCKC","Barnhart","gk.high.balls.won","D6","caught",NA,NA,NA,NA,NA,NA
"69","5","GK","FCKC","Barnhart","passes.f.c","D6","D3R","gk.throws",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","5","D","FCKC","Brown","passes.f.c","AM3R","A3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","5","M","FCKC","O'Reilly","take.on.lost","A3R",NA,NA,NA,NA,"D","SRFC","Cox","tackles.wins.ball","D3L",NA,NA,NA,NA,NA,NA,NA
"72","5","D","SRFC","Cox","passes.f.c","D3L","DM3L",NA,NA,NA,"M","FCKC","Laddish","pressured","A3R",NA,NA,NA,NA,NA,NA,NA
"73","5","F","SRFC","Rapinoe","passes.s","AM3L","A3C","switch",NA,NA,"D","FCKC","Lepeilbet","pressured","DM3R",NA,NA,NA,NA,NA,NA,NA
"73","5",NA,"FCKC",NA,NA,NA,NA,NA,NA,NA,"M","FCKC","Buczkowski","pressured","DM3R",NA,NA,NA,NA,NA,NA,NA
"73","5",NA,"FCKC",NA,NA,NA,NA,NA,NA,NA,"D","FCKC","Moros","blocks","D3C",NA,NA,NA,NA,NA,NA,NA
"73","5",NA,"FCKC",NA,NA,NA,NA,NA,NA,NA,"D","FCKC","Moros","clearances","D3C",NA,NA,NA,NA,NA,NA,NA
"74","5","M","SRFC","Fishlock","recoveries","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","5","M","SRFC","Fishlock","passes.s.c","DM3C","DM3R",NA,NA,NA,"M","FCKC","Tymrak","pressured","AM3C",NA,NA,NA,NA,NA,NA,NA
"76","5","D","SRFC","Fletcher","passes.f.c","DM3L","AM3R",NA,NA,NA,"M","FCKC","Tymrak","pressured","AM3L",NA,NA,NA,NA,NA,NA,NA
"77","5","M","SRFC","Little","passes.s.c","AM3R","AM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","5","D","SRFC","Fletcher","passes.f.c","A3R","A3R",NA,NA,NA,"M","FCKC","Tymrak","pressured","D3L",NA,NA,NA,NA,NA,NA,NA
"79","6","F","SRFC","Yanez","passes.b.c","A3R","AM3R",NA,NA,NA,"D","FCKC","Moros","pressured","D3L",NA,NA,NA,NA,NA,NA,NA
"80","6","M","SRFC","Fishlock","passes.f.c","AM3R","AM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","6","M","SRFC","Little","passes.s","A3R","A6","corner.crosses",NA,NA,"M","FCKC","Buczkowski","pressured","D3L",NA,NA,NA,NA,NA,NA,NA
"81","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"M","FCKC","Tymrak","pressured","D3L",NA,NA,NA,NA,NA,NA,NA
"81","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"D","FCKC","Sauerbrunn","interceptions","D18",NA,NA,NA,NA,NA,NA,NA
"82","6","D","FCKC","Sauerbrunn","passes.f","D18","D3L","launch",NA,NA,"M","SRFC","Fishlock","blocks","A3R",NA,NA,NA,NA,NA,NA,NA
"83","6","F","FCKC","Rodriguez","aerial.lost","D3L",NA,NA,NA,NA,"M","SRFC","Fishlock","aerial.won","A3R",NA,NA,NA,NA,NA,NA,NA
"84","6","M","SRFC","Winters","recoveries","AM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","6","M","SRFC","Winters","passes.f.c","AM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","6","F","SRFC","Rapinoe","take.on.won","A3L",NA,NA,NA,NA,"D","FCKC","Brown","dribbled.out.run","D3R",NA,NA,NA,NA,NA,NA,NA
"87","6","F","SRFC","Rapinoe","passes.s","A18","A6","corner.crosses",NA,NA,"GK","FCKC","Barnhart","gk.high.balls.won","D6","caught",NA,NA,NA,NA,NA,NA
"88","6",NA,NA,NA,"playcutoffbybroadcast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","6","M","FCKC","Laddish","passes.f.c","AM3C","AM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","6","M","FCKC","Holiday","passes.f.c","AM3R","A3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","6","M","FCKC","O'Reilly","passes.s.c","A3R","A3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","6","M","FCKC","Laddish","passes.f","A3R","A3R",NA,NA,"out.of.bounds.lost.poss",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","7","D","SRFC","Cox","passes.f.c","D3L","D3L","throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","7","F","SRFC","Rapinoe","clearances","D3L",NA,NA,NA,NA,"M","FCKC","O'Reilly","pressured","A3R",NA,NA,NA,NA,NA,NA,NA
"95","7","F","SRFC","Yanez","recoveries","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","7","F","SRFC","Yanez","passes.s.c","DM3C","DM3R",NA,NA,NA,"D","FCKC","Moros","pressured","AM3C",NA,NA,NA,NA,NA,NA,NA
"97","7","D","SRFC","Fletcher","passes.f","AM3R",NA,"deep.crosses",NA,NA,"D","FCKC","Brown","blocks","D3C",NA,NA,NA,NA,NA,NA,NA
"98","7","M","SRFC","Little","recoveries","A3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","7","M","SRFC","Little","passes.s.c","A3C","A3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","7","D","SRFC","Cox","passes.f","A3L","A3L",NA,NA,NA,"D","FCKC","Brown","blocks","D3R",NA,NA,NA,NA,NA,NA,NA
"101","7","M","FCKC","Laddish","recoveries","D3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","7","M","FCKC","Laddish","passes.f.c","D3C","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","7","M","FCKC","Holiday","passes.f","DM3C","A3R","through",NA,NA,"D","SRFC","Barnes","interceptions","D3L",NA,NA,NA,NA,NA,NA,NA
"104","7","D","SRFC","Barnes","passes.f.c","D3L","D3L",NA,NA,NA,"M","FCKC","O'Reilly","pressured","A3R",NA,NA,NA,NA,NA,NA,NA
"105","7","M","SRFC","Winters","passes.f.c","D18","D3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","8","D","SRFC","Cox","passes.s.c","DM3L","DM3R","switch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","8","D","SRFC","Fletcher","passes.b.c","AM3R","AM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","8","M","SRFC","Fishlock","passes.f","AM3R","A18","deep.crosses",NA,NA,"D","FCKC","Sauerbrunn","blocks","D18",NA,NA,NA,NA,NA,NA,NA
"109","8","F","SRFC","Yanez","aerial.lost","A3R",NA,NA,NA,NA,"D","FCKC","Moros","aerial.won","D3L",NA,NA,NA,NA,NA,NA,NA
"110","8","M","FCKC","Buczkowski","recoveries","D3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","8","M","FCKC","Buczkowski","recoveries","D3L","D3L",NA,NA,NA,"F","SRFC","Mathias","pressured","A3R",NA,NA,NA,NA,NA,NA,NA
"112","8","M","FCKC","Laddish","passes.s","D3L","D3L",NA,NA,NA,"M","SRFC","Fishlock","pressured","A3R",NA,NA,NA,NA,NA,NA,NA
"113","8","M","SRFC","Little","recoveries","A3R",NA,NA,NA,NA,"M","SRFC","Fishlock","blocks","A3R",NA,NA,NA,NA,NA,NA,NA
"114","8","M","SRFC","Little","passes.b.c","A3R","AM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","8","D","SRFC","Fletcher","passes.f.c","AM3R","A3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","8","M","SRFC","Fishlock","take.on.won","A3C",NA,NA,NA,NA,"M","FCKC","Laddish","dribbled.turned","D3C",NA,NA,NA,NA,NA,NA,NA
"117","8","M","SRFC","Fishlock","take.on.lost","A3C",NA,NA,NA,NA,"D","FCKC","Sauerbrunn","tackles.ball.away","D3C",NA,NA,NA,NA,NA,NA,NA
"118","8","M","FCKC","Tymrak","recoveries","D3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","8","M","FCKC","Tymrak","passes.s.c","DM3C","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","8","M","FCKC","Holiday","passes.f.c","AM3C","A3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","8","M","FCKC","O'Reilly","passes.f.c","A3R","A3R","through",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","8","M","FCKC","Holiday","dispossessed","A3R",NA,NA,NA,NA,"D","SRFC","Cox","dispossessed","D3L",NA,NA,NA,NA,NA,NA,NA
"123","8","D","SRFC","Cox","passes.f.c","D3L","D3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","8","F","SRFC","Rapinoe","passes.s.c","D3L","D3R","switch",NA,NA,"D","FCKC","Brown","pressured","A3R",NA,NA,NA,NA,NA,NA,NA
"125","8","D","SRFC","Fletcher","passes.f.c","AM3R","AM3R",NA,NA,NA,"M","FCKC","Buczkowski","pressured","DM3L",NA,NA,NA,NA,NA,NA,NA
"126","8","F","SRFC","Yanez","dispossessed","A3R",NA,NA,NA,NA,"D","FCKC","Moros","dispossessed","D3L",NA,NA,NA,NA,NA,NA,NA
"127","9","D","FCKC","Moros","passes.b.c","D3L","D18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","9","GK","FCKC","Barnhart","passes.f.c","D18","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","9","D","FCKC","Lepeilbet","passes.f.c","D3R","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","9","D","FCKC","Brown","passes.f.c","DM3R","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","9","M","FCKC","Holiday","passes.s.c","DM3C","DM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","9","D","FCKC","Moros","take.on.lost","A3L",NA,NA,NA,NA,"M","SRFC","Fishlock","tackles.wins.ball","D3R",NA,NA,NA,NA,NA,NA,NA
"133","9","M","SRFC","Fishlock","passes.f","D3R","A3R","launch",NA,NA,"D","FCKC","Sauerbrunn","interceptions","D3L",NA,NA,NA,NA,NA,NA,NA
"134","9","D","FCKC","Sauerbrunn","passes.b.c","D3L","D6",NA,NA,NA,"F","SRFC","Mathias","pressured","A3R",NA,NA,NA,NA,NA,NA,NA
"135","9","GK","FCKC","Barnhart","passes.f.c","D6","D3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","9","D","FCKC","Lepeilbet","passes.s.c","D3C","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","9","D","FCKC","Brown","passes.s.c","D3R","D3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","9","M","FCKC","Laddish","passes.b.c","D3C","D3C",NA,NA,NA,"M","SRFC","Little","pressured","AM3C",NA,NA,NA,NA,NA,NA,NA
"139","9","D","FCKC","Lepeilbet","passes.f.c","D3C","D3C",NA,NA,NA,"M","SRFC","Little","pressured","AM3C",NA,NA,NA,NA,NA,NA,NA
"140","9","M","FCKC","Buczkowski","passes.f.c","AM3C","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","10","M","FCKC","Tymrak","passes.f","AM3L","A18","deep.crosses",NA,"out.of.bounds.lost.poss","D","SRFC","Fletcher","pressured","DM3R",NA,NA,NA,NA,NA,NA,NA
"142","10","GK","SRFC","Solo","passes.f.c","D6","DM3L","goal.kick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","10","F","SRFC","Mathias","aerial.won","DM3L",NA,NA,NA,NA,"D","FCKC","Lepeilbet","aerial.lost","AM3R",NA,NA,NA,NA,NA,NA,NA
"144","10","M","SRFC","Fishlock","recoveries","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","10","M","SRFC","Fishlock","passes.f.c","AM3C","A3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","10","F","SRFC","Yanez","passes.s.c","A3R","A3R",NA,NA,NA,"D","FCKC","Moros","pressured","DM3L",NA,NA,NA,NA,NA,NA,NA
"147","10","D","SRFC","Fletcher","passes.s.c","A3R","A3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","10","F","SRFC","Yanez","passes.f.c","A3R","A3C",NA,NA,NA,"M","FCKC","Buczkowski","pressured","D3L",NA,NA,NA,NA,NA,NA,NA
"149","10","F","SRFC","Mathias","passes.b","A3C","A3C",NA,NA,NA,"D","FCKC","Lepeilbet","blocks","D3C",NA,NA,NA,NA,NA,NA,NA
"149","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"D","FCKC","Lepeilbet","clearances","D3C",NA,NA,NA,NA,NA,NA,NA
"150","10","D","SRFC","Barnes","aerial.won","DM3L",NA,NA,NA,NA,"F","FCKC","Rodriguez","aerial.lost","AM3R",NA,NA,NA,NA,NA,NA,NA
"151","10","D","SRFC","Barnes","recoveries","DM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","10","D","SRFC","Barnes","passes.f.c","DM3L","DM3L",NA,NA,NA,"F","FCKC","Rodriguez","pressured","AM3R",NA,NA,NA,NA,NA,NA,NA
"153","11","D","SRFC","Cox","passes.b.c","DM3L","D3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","11","D","SRFC","Barnes","passes.b.c","D3L","D18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","11","GK","SRFC","Solo","passes.f.c","D18","D3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
