"Player","Team","MP","GS","Goals","Shots","Shot.Accuracy","Shot.GK.Stop","Shot.Def.Stop","Shot.Miss","Shot.Pressd","Pct.Shots.Pressd","A6.Shots","A18.Shots","A3L.Shots","A3C.Shots","A3R.Shots","Far.Shots","Assists","Key.Passes","KP.to.Goal","Key.Assists","Second.Assists","Unscored.Key.Passes","KP.Goal","Big.Chances","BC.Scored","BC.to.Goal","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Cross.Comp","Cross.Comp.Pct","Cross.Att","Corner.Crosses","Deep.Crosses","Launch.Comp","Launch.Comp.Pct","Launch.Att","Through.Comp","Through.Comp.Pct","Through.Att","Throw.In.Comp","Throw.In.Comp.Pct","Throw.In.Att","Corner.Kicks.Completed","CK.Effectiveness","Corner.Kicks.Taken","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Comp.Pct","FK.Pass.Att","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","Pass.Comp","Pass.Comp.Pct","Pass.Att","opPass.Comp","opPass.Comp.Pct","opPass.Att","opPPass.Comp","opPPass.Comp.Pct","opPPass.Att","Pct.opPass.Pressd","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","Pct.Pass.Pressd","PPass.Comp","PPass.Comp.Pct","PPass.Att","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","TO.Won","TO.Win.Pct","Take.Ons","TO.Lost","Dispossessed","Lost.Touches","AD.Won","AD.Win.Pct","Aerial.Duels","AD.Lost","Tackles","Dispossesses","Dribbled","Press.Opp","Challenge.Opp","Recoveries","Def.Recoveries","Poss.Recoveries","Interceptions","Blocks","Clearances","Balls.Shields","Saves","Goals.Allowed","SOG.Faced","GperSOG","BC.SOG.Faced","BC.Saves","BC.Goals.Allowed","GperBCSOG","High.Balls","HB.Won","HB.Lost","HB.Caught","HB.Punched","HB.Parried","HB.Collected","HB.Fouls.Won","Crosses","Crosses.Won","Crosses.Lost","Corner.Kicks","CKs.Won","CKs.Lost","Free.Kicks","FKs.Won","FKs.Lost","Smothers.Won","Smothers.Lost","All.Pass.Comp","Distribution.Success","All.Pass.Att","Throw.Comp","Throw.Comp.Pct","Throw.Att","Drop.Kick.Comp","Drop.Kick.Comp.Pct","Drop.Kick.Att","GK+FK.Comp","GK+FK.Comp.Pct","GK+FK.Att"
"Kirby","ENG",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Magull","GER",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.888888888888889,9,8,0.888888888888889,9,7,0.875,8,0.888888888888889,0.222222222222222,0.444444444444444,0.333333333333333,2,2,1,3,4,0.75,3,3,1,0.222222222222222,0.444444444444444,0.333333333333333,2,2,1,3,4,0.75,3,3,1,0.888888888888889,7,0.875,8,0.25,0.375,0.375,2,2,1,2,3,0.666666666666667,3,3,1,1,1,1,0,2,0,1,1,1,0,0,0,0,3,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Maier","GER",30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0.75,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.636363636363636,11,4,0.571428571428571,7,4,0.8,5,0.714285714285714,0.727272727272727,0.0909090909090909,0.181818181818182,4,8,0.5,1,1,1,2,2,1,0.857142857142857,0,0.142857142857143,3,6,0.5,0,0,0,1,1,1,0.454545454545455,4,0.8,5,0.8,0,0.2,3,4,0.75,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,4,1,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Marozsan","GER",47,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.888888888888889,18,16,0.888888888888889,18,13,0.928571428571429,14,0.777777777777778,0.444444444444444,0.277777777777778,0.277777777777778,6,8,0.75,5,5,1,5,5,1,0.444444444444444,0.277777777777778,0.277777777777778,6,8,0.75,5,5,1,5,5,1,0.777777777777778,13,0.928571428571429,14,0.428571428571429,0.357142857142857,0.214285714285714,5,6,0.833333333333333,5,5,1,3,3,1,1,0.5,2,1,1,0,4,1,4,0,0,1,1,5,1,6,2,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mittag","GER",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,1,2,1,1,1,0.5,1,0,0,2,2,1,0,0,0,0,0,0,1,0,0,2,2,1,0,0,0,0,0,0,0.5,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nobbs","ENG",85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.7,10,7,0.7,10,5,0.714285714285714,7,0.7,0.5,0.1,0.4,4,5,0.8,0,1,0,3,4,0.75,0.5,0.1,0.4,4,5,0.8,0,1,0,3,4,0.75,0.7,5,0.714285714285714,7,0.428571428571429,0,0.571428571428571,2,3,0.666666666666667,0,0,0,3,4,0.75,1,1,1,0,1,1,1,0.125,8,7,1,4,3,18,6,5,5,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peter","GER",42,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,12,1,12,11,1,11,8,1,8,0.727272727272727,0.25,0.5,0.25,3,3,1,6,6,1,3,3,1,0.272727272727273,0.454545454545455,0.272727272727273,3,3,1,5,5,1,3,3,1,0.666666666666667,8,1,8,0.375,0.25,0.375,3,3,1,2,2,1,3,3,1,0,0,0,0,0,0,2,0.666666666666667,3,1,1,0,0,3,2,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Popp","GER",96,1,0,3,0.333333333333333,1,0,2,1,0.333333333333333,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,2,0.666666666666667,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0.875,24,21,0.875,24,20,0.909090909090909,22,0.916666666666667,0.25,0.333333333333333,0.416666666666667,4,6,0.666666666666667,8,8,1,9,10,0.9,0.25,0.333333333333333,0.416666666666667,4,6,0.666666666666667,8,8,1,9,10,0.9,0.916666666666667,20,0.909090909090909,22,0.227272727272727,0.363636363636364,0.409090909090909,3,5,0.6,8,8,1,9,9,1,1,0.5,2,1,2,2,11,0.647058823529412,17,6,2,1,1,10,1,3,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stokes","ENG",96,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,2,2,0,0,0,2,0,0,0,1,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.272727272727273,11,2,0.222222222222222,9,2,0.285714285714286,7,0.777777777777778,0.727272727272727,0.181818181818182,0.0909090909090909,1,8,0.125,1,2,0.5,1,1,1,0.666666666666667,0.222222222222222,0.111111111111111,0,6,0,1,2,0.5,1,1,1,0.636363636363636,2,0.285714285714286,7,0.714285714285714,0.142857142857143,0.142857142857143,0,5,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0.5,2,1,3,0,5,48,7,2,1,1,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stoney","ENG",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,2,1,0,0,0,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Williams","ENG",96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.578947368421053,19,11,0.611111111111111,18,8,0.8,10,0.555555555555556,0.684210526315789,0.157894736842105,0.157894736842105,5,13,0.384615384615385,3,3,1,3,3,1,0.666666666666667,0.166666666666667,0.166666666666667,5,12,0.416666666666667,3,3,1,3,3,1,0.526315789473684,8,0.8,10,0.6,0.2,0.2,4,6,0.666666666666667,2,2,1,2,2,1,0,0,0,0,3,2,1,1,1,0,2,1,5,36,5,10,7,3,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
