"Player","Team","MP","GS","Goals","Shots","Shot.Accuracy","SOG.GK.Stop","SOG.Def.Stop","Shots.Missed","Shots.Pressured","Pct.of.Shots.Pressured","A6.Shots","A18.Shots","A3L.Shots","A3C.Shots","A3R.Shots","Further.Shots","Assists","All.Key.Passes","Key.Passes.to.Goals","Key.Assists","Second.Assists","Unscored.Key.Passes","Big.Chances","BC.Scored","BC.Scored.Pct","BC.SOG","BC.Missed","BC.Dispossessed","Crosses.Completed","Cross.Comp.Pct","Cross.Attempts","Crosses.from.Corner","Crosses.from.Far","Through.Balls.Completed","Through.Ball.Pct","Through.Ball.Attempts","Passes.Completed","Pass.Comp.Pct","Pass.Attempts","Pct.of.Pass.Att.Fwd","Pct.of.Pass.Att.Side","Pct.of.Pass.Att.Back","Fwd.Pass.Comp","Fwd.Pass.Att","Fwd.Pass.Comp.Pct","Side.Pass.Comp","Side.Pass.Att","Side.Pass.Comp.Pct","Back.Pass.Comp","Back.Pass.Att","Back.Pass.Comp.Pct","Pct.of.Passes.Under.Pressure","Passes.Completed.Under.Pressure","Pass.Comp.Pct.Under.Pressure","Pass.Attempts.Under.Pressure","Pct.of.Pressed.Pass.Att.Fwd","Pct.of.Pressed.Pass.Att.Side","Pct.of.Pressed.Pass.Att.Back","Fwd.Pressed.Pass.Comp","Fwd.Pressed.Pass.Att","Fwd.Pressed.Pass.Comp.Pct","Side.Pressed.Pass.Comp","Side.Pressed.Pass.Att","Side.Pressed.Pass.Comp.Pct","Back.Pressed.Pass.Comp","Back.Pressed.Pass.Att","Back.Pressed.Pass.Comp.Pct","Take.Ons.Won","Take.On.Win.Pct","Take.On.Attempts","Take.Ons.Lost","Dispossessed.by.Opp","Lost.Touches","Aerial.Duels.Won","Aerial.Duels.Win.Pct","Total.Aerial.Duels","Tackles","Dispossessed.Opp","Dribbled.by.Opp","Pressured.Opp","Challenged.Opp","Recoveries","Interceptions","Blocks","Clearances","Balls.Shielded","Saves","Goals.Allowed","High.Balls.Won","High.Balls.Lost","High.Balls.Caught","High.Balls.Punched.Away","High.Balls.Parried","High.Balls.Collected","High.Ball.Fouls.Won","Crosses.High.Balls.Won","Corner.Kick.High.Balls.Won","Free.Kick.High.Balls.Won","Smothers.Won","Smothers.Lost"
"Lloyd","USA",95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,23,0.692307692307692,0.0769230769230769,0.230769230769231,0,9,0,0,1,0,0,3,0,0.652173913043478,0,0,15,0.666666666666667,0,0.333333333333333,0,6,0,0,0,0,0,3,0,4,0.8,5,1,1,2,1,0.142857142857143,7,1,2,0,24,5,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Majri","FRA",95,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,47,0.310344827586207,0.413793103448276,0.275862068965517,0,9,0,0,12,0,0,8,0,0.468085106382979,0,0,22,0.461538461538462,0.384615384615385,0.153846153846154,0,6,0,0,5,0,0,2,0,5,0.833333333333333,6,1,0,1,1,0.333333333333333,3,2,2,2,14,1,4,0,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Morgan","USA",95,1,1,3,0.666666666666667,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0.25,0.333333333333333,0.416666666666667,0,3,0,0,4,0,0,5,0,0.473684210526316,0,0,9,0,0,1,0,0,0,0,0,0,0,3,0,2,0.333333333333333,6,4,3,2,4,0.444444444444444,9,0,0,1,18,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Necib","FRA",77,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0.631578947368421,0.210526315789474,0.157894736842105,0,12,0,0,4,0,0,3,0,0.636363636363636,0,0,21,0.6,0.2,0.2,0,6,0,0,2,0,0,2,0,1,1,1,0,0,2,0,0,1,1,0,1,13,2,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O'Hara","USA",87,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,34,0.789473684210526,0.157894736842105,0.0526315789473684,0,15,0,0,3,0,0,1,0,0.441176470588235,0,0,15,0.777777777777778,0.222222222222222,0,0,7,0,0,2,0,0,0,0,2,1,2,0,0,0,0,0,1,1,0,1,11,0,9,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Press","USA",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pugh","USA",95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,28,0.266666666666667,0.2,0.533333333333333,0,4,0,0,3,0,0,8,0,0.5,0,0,14,0.2,0,0.8,0,1,0,0,0,0,0,4,0,8,0.8,10,2,3,1,4,0.666666666666667,6,0,1,6,21,5,11,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sauerbrunn","USA",95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,40,0.666666666666667,0.19047619047619,0.142857142857143,0,14,0,0,4,0,0,3,0,0.275,0,0,11,1,0,0,0,8,0,0,0,0,0,0,0,2,1,2,0,1,0,4,0.666666666666667,6,1,0,2,8,3,5,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Solo","USA",95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,0,13,0,0,0,0,0,0,0,0.0555555555555556,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,2,0,0,0,0,1,0,0,0,0
"Thomis","FRA",77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0.333333333333333,0.25,0.416666666666667,0,4,0,0,3,0,0,5,0,0.473684210526316,0,0,9,0.25,0,0.75,0,1,0,0,0,0,0,3,0,1,0.5,2,1,3,5,0,0,1,0,1,4,16,0,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mbock","FRA",95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
