"Player","Team","MP","GS","Goals","Shots","Shot Accuracy","SOG GK Stop","SOG Def Stop","Shots Missed","Shots Pressured","Pct of Shots Pressured","A6 Shots","A18 Shots","A3L Shots","A3C Shots","A3R Shots","Further Shots","Assists","All Key Passes","Key Passes to Goals","Key Assists","Second Assists","Unscored Key Passes","Big Chances","BC Scored","BC Scored %","BC SOG","BC Missed","BC Dispossessed","Crosses Completed","Cross Comp Pct","Cross Attempts","Crosses from Corner","Crosses from Far","Through Balls Completed","Through Ball Pct","Through Ball Attempts","Passes Completed","Pass Comp Pct","Pass Attempts","Pct.PassAtt.Fwd","Pct.PassAtt.Side","Pct.PassAtt.Back","FwdPass.Comp.x","FwdPass.Att.x","FwdPass.Comp.Pct.x","SidePass.Comp.x","SidePass.Att.x","SidePass.Comp.Pct.x","BackPass.Comp.x","BackPass.Att.x","BackPass.Comp.Pct.x","Pct of Passes Under Pressure","Passes Completed Under Pressure","Pass Comp Pct Under Pressure","Pass Attempts Under Pressure","Pct.PressedPassAtt.Fwd","Pct.PressedPassAtt.Side","Pct.PressedPassAtt.Back","FwdPass.Comp.y","FwdPass.Att.y","FwdPass.Comp.Pct.y","SidePass.Comp.y","SidePass.Att.y","SidePass.Comp.Pct.y","BackPass.Comp.y","BackPass.Att.y","BackPass.Comp.Pct.y","Take Ons Won","Take On Win Pct","Take On Attempts","Take Ons Lost","Dispossessed by Opp","Lost Touches","Aerial Duels Won","Aerial Duels Win Pct","Total Aerial Duels","Tackles","Dribbled by Opp","Pressured Opp","Challenged Opp","Dispossessed Opp","Recoveries","Interceptions","Blocks","Clearances","Balls Shielded","Saves","Goals Allowed","High Balls Won","High Balls Lost","High Balls Caught","High Balls Punched Away","High Balls Parried","High Balls Collected","High Ball Fouls Won","Crosses High Balls Won","Corner Kick High Balls Won","Free Kick High Balls Won","Smothers Won","Smothers Lost"
"Kirby","ENG",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.333333333333333,3,0.666666666666667,0,0.333333333333333,1,2,0.5,0,0,0,0,1,0,0.333333333333333,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,3,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Klingenberg","USA",93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,39,0.78,50,0.58,0.14,0.28,18,29,0.620689655172414,7,7,1,14,14,1,0.38,16,0.842105263157895,19,0.526315789473684,0.210526315789474,0.263157894736842,7,10,0.7,4,4,1,5,5,1,1,1,1,0,0,0,3,0.375,8,2,0,9,0,0,9,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krieger","USA",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lloyd","USA",96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0.923076923076923,26,0.538461538461538,0.0769230769230769,0.384615384615385,13,14,0.928571428571429,2,2,1,9,10,0.9,0.692307692307692,17,0.944444444444444,18,0.444444444444444,0.111111111111111,0.444444444444444,8,8,1,2,2,1,7,8,0.875,0,0,2,2,0,3,2,0.2,10,1,4,14,3,0,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Morgan","USA",81,1,0,3,0.333333333333333,1,0,2,2,0.666666666666667,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.647058823529412,17,0.294117647058824,0.294117647058824,0.411764705882353,2,5,0.4,4,5,0.8,5,7,0.714285714285714,0.882352941176471,10,0.666666666666667,15,0.266666666666667,0.266666666666667,0.466666666666667,2,4,0.5,3,4,0.75,5,7,0.714285714285714,3,0.6,5,2,0,0,5,0.555555555555556,9,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nobbs","ENG",96,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0.783783783783784,37,0.540540540540541,0.162162162162162,0.297297297297297,12,20,0.6,6,6,1,11,11,1,0.486486486486487,15,0.833333333333333,18,0.388888888888889,0.222222222222222,0.388888888888889,4,7,0.571428571428571,4,4,1,7,7,1,2,1,2,0,0,1,1,0.25,4,6,2,13,11,2,12,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O'Hara","USA",81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,2,2,0,0,0,0,48,0.727272727272727,66,0.636363636363636,0.121212121212121,0.242424242424242,25,42,0.595238095238095,8,8,1,15,16,0.9375,0.318181818181818,13,0.619047619047619,21,0.761904761904762,0.142857142857143,0.0952380952380952,9,16,0.5625,3,3,1,1,2,0.5,1,0.5,2,1,0,0,1,0.5,2,0,0,7,6,0,9,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Press","USA",32,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,5,0.555555555555556,9,0.555555555555556,0,0.444444444444444,1,5,0.2,0,0,0,4,4,1,0.888888888888889,5,0.625,8,0.5,0,0.5,1,4,0.25,0,0,0,4,4,1,1,1,1,0,1,2,2,0.4,5,0,2,10,3,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pugh","USA",68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,2,2,0,0,0,0,23,0.851851851851852,27,0.37037037037037,0.185185185185185,0.444444444444444,7,10,0.7,4,5,0.8,12,12,1,0.703703703703704,16,0.842105263157895,19,0.368421052631579,0.210526315789474,0.421052631578947,5,7,0.714285714285714,3,4,0.75,8,8,1,2,0.333333333333333,6,4,2,2,2,0.333333333333333,6,2,1,10,7,1,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sauerbrunn","USA",96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0.936170212765957,47,0.51063829787234,0.212765957446809,0.276595744680851,22,24,0.916666666666667,10,10,1,12,13,0.923076923076923,0.319148936170213,14,0.933333333333333,15,0.533333333333333,0.133333333333333,0.333333333333333,8,8,1,2,2,1,4,5,0.8,1,1,1,0,0,0,8,0.888888888888889,9,1,2,6,4,0,10,4,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Scott","ENG",96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,24,0.857142857142857,28,0.392857142857143,0.285714285714286,0.321428571428571,8,11,0.727272727272727,8,8,1,8,9,0.888888888888889,0.571428571428571,16,1,16,0.375,0.375,0.25,6,6,1,6,6,1,4,4,1,3,0.428571428571429,7,4,1,3,9,0.529411764705882,17,2,1,24,5,0,11,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Solo","USA",96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.409090909090909,22,1,0,0,9,22,0.409090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0
"Sonnett","USA",96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0.904761904761905,42,0.666666666666667,0.142857142857143,0.19047619047619,24,28,0.857142857142857,6,6,1,8,8,1,0.333333333333333,12,0.857142857142857,14,0.714285714285714,0.0714285714285714,0.214285714285714,8,10,0.8,1,1,1,3,3,1,0,0,0,0,0,0,4,1,4,1,0,4,1,1,5,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stokes","ENG",96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.761904761904762,21,0.714285714285714,0.0952380952380952,0.19047619047619,10,15,0.666666666666667,2,2,1,4,4,1,0.428571428571429,8,0.888888888888889,9,0.666666666666667,0,0.333333333333333,5,6,0.833333333333333,0,0,0,3,3,1,1,0.333333333333333,3,2,2,0,3,0.6,5,1,2,42,4,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Taylor","ENG",79,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.777777777777778,9,0,0.333333333333333,0.666666666666667,0,0,0,2,3,0.666666666666667,5,6,0.833333333333333,0.777777777777778,6,0.857142857142857,7,0,0.285714285714286,0.714285714285714,0,0,0,1,2,0.5,5,5,1,1,0.5,2,1,2,3,3,0.230769230769231,13,1,2,27,8,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Williams","ENG",19,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,15,0.555555555555556,27,0.703703703703704,0.037037037037037,0.259259259259259,7,19,0.368421052631579,1,1,1,7,7,1,0.444444444444444,5,0.416666666666667,12,0.75,0,0.25,2,9,0.222222222222222,0,0,0,3,3,1,2,0.666666666666667,3,1,1,0,3,0.6,5,1,1,15,5,0,7,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
