league,team,abbreviation
NWSL,Boston Breakers,BOS
NWSL,Chicago Red Stars,CRS
NWSL,FC Kansas City,FCKC
NWSL,Houston Dash,HOU
NWSL,Seattle Reign FC,SRFC
NWSL,Sky Blue FC,SBFC
NWSL,Portland Thorns FC,PTFC
NWSL,Washington Spirit,WAS
NWSL,Western New York Flash,WNYF
FAWSL,Arsenal Ladies FC,ALFC
FAWSL,Birmingham City Ladies,BCL
FAWSL,Chelsea Ladies FC,CLFC
FAWSL,Doncaster Rovers Belles,DRB
FAWSL,Liverpool Ladies FC,LLFC
FAWSL,Manchester City Women,MCW
FAWSL,Notts County Ladies FC,NOTT
FAWSL,Reading FC Women,RFCW
FAWSL,Sunderland AFC Ladies,SUND
FAWSL,Bristol City Women,BCW
WLEAGUE,Adelaide United,ADEL
WLEAGUE,Brisbane Roar,BRIS
WLEAGUE,Canberra United,CANB
WLEAGUE,Melbourne City,MLBC
WLEAGUE,Melbourne Victory,MLBV
WLEAGUE,Newcastle Jets,JETS
WLEAGUE,Perth Glory,PERTH
WLEAGUE,Sydney FC,SYDFC
WLEAGUE,Western Sydney Wanderers,WSW
