league,team,acronym
NWSL,Boston Breakers,BOS
NWSL,Chicago Red Stars,CR
NWSL,FC Kansas City,FCKC
NWSL,Houston Dash,HOU
NWSL,Seattle Reign FC,SRFC
NWSL,Sky Blue FC,SBFC
NWSL,Portland Thorns FC,PTFC
NWSL,Washington Spirit,WAS
NWSL,Western New York Flash,WNYF
