"event","time","poss.position","poss.team","poss.player","poss.action","poss.location","poss.play.destination","play.type","def.position","def.team","def.player","def.action","def.location","gk.ball.stop","gk.s.o.g.attempt","poss.player.disciplinary","poss.notes","def.player.disciplinary","def.notes"
1,"1",NA,NA,NA,"kickoff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"1",NA,"USA","Heath","passes.b.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"1",NA,"USA","Brian","passes.b.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"1",NA,"USA","Horan","passes.f.c",NA,NA,"launch",NA,NA,NA,NA,NA,NA,NA,NA,"second.assists",NA,NA
5,"1",NA,"USA","Lloyd","aerial.won",NA,NA,NA,NA,"CRC","Sanchez","aerial.lost",NA,NA,NA,NA,NA,NA,NA
6,"1",NA,"USA","Lloyd","passes.f.c",NA,"A18","headed,flick.on",NA,NA,NA,NA,NA,NA,NA,NA,"assists",NA,NA
7,"1",NA,"USA","Morgan","shots.scored","A18",NA,NA,NA,"CRC","Acosta","challenged","D18",NA,NA,NA,"big.chances.scored",NA,NA
7,"1",NA,NA,NA,NA,NA,NA,NA,NA,"CRC","Diaz","gk.s.o.g.scored",NA,"missed.the.ball","diving",NA,NA,NA,NA
8,"1",NA,NA,NA,"playcutoffbybroadcast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"1",NA,"USA","Heath","passes.f.c",NA,"AM3L",NA,NA,"CRC","Herrera","pressured",NA,NA,NA,NA,NA,NA,NA
10,"1",NA,"USA","Morgan","movement","AM3L","A3L",NA,NA,"CRC","Herrera","pressured","DM3R",NA,NA,NA,NA,NA,NA
11,"2",NA,"USA","Morgan","dispossessed",NA,NA,NA,NA,"CRC","Saenz","dispossess.steal",NA,NA,NA,NA,NA,NA,NA
12,"2",NA,"CRC","Saenz","passes.b.c",NA,NA,NA,NA,"USA","Morgan","pressured",NA,NA,NA,NA,NA,NA,NA
13,"2",NA,"CRC","Herrera","passes.b.c",NA,NA,NA,NA,"USA","Morgan","pressured",NA,NA,NA,NA,NA,NA,NA
14,"2",NA,"CRC","Sanchez","passes.s.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"2",NA,"CRC","Acosta","passes.f",NA,NA,NA,NA,"USA","Dunn","interceptions",NA,NA,NA,NA,NA,NA,NA
16,"2",NA,"USA","Dunn","movement","A3R","A3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
