uniq_poss_discp_id,uniq_event_id,match_id,event,possdiscp_id,poss_player_disciplinary
1000140,1007945,100022,754,1014,fouls.won
1000141,1008011,100022,820,1015,fouls.won
1000142,1008058,100022,867,1016,fouls.won
1000143,1008140,100022,949,1017,fouls.won
1000144,1008162,100022,971,1018,fouls.won
1000145,1008190,100022,999,1019,fouls.won
1000146,1008198,100022,1007,1020,fouls.won
1000147,1008221,100022,1030,1021,fouls.won
1000148,1008285,100022,1094,1022,fouls.won
1000149,1008320,100022,1129,1023,fouls.won
1000150,1008433,100022,1242,1024,fouls.won
1000151,1008447,100022,1256,1025,fouls.won
1000152,1008515,100021,57,1001,fouls.won
1000153,1008536,100021,78,1002,fouls.won
1000154,1008541,100021,83,1003,fouls.won
1000155,1008566,100021,108,1004,fouls.won
1000156,1008589,100021,131,1005,fouls.conceded
1000157,1008596,100021,138,1006,fouls.won
1000158,1008630,100021,172,1007,fouls.conceded
1000159,1008637,100021,179,1008,fouls.conceded
1000160,1008655,100021,197,1009,fouls.won
1000161,1008679,100021,221,1010,fouls.won
1000162,1008721,100021,263,1011,fouls.conceded
1000163,1008807,100021,349,1012,fouls.won
1000164,1008858,100021,400,1013,fouls.won
1000165,1008870,100021,412,1014,fouls.conceded
1000166,1009084,100021,626,1015,fouls.won
1000167,1009110,100021,652,1016,fouls.conceded
1000168,1009140,100021,682,1017,fouls.won
1000169,1009191,100021,733,1018,fouls.won
1000170,1009236,100021,778,1019,fouls.won
1000171,1009260,100021,802,1020,fouls.won
1000172,1009309,100021,851,1021,fouls.conceded
1000173,1009362,100021,904,1022,fouls.won
1000174,1009426,100021,968,1023,fouls.won
1000175,1009458,100021,1000,1024,fouls.conceded
1000176,1009493,100021,1035,1025,fouls.won
1000177,1009602,100021,1144,1026,fouls.conceded
1000178,1009630,100024,21,1001,fouls.won
1000179,1009772,100024,163,1002,fouls.conceded
1000180,1009777,100024,168,1003,fouls.conceded
1000181,1009807,100024,198,1004,fouls.won
1000182,1010170,100024,561,1005,fouls.won
1000183,1010224,100024,615,1006,fouls.conceded
1000184,1010234,100024,625,1007,fouls.won
1000185,1010277,100024,668,1008,fouls.won
1000186,1010286,100024,677,1009,fouls.won
1000187,1010300,100024,691,1010,fouls.won
1000188,1010350,100024,741,1011,fouls.won
1000189,1010360,100024,751,1012,fouls.won
1000190,1010588,100024,979,1013,fouls.won
1000191,1010639,100024,1030,1014,fouls.won
1000192,1010706,100024,1097,1015,fouls.won
1000193,1010782,100024,1173,1016,fouls.won
1000194,1010995,100024,1386,1017,fouls.won
1000195,1011065,100024,1456,1018,fouls.won
1000196,1011090,100024,1481,1019,fouls.conceded
1000197,1011281,100010,63,1001,fouls.conceded
1000198,1011317,100010,99,1002,fouls.won
1000199,1011378,100010,160,1003,fouls.won
1000200,1011394,100010,176,1004,fouls.won
1000201,1011446,100010,228,1005,fouls.conceded
1000202,1011496,100010,278,1006,fouls.won
1000203,1011557,100010,339,1007,fouls.won
1000204,1011574,100010,356,1008,fouls.conceded
1000205,1011686,100010,468,1009,fouls.won
1000206,1011743,100010,525,1010,fouls.won
1000207,1011818,100010,600,1011,fouls.won
1000208,1011877,100010,659,1012,fouls.conceded
1000209,1011903,100010,685,1013,fouls.conceded
1000210,1011905,100010,687,1014,fouls.conceded
1000211,1012032,100010,814,1015,fouls.won
1000212,1012033,100010,815,1016,fouls.won
1000213,1012111,100010,893,1017,fouls.won
1000214,1012142,100010,924,1018,fouls.won
1000215,1012191,100010,973,1019,fouls.conceded
1000216,1012251,100010,1033,1020,fouls.won
1000217,1012283,100010,1065,1021,fouls.won
1000218,1012339,100010,1121,1022,fouls.won
1000219,1012354,100010,1136,1023,fouls.won
1000220,1012427,100010,1209,1024,fouls.won
1000221,1012458,100010,1240,1025,fouls.won
1000222,1012540,100002,40,1001,fouls.won
1000223,1012649,100002,149,1002,fouls.won
1000224,1012702,100002,202,1003,fouls.won
1000225,1012851,100002,351,1004,fouls.won
1000226,1012865,100002,365,1005,fouls.conceded
1000227,1013340,100002,840,1006,fouls.conceded
1000228,1013463,100002,963,1007,fouls.won
1000229,1013524,100002,1024,1008,fouls.won
1000230,1013659,100002,1159,1009,fouls.won
1000231,1013764,100002,1264,1010,fouls.won
1000232,1013875,100002,1375,1011,fouls.won
1000233,1013946,100001,41,1001,fouls.won
1000234,1014050,100001,145,1002,fouls.won
1000235,1014181,100001,276,1003,fouls.conceded
1000236,1014374,100001,469,1004,fouls.won
1000237,1014434,100001,529,1005,fouls.won
1000238,1014516,100001,611,1006,fouls.conceded
1000239,1014599,100001,694,1007,fouls.conceded
1000240,1014669,100001,764,1008,fouls.won
1000241,1014730,100001,825,1009,fouls.won
1000242,1015018,100001,1113,1010,penalties.won
1000243,1015335,100001,1430,1011,fouls.won
1000244,1015352,100001,1447,1012,fouls.conceded
1000245,1015361,100001,1456,1013,fouls.won
1000246,1015370,100001,1465,1014,fouls.conceded
1000247,1015419,100001,1514,1015,fouls.won
1000248,1015472,100025,31,1001,fouls.won
1000249,1015487,100025,46,1002,fouls.won
1000250,1015507,100025,66,1003,fouls.won
1000251,1015576,100025,135,1004,fouls.conceded
1000252,1015660,100025,219,1005,fouls.won
1000253,1015694,100025,253,1006,fouls.won
1000254,1015707,100025,266,1007,fouls.won
1000255,1015712,100025,271,1008,fouls.conceded
1000256,1015758,100025,317,1009,fouls.won
1000257,1015825,100025,384,1010,fouls.conceded
1000258,1015868,100025,427,1011,fouls.won
1000259,1015872,100025,431,1012,fouls.won
1000260,1015909,100025,468,1013,fouls.won
1000261,1015942,100025,501,1014,fouls.won
1000262,1015985,100025,544,1015,fouls.won
1000263,1016029,100025,588,1016,fouls.won
1000264,1016075,100025,634,1017,fouls.won
1000265,1016142,100025,701,1018,fouls.won
1000266,1016154,100025,713,1019,fouls.won
1000267,1016216,100025,775,1020,fouls.won
1000268,1016340,100025,899,1021,fouls.won
1000269,1016414,100025,973,1022,fouls.won
1000270,1016494,100025,1053,1023,fouls.won
1000271,1016504,100025,1063,1024,fouls.conceded
1000272,1016512,100025,1071,1025,fouls.won
1000273,1016573,100025,1132,1026,fouls.won
1000274,1016598,100025,1157,1027,fouls.won
1000275,1016670,100025,1229,1028,fouls.won
1000276,1016828,100026,33,1001,fouls.won
1000277,1016963,100026,168,1002,fouls.won
1000278,1017255,100026,460,1003,fouls.conceded
1000279,1017275,100026,480,1004,fouls.won
1000280,1017383,100026,588,1005,fouls.conceded
1000281,1017392,100026,597,1006,fouls.won
1000282,1017402,100026,607,1007,fouls.won
1000283,1017534,100026,739,1008,fouls.won
1000284,1017576,100026,781,1009,fouls.won
1000285,1017602,100026,807,1010,fouls.won
1000286,1017610,100026,815,1011,fouls.won
1000287,1017670,100026,875,1012,fouls.won
1000288,1017683,100026,888,1013,fouls.conceded
1000289,1017695,100026,900,1014,fouls.won
1000290,1017828,100026,1033,1015,fouls.won
1000291,1018106,100030,71,1001,fouls.won
1000292,1018181,100030,146,1002,fouls.won
1000293,1018306,100030,271,1003,fouls.conceded
1000294,1018332,100030,297,1004,fouls.won
1000295,1018378,100030,343,1005,fouls.won
1000296,1018440,100030,405,1006,fouls.won
1000297,1018481,100030,446,1007,fouls.won
1000298,1018493,100030,458,1008,fouls.won
1000299,1018529,100030,494,1009,fouls.conceded
1000300,1018667,100030,632,1010,fouls.won
1000301,1018765,100030,730,1011,fouls.won
1000302,1018770,100030,735,1012,fouls.won
1000303,1018810,100030,775,1013,fouls.conceded
1000304,1018897,100030,862,1014,fouls.won
1000305,1018919,100030,884,1015,fouls.won
1000306,1019015,100030,980,1016,fouls.won
1000307,1019068,100030,1033,1017,fouls.won
1000308,1019246,100030,1211,1018,fouls.won
1000309,1019317,100030,1282,1019,fouls.won
1000310,1019477,100009,133,1001,fouls.won
1000311,1019559,100009,215,1002,fouls.won
1000312,1019572,100009,228,1003,fouls.won
1000313,1019827,100009,483,1004,fouls.won
1000314,1019829,100009,485,1005,fouls.won
1000315,1019836,100009,492,1006,fouls.won
1000316,1019851,100009,507,1007,fouls.won
1000317,1019867,100009,523,1008,fouls.won
1000318,1019976,100009,632,1009,fouls.won
1000319,1020112,100009,768,1010,fouls.won
1000320,1020404,100009,1060,1011,fouls.won
1000321,1020470,100009,1126,1012,fouls.won
1000322,1020496,100009,1152,1013,fouls.conceded
1000323,1020508,100009,1164,1014,fouls.won
1000324,1020519,100009,1175,1015,fouls.conceded
1000325,1020539,100009,1195,1016,fouls.won
1000326,1020788,100027,195,1001,fouls.conceded
1000327,1020911,100027,318,1002,fouls.won
1000328,1020914,100027,321,1003,fouls.conceded
1000329,1021026,100027,433,1004,fouls.won
1000330,1021111,100027,518,1005,fouls.won
1000331,1021141,100027,548,1006,fouls.won
1000332,1021190,100027,597,1007,fouls.won
1000333,1021367,100027,774,1008,fouls.won
1000334,1021370,100027,777,1009,fouls.won
1000335,1021375,100027,782,1010,fouls.won
1000336,1021422,100027,829,1011,fouls.conceded
1000337,1021493,100027,900,1012,fouls.won
1000338,1021521,100027,928,1013,fouls.won
1000339,1021545,100027,952,1014,fouls.won
1000340,1021601,100027,1008,1015,fouls.won
1000341,1021670,100027,1077,1016,fouls.won
1000342,1021711,100027,1118,1017,fouls.conceded
1000343,1021866,100027,1273,1018,fouls.won
1000344,1021876,100027,1283,1019,fouls.won
1000345,1022053,100028,41,1001,fouls.won
1000346,1022128,100028,116,1002,fouls.won
1000347,1022227,100028,215,1003,fouls.won
1000348,1022458,100028,446,1004,fouls.won
1000349,1022504,100028,492,1005,fouls.won
1000350,1022527,100028,515,1006,fouls.conceded
1000351,1022576,100028,564,1007,fouls.won
1000352,1022784,100028,772,1008,fouls.won
1000353,1022842,100028,830,1009,fouls.won
1000354,1022851,100028,839,1010,fouls.won
1000355,1022898,100028,886,1011,fouls.won
1000356,1023013,100028,1001,1012,fouls.won
1000357,1023081,100028,1069,1013,fouls.won
1000358,1023120,100028,1108,1014,fouls.won
1000359,1023183,100029,36,1001,fouls.won
1000360,1023246,100029,99,1002,fouls.won
1000361,1023304,100029,157,1003,fouls.won
1000362,1023506,100029,359,1004,fouls.conceded
1000363,1023515,100029,368,1005,fouls.conceded
1000364,1023534,100029,387,1006,fouls.won
1000365,1023648,100029,501,1007,fouls.won
1000366,1023656,100029,509,1008,fouls.won
1000367,1023769,100029,622,1009,fouls.won
1000368,1023905,100029,758,1010,fouls.conceded
1000369,1023950,100029,803,1011,fouls.won
1000370,1024020,100029,873,1012,fouls.won
1000371,1024045,100029,898,1013,fouls.won
1000372,1024171,100029,1024,1014,fouls.won
1000373,1024313,100029,1166,1015,fouls.won
1000374,1024319,100029,1172,1016,fouls.won
1000375,1024346,100029,1199,1017,fouls.won
1000376,1024384,100029,1237,1018,fouls.won
1000377,1024463,100029,1316,1019,fouls.won
1000378,1024475,100029,1328,1020,fouls.won
1000379,1024521,100032,32,1001,fouls.won
1000380,1024572,100032,83,1002,fouls.won
1000381,1024621,100032,132,1003,fouls.won
1000382,1024624,100032,135,1004,fouls.conceded
1000383,1024735,100032,246,1005,fouls.conceded
1000384,1024762,100032,273,1006,fouls.won
1000385,1024784,100032,295,1007,fouls.won
1000386,1024855,100032,366,1008,fouls.won
1000387,1024922,100032,433,1009,fouls.won
1000388,1024986,100032,497,1010,fouls.won
1000389,1025098,100032,609,1011,fouls.conceded
1000390,1025128,100032,639,1012,fouls.won
1000391,1025171,100032,682,1013,fouls.won
