uniq_def_discp_id,uniq_event_id,match_id,event,defdiscp_id,lineup_player_id,def_player_disciplinary
1000001,1000043,100015,43,1001,108,fouls.conceded
1000002,1000054,100015,54,1002,107,fouls.won
1000003,1000085,100015,85,1003,125,fouls.conceded
1000004,1000103,100015,103,1004,105,fouls.won
1000005,1000180,100015,180,1005,104,fouls.won
1000006,1000192,100015,192,1006,117,fouls.won
1000007,1000196,100015,196,1007,111,fouls.conceded
1000008,1000219,100015,219,1008,121,fouls.conceded
1000009,1000219,100015,219,1009,121,yellow.cards
1000010,1000324,100015,324,1010,120,fouls.won
1000011,1000352,100015,352,1011,118,fouls.conceded
1000012,1000360,100015,360,1012,109,fouls.won
1000013,1000403,100015,403,1013,109,fouls.conceded
1000014,1000480,100015,480,1014,124,fouls.conceded
1000015,1000496,100015,496,1015,122,fouls.conceded
1000016,1000509,100015,509,1016,109,fouls.won
1000017,1000513,100015,513,1017,104,fouls.won
1000018,1000631,100015,631,1018,107,fouls.won
1000019,1000694,100015,694,1019,124,fouls.conceded
1000020,1000707,100015,707,1020,109,fouls.conceded
1000021,1000783,100015,783,1021,110,fouls.won
1000022,1000807,100015,807,1022,105,fouls.conceded
1000023,1000810,100015,810,1023,102,fouls.won
1000024,1000916,100015,916,1024,101,fouls.won
1000025,1000975,100015,975,1025,116,fouls.won
1000026,1001010,100015,1010,1026,111,yellow.cards
1000027,1001024,100015,1024,1027,113,fouls.conceded
1000028,1001098,100015,1098,1028,111,fouls.conceded
1000029,1001155,100015,1155,1029,126,fouls.conceded
1000030,1001164,100015,1164,1030,116,fouls.conceded
1000031,1001255,100011,24,1001,102,fouls.conceded
1000032,1001330,100011,99,1002,125,penalties.conceded
1000033,1001357,100011,126,1003,111,fouls.conceded
1000034,1001415,100011,184,1004,115,yellow.cards
1000035,1001421,100011,190,1005,102,fouls.conceded
1000036,1001461,100011,230,1006,121,fouls.won
1000037,1001465,100011,234,1007,103,fouls.conceded
1000038,1001477,100011,246,1008,116,fouls.conceded
1000039,1001581,100011,350,1009,122,"fouls.conceded,yellow.card"
1000040,1001604,100011,373,1010,120,fouls.won
1000041,1001689,100011,458,1011,122,fouls.won
1000042,1001704,100011,473,1012,121,fouls.won
1000043,1001790,100011,559,1013,111,fouls.won
1000044,1001805,100011,574,1014,106,fouls.conceded
1000045,1001867,100011,636,1015,127,fouls.conceded
1000046,1001891,100011,660,1016,116,fouls.conceded
1000047,1001931,100011,700,1017,109,fouls.conceded
1000048,1002066,100011,835,1018,109,fouls.conceded
1000049,1002213,100011,982,1019,107,fouls.conceded
