uniq_def_notes_id,uniq_event_id,match_id,event,defnotes_id,lineup_player_id,def_notes
1000209,1171474,100115,1083,1002,101,errors.to.goals
1000210,1171780,100115,1389,1003,121,big.chances.stopped
1000211,1172330,100064,426,1001,104,big.chances.stopped
1000212,1172821,100064,917,1002,115,big.chances.stopped
1000213,1172909,100064,1005,1003,116,errors.to.big.chances
1000214,1173399,100080,321,1001,105,big.chances.stopped
1000215,1174013,100080,935,1002,117,big.chances.stopped
1000216,1174504,100084,305,1001,115,big.chances.stopped
1000217,1174790,100084,591,1002,115,big.chances.stopped
1000218,1174986,100084,787,1003,115,big.chances.stopped
1000219,1175292,100084,1093,1004,103,big.chances.stopped
1000220,1175378,100084,1179,1005,101,big.chances.stopped
1000221,1175929,100100,364,1001,125,big.chances.stopped
1000222,1175985,100100,420,1002,119,errors.to.big.chances
1000223,1175987,100100,422,1003,125,big.chances.stopped
1000224,1176003,100100,438,1004,111,big.chances.stopped
1000225,1176084,100100,519,1005,125,big.chances.stopped
1000226,1176458,100100,893,1006,125,big.chances.stopped
1000227,1177378,100110,829,1001,101,errors.to.big.chances
1000228,1177534,100110,985,1002,114,big.chances.stopped
1000229,1178384,100070,387,1001,124,big.chances.stopped
1000230,1178433,100070,436,1002,111,errors.to.big.chances
1000231,1178435,100070,438,1003,111,big.chances.stopped
1000232,1178435,100070,438,1004,110,big.chances.stopped
1000233,1178488,100070,491,1005,111,big.chances.stopped
1000234,1178530,100070,533,1006,101,big.chances.stopped
1000235,1178957,100070,960,1007,,big.chances.stopped
1000236,1180307,100073,1195,1001,115,big.chances.stopped
1000237,1180438,100060,101,1001,115,errors.to.goals
1000238,1180599,100060,262,1002,121,errors.to.goals
1000239,1181004,100060,667,1003,115,errors.to.goals
1000240,1181232,100060,895,1004,101,big.chances.stopped
1000241,1181785,100091,38,1001,124,big.chances.stopped
1000242,1182359,100091,612,1002,128,errors.to.goals
1000243,1182463,100091,716,1003,122,big.chances.stopped
1000244,1182481,100091,734,1004,128,big.chances.stopped
1000245,1182578,100091,831,1005,128,big.chances.stopped
1000246,1182892,100091,1145,1006,128,errors.to.goals
1000247,1182979,100091,1232,1007,110,errors.to.goals
1000248,1183004,100091,1257,1008,128,errors.to.big.chances
1000249,1183005,100091,1258,1009,123,big.chances.stopped
1000250,1183561,100045,547,1001,115,errors.to.big.chances
