uniq_evtype_id,uniq_event_id,match_id,event,evtype_id,play_type
1000135,1000659,100015,659,1135,headed
1000136,1000661,100015,661,1136,through
1000137,1000668,100015,668,1137,flick.on
1000138,1000669,100015,669,1138,through
1000139,1000670,100015,670,1139,lay.off
1000140,1000671,100015,671,1140,flick.on
1000141,1000672,100015,672,1141,flick.on
1000142,1000674,100015,674,1142,lay.off
1000143,1000676,100015,676,1143,through
1000144,1000678,100015,678,1144,launch
1000145,1000680,100015,680,1145,headed
1000146,1000684,100015,684,1146,through
1000147,1000687,100015,687,1147,corner.crosses
1000148,1000688,100015,688,1148,headed
1000149,1000691,100015,691,1149,launch
1000150,1000695,100015,695,1150,launch
1000151,1000696,100015,696,1151,through
1000152,1000697,100015,697,1152,lay.off
1000153,1000701,100015,701,1153,through
1000154,1000703,100015,703,1154,headed
1000155,1000706,100015,706,1155,launch
1000156,1000712,100015,712,1156,"free.kick,launch"
1000157,1000713,100015,713,1157,through
1000158,1000715,100015,715,1158,flick.on
1000159,1000728,100015,728,1159,through
1000160,1000734,100015,734,1160,through
1000161,1000759,100015,759,1161,corner.crosses
1000162,1000763,100015,763,1162,launch
1000163,1000764,100015,764,1163,through
1000164,1000766,100015,766,1164,through
1000165,1000770,100015,770,1165,launch
1000166,1000777,100015,777,1166,through
1000167,1000781,100015,781,1167,headed
1000168,1000784,100015,784,1168,launch
1000169,1000788,100015,788,1169,through
1000170,1000799,100015,799,1170,lay.off
1000171,1000803,100015,803,1171,lay.off
1000172,1000806,100015,806,1172,launch
1000173,1000809,100015,809,1173,launch
1000174,1000811,100015,811,1174,launch
1000175,1000822,100015,822,1175,launch
1000176,1000823,100015,823,1176,launch
1000177,1000829,100015,829,1177,lay.off
1000178,1000837,100015,837,1178,launch
1000179,1000843,100015,843,1179,launch
1000180,1000848,100015,848,1180,through
1000181,1000849,100015,849,1181,corner.crosses
1000182,1000855,100015,855,1182,through
1000183,1000864,100015,864,1183,through
1000184,1000866,100015,866,1184,corner.kick
1000185,1000868,100015,868,1185,headed
1000186,1000870,100015,870,1186,through
1000187,1000871,100015,871,1187,lay.off
1000188,1000878,100015,878,1188,switch
1000189,1000897,100015,897,1189,through
1000190,1000902,100015,902,1190,launch
1000191,1000904,100015,904,1191,headed
1000192,1000908,100015,908,1192,launch
1000193,1000909,100015,909,1193,through
1000194,1000913,100015,913,1194,corner.crosses
1000195,1000915,100015,915,1195,corner.kick
1000196,1000919,100015,919,1196,"free.kick,launch"
1000197,1000923,100015,923,1197,lay.off
1000198,1000925,100015,925,1198,launch
1000199,1000926,100015,926,1199,gk.throws
1000200,1000930,100015,930,1200,lay.off
1000201,1000933,100015,933,1201,launch
1000202,1000934,100015,934,1202,headed
1000203,1000935,100015,935,1203,through
1000204,1000940,100015,940,1204,corner.crosses
1000205,1000941,100015,941,1205,through
1000206,1000949,100015,949,1206,launch
1000207,1000952,100015,952,1207,flick.on
1000208,1000959,100015,959,1208,through
1000209,1000965,100015,965,1209,corner.crosses
1000210,1000972,100015,972,1210,gk.drop.kick
1000211,1000974,100015,974,1211,through
1000212,1000981,100015,981,1212,through
1000213,1000984,100015,984,1213,launch
1000214,1000986,100015,986,1214,launch
1000215,1000991,100015,991,1215,through
1000216,1000993,100015,993,1216,corner.crosses
1000217,1001003,100015,1003,1217,lay.off
1000218,1001011,100015,1011,1218,"free.kick,launch"
1000219,1001025,100015,1025,1219,free.kick
1000220,1001026,100015,1026,1220,corner.crosses
1000221,1001028,100015,1028,1221,corner.crosses
1000222,1001032,100015,1032,1222,headed
1000223,1001033,100015,1033,1223,lay.off
1000224,1001036,100015,1036,1224,launch
1000225,1001049,100015,1049,1225,launch
1000226,1001072,100015,1072,1226,launch
1000227,1001077,100015,1077,1227,through
1000228,1001083,100015,1083,1228,lay.off
1000229,1001084,100015,1084,1229,launch
1000230,1001085,100015,1085,1230,through
1000231,1001086,100015,1086,1231,corner.crosses
1000232,1001089,100015,1089,1232,through
1000233,1001093,100015,1093,1233,lay.off
1000234,1001096,100015,1096,1234,corner.crosses
1000235,1001099,100015,1099,1235,free.kick
1000236,1001103,100015,1103,1236,launch
1000237,1001104,100015,1104,1237,headed
1000238,1001107,100015,1107,1238,through
1000239,1001112,100015,1112,1239,launch
1000240,1001115,100015,1115,1240,launch
1000241,1001116,100015,1116,1241,flick.on
1000242,1001116,100015,1116,1242,headed
1000243,1001122,100015,1122,1243,launch
1000244,1001124,100015,1124,1244,headed
1000245,1001125,100015,1125,1245,gk.drop.kick
1000246,1001129,100015,1129,1246,launch
1000247,1001137,100015,1137,1247,launch
1000248,1001161,100015,1161,1248,corner.crosses
1000249,1001163,100015,1163,1249,corner.kick
1000250,1001165,100015,1165,1250,free.kick
1000251,1001170,100015,1170,1251,flick.on
1000252,1001171,100015,1171,1252,corner.crosses
1000253,1001176,100015,1176,1253,headed
1000254,1001182,100015,1182,1254,corner.crosses
1000255,1001188,100015,1188,1255,through
1000256,1001201,100015,1201,1256,launch
1000257,1001202,100015,1202,1257,headed
1000258,1001203,100015,1203,1258,headed
1000259,1001204,100015,1204,1259,"goal.kick,launch"
1000260,1001207,100015,1207,1260,launch
1000261,1001212,100015,1212,1261,corner.crosses
1000262,1001213,100015,1213,1262,gk.throws
1000263,1001222,100015,1222,1263,flick.on
1000264,1001223,100015,1223,1264,corner.crosses
1000265,1001224,100015,1224,1265,corner.kick
1000266,1001225,100015,1225,1266,corner.crosses
1000267,1001226,100015,1226,1267,through
1000268,1001235,100011,4,1001,launch
1000269,1001237,100011,6,1002,headed
1000270,1001249,100011,18,1003,corner.kick
1000271,1001251,100011,20,1004,corner.kick
1000272,1001252,100011,21,1005,corner.kick
1000273,1001256,100011,25,1006,launch
1000274,1001260,100011,29,1007,headed
1000275,1001270,100011,39,1008,lay.off
1000276,1001275,100011,44,1009,through
1000277,1001277,100011,46,1010,through
1000278,1001279,100011,48,1011,corner.crosses
1000279,1001280,100011,49,1012,goal.kick
1000280,1001286,100011,55,1013,through
1000281,1001289,100011,58,1014,through
1000282,1001296,100011,65,1015,launch
1000283,1001297,100011,66,1016,lay.off
1000284,1001306,100011,75,1017,through
1000285,1001319,100011,88,1018,through
1000286,1001322,100011,91,1019,through
1000287,1001324,100011,93,1020,through
1000288,1001326,100011,95,1021,headed
1000289,1001331,100011,100,1022,penalty.kick
1000290,1001339,100011,108,1023,lay.off
1000291,1001354,100011,123,1024,launch
1000292,1001358,100011,127,1025,free.kick
1000293,1001360,100011,129,1026,launch
1000294,1001366,100011,135,1027,through
1000295,1001367,100011,136,1028,corner.crosses
1000296,1001368,100011,137,1029,corner.kick
1000297,1001372,100011,141,1030,through
1000298,1001374,100011,143,1031,through
1000299,1001376,100011,145,1032,launch
1000300,1001378,100011,147,1033,through
1000301,1001393,100011,162,1034,launch
1000302,1001394,100011,163,1035,through
1000303,1001408,100011,177,1036,through
1000304,1001409,100011,178,1037,headed
1000305,1001420,100011,189,1038,launch
1000306,1001421,100011,190,1039,through
1000307,1001422,100011,191,1040,"free.kick,deep.crosses"
1000308,1001423,100011,192,1041,gk.throws
1000309,1001429,100011,198,1042,launch
1000310,1001435,100011,204,1043,launch
1000311,1001452,100011,221,1044,through
1000312,1001453,100011,222,1045,headed
1000313,1001457,100011,226,1046,through
1000314,1001461,100011,230,1047,corner.crosses
1000315,1001462,100011,231,1048,"free.kick,launch"
1000316,1001466,100011,235,1049,free.kick
1000317,1001467,100011,236,1050,launch
1000318,1001473,100011,242,1051,launch
1000319,1001474,100011,243,1052,headed
1000320,1001478,100011,247,1053,free.kick
1000321,1001505,100011,274,1054,through
1000322,1001517,100011,286,1055,launch
1000323,1001518,100011,287,1056,through
1000324,1001526,100011,295,1057,through
1000325,1001527,100011,296,1058,corner.crosses
1000326,1001529,100011,298,1059,headed
1000327,1001549,100011,318,1060,through
1000328,1001550,100011,319,1061,through
1000329,1001558,100011,327,1062,goal.kick
1000330,1001564,100011,333,1063,launch
1000331,1001568,100011,337,1064,launch
1000332,1001584,100011,353,1065,corner.crosses
1000333,1001586,100011,355,1066,"goal.kick,launch"
1000334,1001602,100011,371,1067,corner.crosses
1000335,1001605,100011,374,1068,free.kick
1000336,1001610,100011,379,1069,launch
1000337,1001617,100011,386,1070,corner.crosses
1000338,1001624,100011,393,1071,through
1000339,1001626,100011,395,1072,gk.drop.kick
1000340,1001631,100011,400,1073,launch
1000341,1001632,100011,401,1074,"goal.kick,launch"
1000342,1001636,100011,405,1075,launch
1000343,1001640,100011,409,1076,through
1000344,1001667,100011,436,1077,corner.crosses
1000345,1001673,100011,442,1078,"goal.kick,launch"
1000346,1001679,100011,448,1079,"goal.kick,launch"
1000347,1001688,100011,457,1080,corner.crosses
1000348,1001689,100011,458,1081,corner.kick
1000349,1001690,100011,459,1082,free.kick
1000350,1001691,100011,460,1083,launch
1000351,1001693,100011,462,1084,headed
1000352,1001702,100011,471,1085,launch
1000353,1001705,100011,474,1086,"free.kick,deep.crosses"
1000354,1001711,100011,480,1087,switch
1000355,1001714,100011,483,1088,corner.crosses
1000356,1001715,100011,484,1089,gk.throws
