uniq_poss_discp_id,match_id,possdiscp_id,event,poss_player_disciplinary
1000000,100015,1001,43,fouls.won
1000001,100015,1002,55,fouls.conceded
1000002,100015,1003,87,fouls.won
1000003,100015,1004,106,fouls.conceded
1000004,100015,1005,184,fouls.conceded
1000005,100015,1006,197,fouls.conceded
1000006,100015,1007,224,fouls.won
1000007,100015,1008,329,fouls.conceded
1000008,100015,1009,358,fouls.won
1000009,100015,1010,366,fouls.conceded
1000010,100015,1011,409,fouls.won
1000011,100015,1012,487,fouls.conceded
1000012,100015,1013,503,fouls.won
1000013,100015,1014,516,fouls.conceded
1000014,100015,1015,639,fouls.conceded
1000015,100015,1016,702,fouls.won
1000016,100015,1017,715,fouls.won
1000017,100015,1018,791,fouls.conceded
1000018,100015,1019,815,fouls.won
1000019,100015,1020,818,fouls.conceded
1000020,100015,1021,924,fouls.conceded
1000021,100015,1022,983,fouls.conceded
1000022,100015,1023,1019,fouls.won
1000023,100015,1024,1033,fouls.won
1000024,100015,1025,1107,fouls.won
1000025,100015,1026,1165,fouls.won
1000026,100015,1027,1174,fouls.won
1000027,100011,1001,24,fouls.won
1000028,100011,1002,99,penalties.won
1000029,100011,1003,127,fouls.won
1000030,100011,1004,192,fouls.won
1000031,100011,1005,233,fouls.conceded
1000032,100011,1006,237,fouls.won
1000033,100011,1007,249,fouls.won
1000034,100011,1008,353,fouls.won
1000035,100011,1009,376,"fouls.conceded,yellow.card"
1000036,100011,1010,463,fouls.conceded
1000037,100011,1011,478,fouls.conceded
1000038,100011,1012,565,fouls.conceded
1000039,100011,1013,581,fouls.won
1000040,100011,1014,607,fouls.conceded
1000041,100011,1015,644,fouls.won
1000042,100011,1016,669,fouls.won
1000043,100011,1017,710,fouls.won
1000044,100011,1018,846,fouls.won
1000045,100011,1019,993,fouls.won
1000046,100011,1020,1173,fouls.won
1000047,100011,1021,1187,fouls.won
1000048,100012,1001,80,fouls.won
1000049,100012,1002,127,fouls.won
1000050,100012,1003,234,fouls.won
1000051,100012,1004,242,fouls.conceded
1000052,100012,1005,252,fouls.won
1000053,100012,1006,255,fouls.conceded
1000054,100012,1007,361,fouls.won
1000055,100012,1008,438,fouls.won
1000056,100012,1009,463,fouls.won
1000057,100012,1010,545,fouls.conceded
1000058,100012,1011,556,fouls.won
1000059,100012,1012,604,fouls.won
1000060,100012,1013,606,fouls.conceded
1000061,100012,1014,652,fouls.conceded
1000062,100012,1015,744,fouls.won
1000063,100012,1016,912,fouls.conceded
1000064,100012,1017,937,fouls.won
1000065,100012,1018,984,fouls.won
1000066,100013,1001,77,fouls.won
1000067,100013,1002,105,fouls.won
1000068,100013,1003,208,penalties.won
1000069,100013,1004,242,fouls.won
1000070,100013,1005,332,fouls.won
1000071,100013,1006,386,fouls.won
1000072,100013,1007,391,fouls.conceded
1000073,100013,1008,491,fouls.won
1000074,100013,1009,524,fouls.won
1000075,100013,1010,644,fouls.won
1000076,100013,1011,663,fouls.conceded
1000077,100013,1012,704,fouls.conceded
1000078,100013,1013,889,fouls.won
1000079,100013,1014,967,fouls.conceded
1000080,100013,1015,1034,fouls.won
1000081,100013,1016,1047,fouls.won
1000082,100014,1001,43,fouls.won
1000083,100014,1002,89,fouls.won
1000084,100014,1003,273,fouls.conceded
1000085,100014,1004,308,fouls.won
1000086,100014,1005,372,fouls.won
1000087,100014,1006,390,fouls.won
1000088,100014,1007,402,fouls.won
1000089,100014,1008,506,fouls.won
1000090,100014,1009,536,fouls.won
1000091,100014,1010,599,fouls.won
1000092,100014,1011,656,fouls.conceded
1000093,100014,1012,804,fouls.won
1000094,100014,1013,827,fouls.won
1000095,100014,1014,977,fouls.won
1000096,100014,1015,1016,fouls.won
1000097,100014,1016,1099,fouls.won
1000098,100014,1017,1135,fouls.won
1000099,100023,1001,38,fouls.won
1000100,100023,1002,54,fouls.won
1000101,100023,1003,71,fouls.won
1000102,100023,1004,90,fouls.won
1000103,100023,1005,111,fouls.won
1000104,100023,1006,138,fouls.conceded
1000105,100023,1007,196,fouls.won
1000106,100023,1008,217,fouls.conceded
1000107,100023,1009,321,fouls.won
1000108,100023,1010,341,fouls.won
1000109,100023,1011,371,fouls.won
1000110,100023,1012,463,fouls.won
1000111,100023,1013,490,fouls.won
1000112,100023,1014,734,fouls.won
1000113,100023,1015,773,fouls.won
1000114,100023,1016,955,fouls.won
1000115,100023,1017,975,fouls.won
1000116,100023,1018,999,fouls.won
1000117,100023,1019,1099,fouls.conceded
1000118,100023,1020,1099,yellow.cards
1000119,100023,1021,1144,fouls.won
1000120,100023,1022,1149,fouls.won
1000121,100023,1023,1205,fouls.won
1000122,100023,1024,1221,fouls.won
1000123,100023,1025,1243,fouls.won
1000124,100023,1026,1269,yellow.cards
1000125,100023,1027,1314,fouls.won
1000126,100022,1001,21,fouls.won
1000127,100022,1002,130,fouls.won
1000128,100022,1003,230,fouls.won
1000129,100022,1004,342,fouls.won
1000130,100022,1005,347,fouls.won
1000131,100022,1006,425,fouls.won
1000132,100022,1007,479,fouls.won
1000133,100022,1008,501,fouls.won
1000134,100022,1009,520,fouls.won
1000135,100022,1010,540,fouls.won
1000136,100022,1011,564,fouls.won
1000137,100022,1012,623,fouls.conceded
1000138,100022,1013,717,fouls.conceded
1000139,100022,1014,759,fouls.won
1000140,100022,1015,825,fouls.won
1000141,100022,1016,872,fouls.won
1000142,100022,1017,954,fouls.won
1000143,100022,1018,976,fouls.won
1000144,100022,1019,1004,fouls.won
1000145,100022,1020,1012,fouls.won
1000146,100022,1021,1035,fouls.won
1000147,100022,1022,1099,fouls.won
1000148,100022,1023,1134,fouls.won
1000149,100022,1024,1247,fouls.won
1000150,100022,1025,1261,fouls.won
1000151,100021,1001,57,fouls.won
1000152,100021,1002,78,fouls.won
1000153,100021,1003,83,fouls.won
1000154,100021,1004,108,fouls.won
1000155,100021,1005,131,fouls.conceded
1000156,100021,1006,138,fouls.won
1000157,100021,1007,172,fouls.conceded
1000158,100021,1008,179,fouls.conceded
1000159,100021,1009,197,fouls.won
1000160,100021,1010,221,fouls.won
1000161,100021,1011,263,fouls.conceded
1000162,100021,1012,349,fouls.won
1000163,100021,1013,400,fouls.won
1000164,100021,1014,412,fouls.conceded
1000165,100021,1015,627,fouls.won
1000166,100021,1016,653,fouls.conceded
1000167,100021,1017,684,fouls.won
1000168,100021,1018,735,fouls.won
1000169,100021,1019,780,fouls.won
1000170,100021,1020,804,fouls.won
1000171,100021,1021,853,fouls.conceded
1000172,100021,1022,906,fouls.won
1000173,100021,1023,970,fouls.won
1000174,100021,1024,1003,fouls.conceded
1000175,100021,1025,1038,fouls.won
1000176,100021,1026,1148,fouls.conceded
1000177,100024,1001,21,fouls.won
1000178,100024,1002,164,fouls.conceded
1000179,100024,1003,169,fouls.conceded
1000180,100024,1004,199,fouls.won
1000181,100024,1005,562,fouls.won
1000182,100024,1006,616,fouls.conceded
1000183,100024,1007,626,fouls.won
1000184,100024,1008,669,fouls.won
1000185,100024,1009,678,fouls.won
1000186,100024,1010,693,fouls.won
1000187,100024,1011,744,fouls.won
1000188,100024,1012,754,fouls.won
1000189,100024,1013,983,fouls.won
1000190,100024,1014,1035,fouls.won
1000191,100024,1015,1102,fouls.won
1000192,100024,1016,1178,fouls.won
1000193,100024,1017,1391,fouls.won
1000194,100024,1018,1461,fouls.won
1000195,100024,1019,1486,fouls.conceded
1000196,100010,1001,64,fouls.conceded
1000197,100010,1002,101,fouls.won
1000198,100010,1003,163,fouls.won
1000199,100010,1004,180,fouls.won
1000200,100010,1005,233,fouls.conceded
1000201,100010,1006,284,fouls.won
1000202,100010,1007,345,fouls.won
1000203,100010,1008,363,fouls.conceded
1000204,100010,1009,475,fouls.won
1000205,100010,1010,533,fouls.won
1000206,100010,1011,609,fouls.won
1000207,100010,1012,668,fouls.conceded
1000208,100010,1013,695,fouls.conceded
1000209,100010,1014,697,fouls.conceded
1000210,100010,1015,825,fouls.won
1000211,100010,1016,827,fouls.won
1000212,100010,1017,906,fouls.won
1000213,100010,1018,938,fouls.won
1000214,100010,1019,987,fouls.conceded
1000215,100010,1020,1048,fouls.won
1000216,100010,1021,1081,fouls.won
1000217,100010,1022,1138,fouls.won
1000218,100010,1023,1154,fouls.won
1000219,100010,1024,1230,fouls.won
1000220,100010,1025,1261,fouls.won
1000221,100002,1001,40,fouls.won
1000222,100002,1002,149,fouls.won
1000223,100002,1003,202,fouls.won
1000224,100002,1004,351,fouls.won
1000225,100002,1005,365,fouls.conceded
1000226,100002,1006,840,fouls.conceded
1000227,100002,1007,963,fouls.won
1000228,100002,1008,1024,fouls.won
1000229,100002,1009,1159,fouls.won
1000230,100002,1010,1264,fouls.won
1000231,100002,1011,1375,fouls.won
1000232,100001,1001,41,fouls.won
1000233,100001,1002,145,fouls.won
1000234,100001,1003,276,fouls.conceded
1000235,100001,1004,469,fouls.won
1000236,100001,1005,529,fouls.won
1000237,100001,1006,611,fouls.conceded
1000238,100001,1007,694,fouls.conceded
1000239,100001,1008,764,fouls.won
1000240,100001,1009,825,fouls.won
1000241,100001,1010,1113,penalties.won
1000242,100001,1011,1430,fouls.won
1000243,100001,1012,1447,fouls.conceded
1000244,100001,1013,1456,fouls.won
1000245,100001,1014,1465,fouls.conceded
1000246,100001,1015,1514,fouls.won
1000247,100025,1001,31,fouls.won
1000248,100025,1002,46,fouls.won
1000249,100025,1003,66,fouls.won
1000250,100025,1004,135,fouls.conceded
1000251,100025,1005,219,fouls.won
1000252,100025,1006,253,fouls.won
1000253,100025,1007,266,fouls.won
1000254,100025,1008,271,fouls.conceded
1000255,100025,1009,317,fouls.won
1000256,100025,1010,384,fouls.conceded
1000257,100025,1011,427,fouls.won
1000258,100025,1012,431,fouls.won
1000259,100025,1013,468,fouls.won
1000260,100025,1014,501,fouls.won
1000261,100025,1015,544,fouls.won
1000262,100025,1016,588,fouls.won
1000263,100025,1017,634,fouls.won
1000264,100025,1018,701,fouls.won
1000265,100025,1019,713,fouls.won
1000266,100025,1020,775,fouls.won
1000267,100025,1021,899,fouls.won
1000268,100025,1022,973,fouls.won
1000269,100025,1023,1053,fouls.won
1000270,100025,1024,1063,fouls.conceded
1000271,100025,1025,1071,fouls.won
1000272,100025,1026,1132,fouls.won
1000273,100025,1027,1157,fouls.won
1000274,100025,1028,1229,fouls.won
1000275,100026,1001,33,fouls.won
1000276,100026,1002,168,fouls.won
1000277,100026,1003,461,fouls.conceded
1000278,100026,1004,481,fouls.won
1000279,100026,1005,589,fouls.conceded
1000280,100026,1006,598,fouls.won
1000281,100026,1007,608,fouls.won
1000282,100026,1008,739,fouls.won
1000283,100026,1009,781,fouls.won
1000284,100026,1010,807,fouls.won
1000285,100026,1011,815,fouls.won
1000286,100026,1012,875,fouls.won
1000287,100026,1013,888,fouls.conceded
1000288,100026,1014,900,fouls.won
1000289,100026,1015,1034,fouls.won
1000290,100030,1001,71,fouls.won
1000291,100030,1002,146,fouls.won
1000292,100030,1003,271,fouls.conceded
1000293,100030,1004,297,fouls.won
1000294,100030,1005,343,fouls.won
1000295,100030,1006,406,fouls.won
1000296,100030,1007,447,fouls.won
1000297,100030,1008,459,fouls.won
1000298,100030,1009,495,fouls.conceded
1000299,100030,1010,633,fouls.won
1000300,100030,1011,730,fouls.won
