match_id,date,competition_slug,competition_string,matchup,notes,round,location_data
100138,3/4/17,shebelieves-cup-2017,SheBelieves Cup 2017,USA-ENG,,,no
100139,3/7/17,shebelieves-cup-2017,SheBelieves Cup 2017,USA-FRA,,,no
100140,4/6/17,international-friendlies-2017,International Friendlies 2017,USA-RUS,,,no
100141,4/9/17,international-friendlies-2017,International Friendlies 2017,USA-RUS,,,no
100142,6/8/17,international-friendlies-2017,International Friendlies 2017,SWE-USA,,,no
100143,6/11/17,international-friendlies-2017,International Friendlies 2017,NOR-USA,,,no
100144,7/27/17,ton-2017,Tournament of Nations 2017,USA-AUS,,,no
100145,8/3/17,ton-2017,Tournament of Nations 2017,USA-JPN,,,no
100146,9/15/17,international-friendlies-2017,International Friendlies 2017,USA-NZL,,,no
100147,11/9/17,international-friendlies-2017,International Friendlies 2017,USA-CAN,,,no
100148,1/21/18,international-friendlies-2018,International Friendlies 2018,USA-DEN,,,no
100149,3/1/18,shebelieves-cup-2018,SheBelieves Cup 2018,USA-GER,,,no
100150,3/4/18,shebelieves-cup-2018,SheBelieves Cup 2018,USA-FRA,,,no
100151,3/7/18,shebelieves-cup-2018,SheBelieves Cup 2018,USA-ENG,,,no
