Last.Name,First.Name,Team,Number,Primary.Position,Secondary.Position,Tertiary.Position,Position.Type
Killion,Sarah,SBFC,16,M,,,DM
Lytle,Taylor,SBFC,6,M,,,
Nick,Ashley,SBFC,10,M,,,
O'Hara,Kelley,SBFC,19,D,,,FB
Rampone,Christie,SBFC,3,D,,,
Richardson,Domi,SBFC,26,D,,,
Rodriguez,Raquel,SBFC,11,M,,,
Schulmann,Danielle,SBFC,88,F,,,
Simon,Erin,SBFC,33,D,,,
Skroski,Erica,SBFC,8,D,,,
Stanley,Caroline,SBFC,18,GK,,,
Stanton,Nikki,SBFC,7,M,,,
Zimmerman,Catherine,SBFC,29,F,,,
Barnes,Lauren,SRFC,3,D,,,
Corsie,Rachel,SRFC,4,D,,,
Cruz,Michelle,SRFC,21,D,,,
Dallstream,Kiersten,SRFC,25,F,,,
Elston,Lindsay,SRFC,6,M,,,
Fishlock,Jessica,SRFC,10,M,,,
Fletcher,Kendall,SRFC,13,D,,,
Kawasumi,Nahomi,SRFC,36,F,,,
Kopmeyer,Haley,SRFC,28,GK,,,
Little,Kim,SRFC,8,M,,,
Mathias,Merritt,SRFC,9,F,,,
Melis,Manon,SRFC,14,F,,,
Nielsen,Paige,SRFC,12,D,,,
Pickett,Carson,SRFC,16,D,,,FB
Rapinoe,Megan,SRFC,15,F,,,W
Reed,Elli,SRFC,7,D,,,FB
Solaun,Havana,SRFC,19,M,,,
Solo,Hope,SRFC,1,GK,,,
Tostanoski,Andi,SRFC,24,GK,,,
Utsugi,Rumi,SRFC,20,M,,,
Winters,Keelin,SRFC,11,M,,,DM
Yanez,Beverly,SRFC,17,F,,,
Banini,Estefania,WAS,10,M,,,
Church,Whitney,WAS,5,D,,,
Dunn,Crystal,WAS,19,F,,,
Dydasco,Caprice,WAS,3,D,,,CB
Farquharson,Cali,WAS,17,F,,,
Huster,Tori,WAS,23,M,,,
Jensen,Line,WAS,27,D,,,
Johnson,Estelle,WAS,24,D,,,
Kleiner,Alyssa,WAS,22,D,,,FB
Krieger,Ali,WAS,11,D,,,FB
Labbe,Stephanie,WAS,1,GK,,,
Lohman,Joanna,WAS,15,M,,,
Matheson,Diana,WAS,8,M,,,
Nairn,Christine,WAS,7,M,,,
Ordega,Francisca,WAS,14,F,,,
Oyster,Megan,WAS,4,D,,,CB
Stengel,Katie,WAS,12,F,,,
Williams,Cheyna,WAS,20,F,,,
Wys,Kelsey,WAS,18,GK,,,
Zadorsky,Shelina,WAS,6,D,,,
Andrade,Lady,WNYF,16,M/F,,,
Ayinde,Halimatu,WNYF,10,M,,,
Cayman,Janice,WNYF,20,M,,,
D'Angelo,Sabrina,WNYF,1,GK,,,
Dahlkemper,Abby,WNYF,13,M,,,CB
Doniak,Makenzy,WNYF,3,F,,,
Eckerstrom,Britt,WNYF,28,GK,,,
Eddy,Elizabeth,WNYF,4,M,,,
Erceg,Abby,WNYF,6,D,,,
Hahn,Michaela,WNYF,2,M,,,
Hamilton,Kristen,WNYF,17,F,,,
Hinkle,Jaelene,WNYF,15,D,,,FB
Jeon,Ga Eul,WNYF,7,M,,,
Kennedy,Alanna,WNYF,8,D,,,
Leon,Adriana,WNYF,19,F,,,
McDonald,Jessica,WNYF,14,F,,,
Mewis,Samantha,WNYF,5,M,,,
Niemiec,Courtney,WNYF,23,D,,,
Rowland,Katelyn,WNYF,0,GK,,,
Sanderson,Lianne,WNYF,10,F,,,
Smith,Taylor,WNYF,11,F,,,
Speck,Meredith,WNYF,25,M,,,
Williams,Lynn,WNYF,9,F,,,
Zerboni,McCall,WNYF,99,M,,,DM
