"Player","Team","GP","MP","GS","Goals","Shots","Shots.per.90","Shot.Accuracy","Shot.GK.Stop","Shot.Def.Stop","Shot.Miss","xG","Shot.Pressed","Pct.Shots.Pressed","A6.Shots","A18.Shots","A3L.Shots","A3C.Shots","A3R.Shots","Far.Shots","Assists","Key.Passes","Key.Assists","Second.Assists","Assists.per.90","Key.Passes.per.90","Big.Chances","Big.Chances.per.90","BC.Scored","BC.Conversion.Pct","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Pass.Comp","Pass.Att","Pass.Att.per.90","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Att.per.90","opPass.Comp.Pct","opPPass.Comp","opPPass.Att","opPPass.Att.per.90","opPPass.Comp.Pct","Pct.opPass.Pressed","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","fwPass.Comp","fwPass.Att","fwPass.Att.per.90","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Att.per.90","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Att.per.90","bPass.Comp.Pct","rFreq.A3.Passes","rFreq.M3.Passes","rFreq.D3.Passes","A3Pass.Comp","A3Pass.Att","A3Pass.Att.per.90","A3Pass.Comp.Pct","M3Pass.Comp","M3Pass.Att","M3Pass.Att.per.90","M3Pass.Comp.Pct","D3Pass.Comp","D3Pass.Att","D3Pass.Att.per.90","D3Pass.Comp.Pct","rFreq.A3.opPasses","rFreq.M3.opPasses","rFreq.D3.opPasses","A3opPass.Comp","A3opPass.Att","A3opPass.Att.per.90","A3opPass.Comp.Pct","M3opPass.Comp","M3opPass.Att","M3opPass.Att.per.90","M3opPass.Comp.Pct","D3opPass.Comp","D3opPass.Att","D3opPass.Att.per.90","D3opPass.Comp.Pct","Pass.Comp.D3toD3","Pass.Comp.D3toM3","Pass.Comp.D3toA3","Pass.Comp.M3toD3","Pass.Comp.M3toM3","Pass.Comp.M3toA3","Pass.Comp.A3toD3","Pass.Comp.A3toM3","Pass.Comp.A3toA3","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","fwopPass.Comp","fwopPass.Att","fwopPass.Att.per.90","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Att.per.90","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Att.per.90","bopPass.Comp.Pct","Pct.Passes.Pressed","PPass.Comp","PPass.Att","PPass.Att.per.90","PPass.Comp.Pct","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","fwPPass.Comp","fwPPass.Att","fwPPass.Att.per.90","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Att.per.90","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Att.per.90","bPPass.Comp.Pct","Cross.Comp","Cross.Att","Cross.Att.per.90","Cross.Att.per.opPass","Cross.Comp.Pct","Corner.Crosses","Deep.Crosses","Launch.Comp","Launch.Att","Launch.Att.per.90","Launch.Att.per.Pass","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Att.per.90","Through.Att.per.Pass","Through.Att.per.opPass","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Att.per.90","Throw.In.Att.per.Pass","Throw.In.Comp.Pct","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","Take.Ons","Take.Ons.per.90","TO.Won","TO.Lost","TO.Win.Pct","Dispossessed","Lost.Touches","All.Possessions.Disrupted","Poss.Disrupted.per.90","Aerial.Duels","Aerial.Duels.per.90","AD.Won","AD.Lost","AD.Win.Pct","Tackles","Dispossesses","All.Opp.Poss.Disrupted","Opp.Poss.Disrupted.per.90","Dribbled","Dribbled.per.90","Press.Opp","Challenge.Opp","Recoveries","Recoveries.per.90","Def.Recoveries","Poss.Recoveries","Interceptions","Int.per.90","Int.per.OP.Pass","Blocks","Blocks.per.90","Clearances","Clearances.per.90","Ball.Shields","Offsides","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","E.to.Goals","OG","E.to.Big.Chances","BC.Stopped","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.SOG.Faced","BC.Saves","BC.Goals.Allowed","GperBCSOG","High.Balls.Faced","HB.Won","HB.Lost","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","HB.Fouls.Won","Crosses.Faced","Crosses.Won","Crosses.Lost","Corner.Kicks.Faced","CKs.Won","CKs.Lost","Free.Kicks.Faced","FKs.Won","FKs.Lost","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct"
"Alleway","ORL",1,17,0,0,1,5.29411764705882,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5.29411764705882,0,0,0,1,0,0,0,7,7,37.0588235294118,1,7,7,37.0588235294118,1,3,3,15.8823529411765,1,0.428571428571429,0.714285714285714,0.142857142857143,0.142857142857143,5,5,26.4705882352941,1,1,1,5.29411764705882,1,1,1,5.29411764705882,1,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0.714285714285714,0.142857142857143,0.142857142857143,5,5,26.4705882352941,1,1,1,5.29411764705882,1,1,1,5.29411764705882,1,0.428571428571429,3,3,15.8823529411765,1,1,0,0,3,3,15.8823529411765,1,0,0,0,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,0,1,5.29411764705882,1,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,0,3,15.8823529411765,2,1,1,5.29411764705882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"Andressa","HOU",1,90,1,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,65,77,77,0.844155844155844,57,68,68,0.838235294117647,29,32,32,0.90625,0.470588235294118,0.493506493506494,0.350649350649351,0.155844155844156,29,38,38,0.763157894736842,24,27,27,0.888888888888889,12,12,12,1,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0.544117647058823,0.308823529411765,0.147058823529412,28,37,37,0.756756756756757,19,21,21,0.904761904761905,10,10,10,1,0.415584415584416,29,32,32,0.90625,0.34375,0.40625,0.25,10,11,11,0.909090909090909,11,13,13,0.846153846153846,8,8,8,1,1,3,3,0.0441176470588235,0.333333333333333,3,0,3,8,8,0.103896103896104,0.375,0,2,2,0.025974025974026,0.0294117647058824,0,0,0,0,0,NA,6,7,0.857142857142857,0,0,2,2,1,0,0,0,0,2,6,6,4,2,0.666666666666667,4,2,8,8,4,4,1,3,0.25,1,3,4,4,0,0,13,6,8,8,5,3,1,1,0,1,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"Arlitt","FCKC",1,68,1,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,27,43,56.9117647058823,0.627906976744186,17,29,38.3823529411765,0.586206896551724,12,16,21.1764705882353,0.75,0.551724137931034,0.767441860465116,0.162790697674419,0.0697674418604651,20,33,43.6764705882353,0.606060606060606,5,7,9.26470588235294,0.714285714285714,2,3,3.97058823529412,0.666666666666667,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0.724137931034483,0.172413793103448,0.103448275862069,12,21,27.7941176470588,0.571428571428571,3,5,6.61764705882353,0.6,2,3,3.97058823529412,0.666666666666667,0.372093023255814,12,16,21.1764705882353,0.75,0.6875,0.25,0.0625,8,11,14.5588235294118,0.727272727272727,3,4,5.29411764705882,0.75,1,1,1.32352941176471,1,0,2,2.64705882352941,0.0689655172413793,0,1,1,2,8,10.5882352941176,0.186046511627907,0.25,0,1,1.32352941176471,0.0232558139534884,0.0344827586206897,0,9,13,17.2058823529412,0.302325581395349,0.692307692307692,0,0,NA,0,0,1,1,1,0,0,0,0,1,3,3.97058823529412,2,1,0.666666666666667,2,1,4,5.29411764705882,2,2.64705882352941,2,0,1,2,0,2,2.64705882352941,4,5.29411764705882,7,2,11,14.5588235294118,8,3,0,0,0,4,5.29411764705882,3,3.97058823529412,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"Averbuch","FCKC",1,91,1,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,42,48,47.4725274725275,0.875,40,46,45.4945054945055,0.869565217391304,10,12,11.8681318681319,0.833333333333333,0.260869565217391,0.583333333333333,0.333333333333333,0.0833333333333333,23,28,27.6923076923077,0.821428571428571,15,16,15.8241758241758,0.9375,4,4,3.95604395604396,1,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0.58695652173913,0.326086956521739,0.0869565217391304,22,27,26.7032967032967,0.814814814814815,14,15,14.8351648351648,0.933333333333333,4,4,3.95604395604396,1,0.25,10,12,11.8681318681319,0.833333333333333,0.75,0.166666666666667,0.0833333333333333,8,9,8.9010989010989,0.888888888888889,1,2,1.97802197802198,0.5,1,1,0.989010989010989,1,1,2,1.97802197802198,0.0434782608695652,0.5,1,1,3,7,6.92307692307692,0.145833333333333,0.428571428571429,0,0,0,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,2,2,1,0,0,0,0,2,0,0,0,0,NA,0,0,0,0,4,3.95604395604396,3,1,0.75,5,0,5,4.94505494505495,1,0.989010989010989,15,3,7,6.92307692307692,4,3,1,0.989010989010989,0,4,3.95604395604396,6,5.93406593406593,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"Barnhart","FCKC",1,91,1,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,26,29,28.6813186813187,0.896551724137931,18,18,17.8021978021978,1,0,0,0,NA,0,0.827586206896552,0.172413793103448,0,21,24,23.7362637362637,0.875,5,5,4.94505494505495,1,0,0,0,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0.923076923076923,0.0769230769230769,0,12,12,11.8681318681319,1,1,1,0.989010989010989,1,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,NA,0,0,2,4,3.95604395604396,0.137931034482759,0.5,0,0,0,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,0,3,0,0,0,0,0,3,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,3,2.96703296703297,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,8,0,2,0,2,0,0,0,0,0,0,0,0,26,29,0.896551724137931,8,8,1,0,0,NA,5,8,0.625
"Beckie","HOU",1,79,1,1,3,3.41772151898734,0.333333333333333,0,0,2,0,2,0.666666666666667,0,3,0,0,0,0,1,1,1,0,1.13924050632911,1.13924050632911,1,1.13924050632911,1,1,0,0,0,0,0,26,33,37.5949367088608,0.787878787878788,24,31,35.3164556962025,0.774193548387097,12,15,17.0886075949367,0.8,0.483870967741935,0.303030303030303,0.393939393939394,0.303030303030303,7,10,11.3924050632911,0.7,10,13,14.8101265822785,0.769230769230769,9,10,11.3924050632911,0.9,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0.32258064516129,0.387096774193548,0.290322580645161,7,10,11.3924050632911,0.7,9,12,13.6708860759494,0.75,8,9,10.253164556962,0.888888888888889,0.454545454545455,12,15,17.0886075949367,0.8,0.2,0.533333333333333,0.266666666666667,3,3,3.41772151898734,1,5,8,9.11392405063291,0.625,4,4,4.55696202531646,1,0,5,5.69620253164557,0.161290322580645,0,5,0,1,2,2.27848101265823,0.0606060606060606,0.5,0,0,0,0,0,NA,2,2,2.27848101265823,0.0606060606060606,1,0,0,NA,0,0,0,0,NA,0,0,0,0,0,2,2.27848101265823,1,1,0.5,0,2,3,3.41772151898734,0,0,0,0,NA,0,1,1,1.13924050632911,2,2.27848101265823,17,1,7,7.9746835443038,5,2,1,1.13924050632911,0,1,1.13924050632911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"Beckmann","BOS",1,65,1,0,2,2.76923076923077,0,0,0,2,0,1,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,17,20,27.6923076923077,0.85,17,20,27.6923076923077,0.85,15,17,23.5384615384615,0.882352941176471,0.85,0.35,0.25,0.4,5,7,9.69230769230769,0.714285714285714,5,5,6.92307692307692,1,7,8,11.0769230769231,0.875,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0.35,0.25,0.4,5,7,9.69230769230769,0.714285714285714,5,5,6.92307692307692,1,7,8,11.0769230769231,0.875,0.85,15,17,23.5384615384615,0.882352941176471,0.294117647058824,0.235294117647059,0.470588235294118,4,5,6.92307692307692,0.8,4,4,5.53846153846154,1,7,8,11.0769230769231,0.875,0,0,0,0,NA,0,0,0,1,1.38461538461538,0.05,0,2,2,2.76923076923077,0.1,0.1,1,0,0,0,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,4,1,5,6.92307692307692,5,6.92307692307692,2,3,0.4,0,0,0,0,7,9.69230769230769,28,4,3,4.15384615384615,3,0,1,1.38461538461538,0,1,1.38461538461538,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"Belanger","ORL",1,37,1,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,14,17,41.3513513513514,0.823529411764706,10,13,31.6216216216216,0.769230769230769,6,6,14.5945945945946,1,0.461538461538462,0.470588235294118,0.117647058823529,0.411764705882353,5,8,19.4594594594595,0.625,2,2,4.86486486486486,1,7,7,17.027027027027,1,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0.538461538461538,0.0769230769230769,0.384615384615385,4,7,17.027027027027,0.571428571428571,1,1,2.43243243243243,1,5,5,12.1621621621622,1,0.352941176470588,6,6,14.5945945945946,1,0.666666666666667,0,0.333333333333333,4,4,9.72972972972973,1,0,0,0,NA,2,2,4.86486486486486,1,0,0,0,0,NA,0,0,0,2,4.86486486486486,0.117647058823529,0,0,0,0,0,0,NA,4,4,9.72972972972973,0.235294117647059,1,0,0,NA,0,0,0,0,NA,0,0,0,0,0,1,2.43243243243243,0,1,0,0,2,3,7.2972972972973,1,2.43243243243243,0,1,0,0,3,3,7.2972972972973,3,7.2972972972973,7,2,6,14.5945945945946,5,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"Betos","PTFC",1,95,1,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,27,35,33.1578947368421,0.771428571428571,21,24,22.7368421052632,0.875,1,1,0.947368421052632,1,0.0416666666666667,0.885714285714286,0.0857142857142857,0.0285714285714286,23,31,29.3684210526316,0.741935483870968,3,3,2.84210526315789,1,1,1,0.947368421052632,1,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0.714285714285714,0.214285714285714,0.0714285714285714,10,10,9.47368421052632,1,3,3,2.84210526315789,1,1,1,0.947368421052632,1,0.0285714285714286,1,1,0.947368421052632,1,1,0,0,1,1,0.947368421052632,1,0,0,0,NA,0,0,0,NA,0,0,0,0,NA,0,0,4,11,10.4210526315789,0.314285714285714,0.363636363636364,0,0,0,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,1,1,1,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,1,0.947368421052632,1,0,1,0,0,0,0,0,0,0,0,2,1.89473684210526,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0.5,2,0,2,1,3,3,0,1,5,0,1,4,0,2,2,0,0,0,0,0,0,0,3,0,27,35,0.771428571428571,5,5,1,0,5,0,8,11,0.727272727272727
"Bowen","FCKC",1,24,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,18,19,71.25,0.947368421052632,14,15,56.25,0.933333333333333,8,8,30,1,0.533333333333333,0.473684210526316,0.210526315789474,0.315789473684211,8,9,33.75,0.888888888888889,4,4,15,1,6,6,22.5,1,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0.466666666666667,0.266666666666667,0.266666666666667,6,7,26.25,0.857142857142857,4,4,15,1,4,4,15,1,0.421052631578947,8,8,30,1,0.5,0.375,0.125,4,4,15,1,3,3,11.25,1,1,1,3.75,1,1,1,3.75,0.0666666666666667,1,1,0,0,0,0,0,NA,2,2,7.5,0.105263157894737,0.133333333333333,1,4,4,15,0.210526315789474,1,0,0,NA,0,0,0,0,NA,0,0,0,0,0,1,3.75,1,0,1,0,0,0,0,3,11.25,3,0,1,1,0,1,3.75,1,3.75,1,2,3,11.25,3,0,2,7.5,0,2,7.5,1,3.75,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA
