"Player","Team","GP","MP","GS","Goals","Shots","Shots.per.90","Shot.Accuracy","Shot.GK.Stop","Shot.Def.Stop","Shot.Miss","xG","Shot.Pressed","Pct.Shots.Pressed","A6.Shots","A18.Shots","A3L.Shots","A3C.Shots","A3R.Shots","Far.Shots","Assists","Key.Passes","Key.Assists","Second.Assists","Assists.per.90","Key.Passes.per.90","Big.Chances","Big.Chances.per.90","BC.Scored","BC.Conversion.Pct","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Pass.Comp","Pass.Att","Pass.Att.per.90","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Att.per.90","opPass.Comp.Pct","opPPass.Comp","opPPass.Att","opPPass.Att.per.90","opPPass.Comp.Pct","Pct.opPass.Pressed","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","fwPass.Comp","fwPass.Att","fwPass.Att.per.90","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Att.per.90","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Att.per.90","bPass.Comp.Pct","rFreq.A3.Passes","rFreq.M3.Passes","rFreq.D3.Passes","A3Pass.Comp","A3Pass.Att","A3Pass.Att.per.90","A3Pass.Comp.Pct","M3Pass.Comp","M3Pass.Att","M3Pass.Att.per.90","M3Pass.Comp.Pct","D3Pass.Comp","D3Pass.Att","D3Pass.Att.per.90","D3Pass.Comp.Pct","rFreq.A3.opPasses","rFreq.M3.opPasses","rFreq.D3.opPasses","A3opPass.Comp","A3opPass.Att","A3opPass.Att.per.90","A3opPass.Comp.Pct","M3opPass.Comp","M3opPass.Att","M3opPass.Att.per.90","M3opPass.Comp.Pct","D3opPass.Comp","D3opPass.Att","D3opPass.Att.per.90","D3opPass.Comp.Pct","Pass.Comp.D3toD3","Pass.Comp.D3toM3","Pass.Comp.D3toA3","Pass.Comp.M3toD3","Pass.Comp.M3toM3","Pass.Comp.M3toA3","Pass.Comp.A3toD3","Pass.Comp.A3toM3","Pass.Comp.A3toA3","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","fwopPass.Comp","fwopPass.Att","fwopPass.Att.per.90","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Att.per.90","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Att.per.90","bopPass.Comp.Pct","Pct.Passes.Pressed","PPass.Comp","PPass.Att","PPass.Att.per.90","PPass.Comp.Pct","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","fwPPass.Comp","fwPPass.Att","fwPPass.Att.per.90","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Att.per.90","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Att.per.90","bPPass.Comp.Pct","Cross.Comp","Cross.Att","Cross.Att.per.90","Cross.Att.per.opPass","Cross.Comp.Pct","Corner.Crosses","Deep.Crosses","Launch.Comp","Launch.Att","Launch.Att.per.90","Launch.Att.per.Pass","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Att.per.90","Through.Att.per.Pass","Through.Att.per.opPass","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Att.per.90","Throw.In.Att.per.Pass","Throw.In.Comp.Pct","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","Take.Ons","Take.Ons.per.90","TO.Won","TO.Lost","TO.Win.Pct","Dispossessed","Lost.Touches","All.Possessions.Disrupted","Poss.Disrupted.per.90","Aerial.Duels","Aerial.Duels.per.90","AD.Won","AD.Lost","AD.Win.Pct","Tackles","Dispossesses","All.Opp.Poss.Disrupted","Opp.Poss.Disrupted.per.90","Dribbled","Dribbled.per.90","Press.Opp","Challenge.Opp","Recoveries","Recoveries.per.90","Def.Recoveries","Poss.Recoveries","Interceptions","Int.per.90","Int.per.OP.Pass","Blocks","Blocks.per.90","Clearances","Clearances.per.90","Ball.Shields","Offsides","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","E.to.Goals","OG","E.to.Big.Chances","BC.Stopped","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.SOG.Faced","BC.Saves","BC.Goals.Allowed","GperBCSOG","High.Balls.Faced","HB.Won","HB.Lost","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","HB.Fouls.Won","Crosses.Faced","Crosses.Won","Crosses.Lost","Corner.Kicks.Faced","CKs.Won","CKs.Lost","Free.Kicks.Faced","FKs.Won","FKs.Lost","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct"
"Andressa","HOU",1,94,1,0,4,3.82978723404255,0.5,2,0,2,0,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,59,56.4893617021277,0.813559322033898,47,58,55.531914893617,0.810344827586207,37,45,43.0851063829787,0.822222222222222,0.775862068965517,0.525423728813559,0.169491525423729,0.305084745762712,22,31,29.6808510638298,0.709677419354839,8,10,9.57446808510638,0.8,18,18,17.2340425531915,1,0.101694915254237,0.76271186440678,0.135593220338983,4,6,5.74468085106383,0.666666666666667,36,45,43.0851063829787,0.8,8,8,7.65957446808511,1,0.103448275862069,0.758620689655172,0.137931034482759,4,6,5.74468085106383,0.666666666666667,35,44,42.1276595744681,0.795454545454545,8,8,7.65957446808511,1,0,0,0,0,26,0,0,0,0,0.517241379310345,0.172413793103448,0.310344827586207,21,30,28.7234042553191,0.7,8,10,9.57446808510638,0.8,18,18,17.2340425531915,1,0.76271186440678,37,45,43.0851063829787,0.822222222222222,0.488888888888889,0.177777777777778,0.333333333333333,16,22,21.063829787234,0.727272727272727,6,8,7.65957446808511,0.75,15,15,14.3617021276596,1,1,1,0.957446808510638,0.0172413793103448,1,0,1,1,2,1.91489361702128,0.0338983050847458,0.5,0,1,0.957446808510638,0.0169491525423729,0.0172413793103448,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,3,2.87234042553191,3,0,1,3,1,4,3.82978723404255,3,2.87234042553191,1,2,0.333333333333333,0,2,2,1.91489361702128,3,2.87234042553191,37,3,8,7.65957446808511,7,1,1,0.957446808510638,0,4,3.82978723404255,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barnes","SRFC",1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.957446808510638,0,0,0,0,0,0,0,0,0,50,62,59.3617021276596,0.806451612903226,38,47,45,0.808510638297872,33,37,35.4255319148936,0.891891891891892,0.787234042553192,0.548387096774194,0.17741935483871,0.274193548387097,27,34,32.5531914893617,0.794117647058823,7,11,10.531914893617,0.636363636363636,16,17,16.2765957446809,0.941176470588235,0.32258064516129,0.564516129032258,0.112903225806452,15,20,19.1489361702128,0.75,28,35,33.5106382978723,0.8,7,7,6.70212765957447,1,0.234042553191489,0.638297872340426,0.127659574468085,9,11,10.531914893617,0.818181818181818,23,30,28.7234042553191,0.766666666666667,6,6,5.74468085106383,1,0,0,0,0,22,0,0,0,0,0.595744680851064,0.0851063829787234,0.319148936170213,22,28,26.8085106382979,0.785714285714286,2,4,3.82978723404255,0.5,14,15,14.3617021276596,0.933333333333333,0.596774193548387,33,37,35.4255319148936,0.891891891891892,0.567567567567568,0.0540540540540541,0.378378378378378,18,21,20.1063829787234,0.857142857142857,2,2,1.91489361702128,1,13,14,13.4042553191489,0.928571428571429,1,2,1.91489361702128,0.0425531914893617,0.5,2,0,2,3,2.87234042553191,0.0483870967741935,0.666666666666667,0,0,0,0,0,0,9,10,9.57446808510638,0.161290322580645,0.9,3,4,0.75,0,1,0,1,0,0,0,0,0,1,2,1.91489361702128,2,0,1,2,0,2,1.91489361702128,0,0,0,0,0,1,0,1,0.957446808510638,4,3.82978723404255,8,2,4,3.82978723404255,3,1,4,3.82978723404255,0,7,6.70212765957447,4,3.82978723404255,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Beckie","HOU",1,78,1,0,1,1.15384615384615,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,38,43.8461538461538,0.815789473684211,29,36,41.5384615384615,0.805555555555556,21,26,30,0.807692307692308,0.722222222222222,0.184210526315789,0.184210526315789,0.631578947368421,4,7,8.07692307692308,0.571428571428571,5,7,8.07692307692308,0.714285714285714,22,24,27.6923076923077,0.916666666666667,0.342105263157895,0.631578947368421,0.0263157894736842,9,13,15,0.692307692307692,21,24,27.6923076923077,0.875,1,1,1.15384615384615,1,0.305555555555556,0.666666666666667,0.0277777777777778,7,11,12.6923076923077,0.636363636363636,21,24,27.6923076923077,0.875,1,1,1.15384615384615,1,0,0,0,0,18,0,0,0,0,0.194444444444444,0.194444444444444,0.611111111111111,4,7,8.07692307692308,0.571428571428571,5,7,8.07692307692308,0.714285714285714,20,22,25.3846153846154,0.909090909090909,0.684210526315789,21,26,30,0.807692307692308,0.269230769230769,0.192307692307692,0.538461538461538,4,7,8.07692307692308,0.571428571428571,4,5,5.76923076923077,0.8,13,14,16.1538461538462,0.928571428571429,3,5,5.76923076923077,0.138888888888889,0.6,5,0,0,0,0,0,0,0,1,1.15384615384615,0.0263157894736842,0.0277777777777778,0,2,2,2.30769230769231,0.0526315789473684,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3.46153846153846,1,2,0.333333333333333,2,1,5,5.76923076923077,3,3.46153846153846,3,0,1,1,0,1,1.15384615384615,1,1.15384615384615,41,1,9,10.3846153846154,6,3,0,0,0,3,3.46153846153846,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brian","HOU",1,94,1,0,1,0.957446808510638,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,51,48.8297872340425,0.901960784313726,44,48,45.9574468085106,0.916666666666667,38,39,37.3404255319149,0.974358974358974,0.8125,0.450980392156863,0.235294117647059,0.313725490196078,20,23,22.0212765957447,0.869565217391304,10,12,11.4893617021277,0.833333333333333,16,16,15.3191489361702,1,0.196078431372549,0.627450980392157,0.176470588235294,9,10,9.57446808510638,0.9,29,32,30.6382978723404,0.90625,8,9,8.61702127659574,0.888888888888889,0.145833333333333,0.666666666666667,0.1875,7,7,6.70212765957447,1,29,32,30.6382978723404,0.90625,8,9,8.61702127659574,0.888888888888889,0,0,0,1,22,0,0,0,0,0.479166666666667,0.1875,0.333333333333333,20,23,22.0212765957447,0.869565217391304,8,9,8.61702127659574,0.888888888888889,16,16,15.3191489361702,1,0.764705882352941,38,39,37.3404255319149,0.974358974358974,0.461538461538462,0.205128205128205,0.333333333333333,17,18,17.2340425531915,0.944444444444444,8,8,7.65957446808511,1,13,13,12.4468085106383,1,1,1,0.957446808510638,0.0208333333333333,1,1,0,1,1,0.957446808510638,0.0196078431372549,1,0,0,0,0,0,0,0,0,0,0,0,2,3,0.666666666666667,0,0,0,0,0,0,0,0,0,0,5,4.78723404255319,5,0,1,0,1,1,0.957446808510638,6,5.74468085106383,3,3,0.5,2,0,2,1.91489361702128,1,0.957446808510638,45,1,8,7.65957446808511,6,2,7,6.70212765957447,0,5,4.78723404255319,4,3.82978723404255,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brooks","HOU",1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,39,37.3404255319149,0.948717948717949,37,39,37.3404255319149,0.948717948717949,27,28,26.8085106382979,0.964285714285714,0.717948717948718,0.512820512820513,0.179487179487179,0.307692307692308,18,20,19.1489361702128,0.9,7,7,6.70212765957447,1,12,12,11.4893617021277,1,0,0.641025641025641,0.358974358974359,0,0,0,0,24,25,23.936170212766,0.96,13,14,13.4042553191489,0.928571428571429,0,0.641025641025641,0.358974358974359,0,0,0,0,24,25,23.936170212766,0.96,13,14,13.4042553191489,0.928571428571429,0,1,0,1,20,0,0,0,0,0.512820512820513,0.179487179487179,0.307692307692308,18,20,19.1489361702128,0.9,7,7,6.70212765957447,1,12,12,11.4893617021277,1,0.717948717948718,27,28,26.8085106382979,0.964285714285714,0.392857142857143,0.178571428571429,0.428571428571429,10,11,10.531914893617,0.909090909090909,5,5,4.78723404255319,1,12,12,11.4893617021277,1,0,0,0,0,0,0,0,1,2,1.91489361702128,0.0512820512820513,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.957446808510638,3,2.87234042553191,2,1,0.666666666666667,1,0,1,0.957446808510638,5,4.78723404255319,17,5,4,3.82978723404255,3,1,8,7.65957446808511,0,4,3.82978723404255,3,2.87234042553191,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brush","HOU",1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,49,46.9148936170213,0.897959183673469,43,48,45.9574468085106,0.895833333333333,17,20,19.1489361702128,0.85,0.416666666666667,0.714285714285714,0.142857142857143,0.142857142857143,30,35,33.5106382978723,0.857142857142857,7,7,6.70212765957447,1,7,7,6.70212765957447,1,0.0204081632653061,0.387755102040816,0.591836734693878,1,1,0.957446808510638,1,15,19,18.1914893617021,0.789473684210526,28,29,27.7659574468085,0.96551724137931,0.0208333333333333,0.395833333333333,0.583333333333333,1,1,0.957446808510638,1,15,19,18.1914893617021,0.789473684210526,27,28,26.8085106382979,0.964285714285714,0,1,0,0,14,0,0,0,0,0.708333333333333,0.145833333333333,0.145833333333333,29,34,32.5531914893617,0.852941176470588,7,7,6.70212765957447,1,7,7,6.70212765957447,1,0.408163265306122,17,20,19.1489361702128,0.85,0.8,0.05,0.15,13,16,15.3191489361702,0.8125,1,1,0.957446808510638,1,3,3,2.87234042553191,1,0,0,0,0,0,0,0,3,3,2.87234042553191,0.0612244897959184,1,0,1,0.957446808510638,0.0204081632653061,0.0208333333333333,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2.87234042553191,1,2,0.333333333333333,1,1,2,1.91489361702128,3,2.87234042553191,14,0,2,1.91489361702128,2,0,3,2.87234042553191,0,8,7.65957446808511,2,1.91489361702128,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chapman","HOU",1,82,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,47,51.5853658536585,0.808510638297872,28,37,40.609756097561,0.756756756756757,24,29,31.8292682926829,0.827586206896552,0.783783783783784,0.702127659574468,0.0638297872340425,0.234042553191489,24,33,36.219512195122,0.727272727272727,3,3,3.29268292682927,1,11,11,12.0731707317073,1,0.106382978723404,0.680851063829787,0.212765957446809,4,5,5.48780487804878,0.8,25,32,35.1219512195122,0.78125,9,10,10.9756097560976,0.9,0.108108108108108,0.648648648648649,0.243243243243243,3,4,4.39024390243902,0.75,17,24,26.3414634146341,0.708333333333333,8,9,9.87804878048781,0.888888888888889,0,0,0,0,22,0,0,0,0,0.702702702702703,0.027027027027027,0.27027027027027,17,26,28.5365853658537,0.653846153846154,1,1,1.09756097560976,1,10,10,10.9756097560976,1,0.617021276595745,24,29,31.8292682926829,0.827586206896552,0.724137931034483,0,0.275862068965517,16,21,23.0487804878049,0.761904761904762,0,0,0,0,8,8,8.78048780487805,1,0,0,0,0,0,0,0,0,2,2.19512195121951,0.0425531914893617,0,0,1,1.09756097560976,0.0212765957446809,0.027027027027027,0,10,10,10.9756097560976,0.212765957446809,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5.48780487804878,4,1,0.8,2,1,4,4.39024390243902,3,3.29268292682927,2,1,0.666666666666667,0,0,0,0,0,0,27,3,5,5.48780487804878,2,3,5,5.48780487804878,0,5,5.48780487804878,4,4.39024390243902,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Corsie","SRFC",1,94,1,0,2,1.91489361702128,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,58,55.531914893617,0.896551724137931,47,53,50.7446808510638,0.886792452830189,19,23,22.0212765957447,0.826086956521739,0.433962264150943,0.568965517241379,0.206896551724138,0.224137931034483,28,33,31.5957446808511,0.848484848484849,12,12,11.4893617021277,1,12,13,12.4468085106383,0.923076923076923,0.0172413793103448,0.637931034482759,0.344827586206897,0,1,0.957446808510638,0,32,37,35.4255319148936,0.864864864864865,20,20,19.1489361702128,1,0.0188679245283019,0.622641509433962,0.358490566037736,0,1,0.957446808510638,0,28,33,31.5957446808511,0.848484848484849,19,19,18.1914893617021,1,0,0,0,2,25,0,0,0,0,0.566037735849057,0.188679245283019,0.245283018867925,25,30,28.7234042553191,0.833333333333333,10,10,9.57446808510638,1,12,13,12.4468085106383,0.923076923076923,0.396551724137931,19,23,22.0212765957447,0.826086956521739,0.608695652173913,0.0869565217391304,0.304347826086957,11,14,13.4042553191489,0.785714285714286,2,2,1.91489361702128,1,6,7,6.70212765957447,0.857142857142857,0,0,0,0,0,0,0,4,6,5.74468085106383,0.103448275862069,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,0,0,0,0,5,2,1.91489361702128,2,0,1,0,0,0,0,2,1.91489361702128,1,1,0.5,0,0,0,0,0,0,4,2,1,0.957446808510638,1,0,8,7.65957446808511,0,5,4.78723404255319,5,4.78723404255319,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elston","SRFC",1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,40,0.5,2,4,40,0.5,2,2,20,1,0.5,0.5,0.25,0.25,1,2,20,0.5,1,1,10,1,0,1,10,0,0.25,0.5,0.25,0,1,10,0,2,2,20,1,0,1,10,0,0.25,0.5,0.25,0,1,10,0,2,2,20,1,0,1,10,0,0,0,0,0,1,0,0,0,0,0.5,0.25,0.25,1,2,20,0.5,1,1,10,1,0,1,10,0,0.5,2,2,20,1,0.5,0.5,0,1,1,10,1,1,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,1,0,1,0,1,1,10,1,10,1,0,1,0,0,0,0,1,10,4,1,1,10,1,0,0,0,0,1,10,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fishlock","SRFC",1,94,1,0,3,2.87234042553191,0.666666666666667,1,1,1,0,2,0.666666666666667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,63,60.3191489361702,0.761904761904762,48,63,60.3191489361702,0.761904761904762,36,42,40.2127659574468,0.857142857142857,0.666666666666667,0.666666666666667,0.142857142857143,0.19047619047619,30,42,40.2127659574468,0.714285714285714,9,9,8.61702127659574,1,9,12,11.4893617021277,0.75,0.206349206349206,0.682539682539683,0.111111111111111,9,13,12.4468085106383,0.692307692307692,32,43,41.1702127659574,0.744186046511628,7,7,6.70212765957447,1,0.206349206349206,0.682539682539683,0.111111111111111,9,13,12.4468085106383,0.692307692307692,32,43,41.1702127659574,0.744186046511628,7,7,6.70212765957447,1,0,0,0,0,18,1,0,0,0,0.666666666666667,0.142857142857143,0.19047619047619,30,42,40.2127659574468,0.714285714285714,9,9,8.61702127659574,1,9,12,11.4893617021277,0.75,0.666666666666667,36,42,40.2127659574468,0.857142857142857,0.619047619047619,0.19047619047619,0.19047619047619,21,26,24.8936170212766,0.807692307692308,8,8,7.65957446808511,1,7,8,7.65957446808511,0.875,1,2,1.91489361702128,0.0317460317460317,0.5,1,1,2,6,5.74468085106383,0.0952380952380952,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3.82978723404255,4,0,1,4,1,5,4.78723404255319,6,5.74468085106383,3,3,0.5,2,4,6,5.74468085106383,3,2.87234042553191,28,4,8,7.65957446808511,8,0,0,0,0,3,2.87234042553191,2,1.91489361702128,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
