Stat,Acronym,Panel,Type
Player,Player,,
Team,Team,,
Games Played,GP,,
Minutes Played,MP,,
Games Started,GS,,
Goals,Goals,Shots,frequency
Shots,All Shots,Shots,frequency
Shots per 90,All Shots per 90,Shots,
Shot Accuracy,Shot Accuracy,Shots,
Shot GK Stop,Shots Stopped by GK,Shots,frequency
Shot Def Stop,Shots Stopped by Def,Shots,frequency
Shot Miss,Shots Missed,Shots,frequency
Shot Pressed,Shots Pressed,Shots,frequency
Pct Shots Pressed,Pct Shots Pressed,Shots,
Assists,Assists,Key Passes,frequency
All Key Passes,Key Passes,Key Passes,frequency
Key Assists,Key Assists,Key Passes,frequency
Second Assists,Second Assists,Key Passes,frequency
Assists per 90,Assists per 90,Key Passes,
Key Passes per 90,Key Passes per 90,Key Passes,
Big Chances,Big Chances,Big Chances,frequency
Big Chances per 90,Big Chances per 90,Big Chances,
Big Chances Scored,BC Scored,Big Chances,frequency
Pct of all Big Chances that were Scored,BC Conversion Pct,Big Chances,
Big Chances Shot on Goal,BC SOG,Big Chances,frequency
Big Chances Shot and Missed,BC Shot Miss,Big Chances,frequency
Big Chances Dispossessed,BC Dispossess,Big Chances,frequency
Big Chances Created,BC Created,Big Chances,frequency
Big Chances Lost,BC Lost,Big Chances,frequency
Crosses Completed,Cross Comp,Crosses,frequency
Crosses Attempted,Cross Att,Crosses,frequency
Crosses Attempted per 90,Cross Att per 90,Crosses,
Cross Completion Pct,Cross Comp Pct,Crosses,
Open Play Crosses Completed,opCross Comp,Crosses,frequency
Open Play Crosses Attempted,opCross Att,Crosses,frequency
Open Play Crosses Attempted per 90,opCross Att per 90,Crosses,
Open Play Cross Completion Pct,opCross Comp Pct,Crosses,
Launch Balls Completed,Launch Comp,Launch Balls,frequency
Launch Balls Attempted,Launch Att,Launch Balls,frequency
Launch Balls Attempted per 90,Launch Att per 90,Launch Balls,
Launch Ball Comp Pct,Launch Comp Pct,Launch Balls,
Open Play Launch Balls Completed,opLaunch Comp,Launch Balls,frequency
Open Play Launch Balls Attempted,opLaunch Att,Launch Balls,frequency
Open Play Launch Balls Attempted per 90,opLaunch Att per 90,Launch Balls,
Open Play Launch Ball Comp Pct,opLaunch Comp Pct,Launch Balls,
Through Balls Completed,Through Comp,Through Balls,frequency
Through Balls Attempted,Through Att,Through Balls,frequency
Through Balls Attempted per 90,Through Att per 90,Through Balls,
Through Ball Comp Pct,Through Comp Pct,Through Balls,
Open Play Through Balls Completed,opThrough Comp,Through Balls,frequency
Open Play Through Balls Attempted,opThrough Att,Through Balls,frequency
Open Play Through Balls Attempted per 90,opThrough Att per 90,Through Balls,
Open Play Through Ball Comp Pct,opThrough Comp Pct,Through Balls,
Throw Ins Completed,Throw In Comp,Throw Ins,frequency
Throw Ins Attempted,Throw In Att,Throw Ins,frequency
Throw In Att per 90,Throw In Att per 90,Throw Ins,
Throw In Comp Pct,Throw In Comp Pct,Throw Ins,
Open Play Throw Ins Completed,opThrow In Comp,Throw Ins,frequency
Open Play Throw Ins Attempted,opThrow In Att,Throw Ins,frequency
Open Play Throw In Att per 90,opThrow In Att per 90,Throw Ins,
Open Play Throw In Comp Pct,opThrow In Comp Pct,Throw Ins,
Corner Kicks Completed,Corner Kicks Completed,Corner Kicks,frequency
Corner Kicks Taken,Corner Kicks Taken,Corner Kicks,frequency
Pct of all Corner Kicks Taken that were Completed,CK Comp Pct,Corner Kicks,
Corner Kicks that were Assists,CK Assist,Corner Kicks,frequency
Corner Kicks that were Key Passes,CK Key Pass,Corner Kicks,frequency
Free Kicks Taken,Free Kicks Taken,Free Kicks,frequency
Free Kick Passes Completed,FK Pass Comp,Free Kicks,frequency
Free Kick Passes Attempted,FK Pass Att,Free Kicks,frequency
Free Kick Pass Comp Pct,FK Pass Comp Pct,Free Kicks,
Free Kicks that were Assists,FK Assist,Free Kicks,frequency
Free Kicks that were Key Passes,FK Key Pass,Free Kicks,frequency
Free Kicks Shot,FK Shot,Free Kicks,frequency
Free Kicks Scored,FK Scored,Free Kicks,frequency
Passes Completed,Pass Comp,Overall Passing,frequency
Passes Attempted,Pass Att,Overall Passing,frequency
Passes Attempted per 90 minutes,Pass Att per 90,Overall Passing,
Pass Completion Pct,Pass Comp Pct,Overall Passing,
Open Play Passes Completed,opPass Comp,Adjusted Passing,frequency
Open Play Passes Attempted,opPass Att,Adjusted Passing,frequency
Open Play Passes Attempted per 90,opPass Att per 90,Adjusted Passing,
Open Play Pass Completion Pct,opPass Comp Pct,Adjusted Passing,
Pct of All Pass Attempts that went Forwards,rFreq Pass Fwd,Passing By Direction,
Pct of All Pass Attempts that went Sideways,rFreq Pass Side,Passing By Direction,
Pct of All Pass Attempts that went Backwards,rFreq Pass Back,Passing By Direction,
Forward Passes Completed,fwPass Comp,Passing By Direction,frequency
Forward Passes Attempted,fwPass Att,Passing By Direction,frequency
Forward Passes Attempted per 90,fwPass Att per 90,Passing By Direction,
Forward Pass Completion Pct,fwPass Comp Pct,Passing By Direction,
Side Passes Completed,sPass Comp,Passing By Direction,frequency
Side Passes Attempted,sPass Att,Passing By Direction,frequency
Side Passes Attempted per 90,sPass Att per 90,Passing By Direction,
Side Pass Completion Pct,sPass Comp Pct,Passing By Direction,
Back Passes Completed,bPass Comp,Passing By Direction,frequency
Back Passes Attempted,bPass Att,Passing By Direction,frequency
Back Passes Attempted per 90,bPass Att per 90,Passing By Direction,
Back Pass Completion Pct,bPass Comp Pct,Passing By Direction,
Pct of All Open Play Pass Attempts that went Forwards,rFreq opPass Fwd,Open Play Passing By Direction,
Pct of All Open Play Pass Attempts that went Sideways,rFreq opPass Side,Open Play Passing By Direction,
Pct of All Open Play Pass Attempts that went Backwards,rFreq opPass Back,Open Play Passing By Direction,
Forward Open Play Passes Completed,fwopPass Comp,Open Play Passing By Direction,
Forward Open Play Passes Attempted,fwopPass Att,Open Play Passing By Direction,
Forward Open Play Passes Attempted per 90,fwopPass Att per 90,Open Play Passing By Direction,
Forward Open Play Pass Completion Pct,fwopPass Comp Pct,Open Play Passing By Direction,
Sideway Open Play Passes Completed,sopPass Comp,Open Play Passing By Direction,
Sideway Open Play Passes Attempted,sopPass Att,Open Play Passing By Direction,
Sideway Open Play Passes Attempted per 90,sopPass Att per 90,Open Play Passing By Direction,
Sideway Open Play Pass Completion Pct,sopPass Comp Pct,Open Play Passing By Direction,
Backward Open Play Passes Completed,bopPass Comp,Open Play Passing By Direction,
Backward Open Play Passes Attempted,bopPass Att,Open Play Passing By Direction,
Backward Open Play Passes Attempted per 90,bopPass Att per 90,Open Play Passing By Direction,
Backward Open Play Pass Completion Pct,bopPass Comp Pct,Open Play Passing By Direction,
Pct of all Pass Attempts that were Under Pressure,Pct Passes Pressed,Passing Under Pressure,
Passes Completed Under Pressure,PPass Comp,Passing Under Pressure,frequency
Passes Attempted Under Pressure,PPass Att,Passing Under Pressure,frequency
Passes Attempted Under Pressure per 90,PPass Att per 90,Passing Under Pressure,
Passes Under Pressure Completion Pct,PPass Comp Pct,Passing Under Pressure,
Pct of all Open Play Pass Attempts that were Under Pressure,Pct opPass Pressed,Adjusted Passing Under Pressure,
Pct of All Pass Attempts Under Pressure that went Forwards,rFreq PPass Fwd,Passing Under Pressure by Direction,
Pct of All Pass Attempts Under Pressure that went Sideways,rFreq PPass Side,Passing Under Pressure by Direction,
Pct of All Pass Attempts Under Pressure that went Backwards,rFreq PPass Back,Passing Under Pressure by Direction,
Forward Passes under Pressure Completed,fwPPass Comp,Passing Under Pressure by Direction,frequency
Forward Passes under Pressure Attempted,fwPPass Att,Passing Under Pressure by Direction,frequency
Forward Passes under Pressure Attempted per 90,fwPPass Att per 90,Passing Under Pressure by Direction,
Forward Passes under Pressure Comp Pct,fwPPass Comp Pct,Passing Under Pressure by Direction,
Side Passes under Pressure Completed,sPPass Comp,Passing Under Pressure by Direction,frequency
Side Passes under Pressure Attempted,sPPass Att,Passing Under Pressure by Direction,frequency
Side Passes under Pressure Attempted per 90,sPPass Att per 90,Passing Under Pressure by Direction,
Side Passes under Pressure Comp Pct,sPPass Comp Pct,Passing Under Pressure by Direction,
Backward Passes under Pressure Completed,bPPass Comp,Passing Under Pressure by Direction,frequency
Backward Passes under Pressure Attempted,bPPass Att,Passing Under Pressure by Direction,frequency
Backward Passes under Pressure Attempted per 90,bPPass Att per 90,Passing Under Pressure by Direction,
Backward Passes under Pressure Comp Pct,bPPass Comp Pct,Passing Under Pressure by Direction,
Take Ons Attempted,Take Ons,Possession,frequency
Take Ons Attempted per 90,Take Ons per 90,Possession,
Take Ons Won,TO Won,Possession,frequency
Take Ons Lost,TO Lost,Possession,frequency
Pct of all Take On Attempts that were Won,TO Win Pct,Possession,
Dispossessed by Opp,Dispossessed by Opp,Possession,frequency
Lost Touches,Lost Touches,Possession,frequency
All Possessions Disrupted,All Possessions Disrupted,Possession,frequency
All Poss Disrupted per 90,All Possessions Disrupted per 90,Possession,
Total Aerial Duels,Aerial Duels,Aerial Duels,frequency
Aerial Duels per 90,Aerial Duels per 90,Aerial Duels,
Aerial Duels Won,AD Won,Aerial Duels,frequency
Aerial Duels Lost,AD Lost,Aerial Duels,frequency
Aerial Duels Win Pct,AD Win Pct,Aerial Duels,
Tackles,Tackles,Player Defending,frequency
Dispossessed the Possessing Player,Dispossessed Opp,Player Defending,frequency
