"event","time","poss.position","poss.team","poss.player","poss.action","poss.location","poss.play.destination","play.type","def.position","def.team","def.player","def.action","def.location","gk.ball.stop","gk.s.o.g.attempt","poss.player.disciplinary","poss.notes","def.player.disciplinary","def.notes"
1,"1",NA,NA,NA,"kickoff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"1",NA,"PSG","Mittag","passes.b.c","DM3C","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"1",NA,"PSG","Hamraoui","passes.b.c","DM3C","D18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"1","GK","PSG","Berger","movement","D18","D3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"1","GK","PSG","Berger","passes.f.c","D3C","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"1",NA,"PSG","Houara","aerial.won","AM3L",NA,NA,NA,"LYON","Kumagai","aerial.lost","DM3R",NA,NA,NA,NA,NA,NA
7,"1",NA,"PSG","Delannoy","passes.f","AM3L",NA,"throw.in",NA,"LYON","Majri","blocks",NA,NA,NA,NA,NA,NA,NA
8,"1",NA,"PSG","Houara","aerial.lost","A3R",NA,NA,NA,"LYON","Majri","aerial.won","D3L",NA,NA,NA,NA,NA,NA
9,"1",NA,"PSG","Cruz","passes.b.c","A3R","A3C",NA,NA,"LYON","Majri","pressured","D3L",NA,NA,NA,NA,NA,NA
9,"1",NA,NA,NA,NA,NA,NA,NA,NA,"LYON","Hegerberg","pressured",NA,NA,NA,NA,NA,NA,NA
10,"1",NA,"PSG","Hamraoui","passes.f.c","A3C","A3L",NA,NA,"LYON","Abily","pressured","D3C",NA,NA,NA,NA,NA,NA
11,"1",NA,"PSG","Boulleau","passes.s.c","A3L","A3L",NA,NA,"LYON","Kaci","pressured","D3R",NA,NA,NA,NA,NA,NA
12,"1",NA,"PSG","Cristiane","take.on.won","A3L",NA,NA,NA,"LYON","Kaci","dribbled.tackles.missed","D3R",NA,NA,NA,NA,NA,NA
13,"2",NA,"PSG","Cristiane","passes.s.c","A3L","A3L","corner.crosses",NA,"LYON","Kaci","pressured","D3R",NA,NA,NA,NA,NA,NA
