"event","time","poss.position","poss.team","poss.player","poss.action","poss.location","poss.play.destination","play.type","def.position","def.team","def.player","def.action","def.location","gk.ball.stop","gk.s.o.g.attempt","poss.player.disciplinary","poss.notes","def.player.disciplinary","def.notes","poss.number","def.number"
1,1,NA,NA,NA,"kickoff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,"F","USA","Heath","passes.b.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1,"M","USA","Brian","passes.b.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1,"M","USA","Long","passes.f",NA,NA,NA,"F","JPN","Chiba","blocks",NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1,"M","USA","Long","recoveries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1,"M","USA","Long","passes.f.c",NA,NA,NA,"F","JPN","Chiba","challenged",NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1,NA,NA,NA,NA,NA,NA,NA,"F","JPN","Ogimi","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1,"F","USA","Dunn","passes.f",NA,NA,NA,"M","JPN","Utsugi","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1,NA,NA,NA,NA,NA,NA,NA,"D","JPN","Sasaki","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1,NA,NA,NA,NA,NA,NA,NA,"D","JPN","Kumagai","interceptions",NA,NA,NA,NA,NA,NA,NA,NA,NA
8,1,"D","JPN","Kumagai","passes.s",NA,NA,NA,"M","USA","Pugh","challenged",NA,NA,NA,NA,"out.of.bounds.lost.poss",NA,NA,NA,NA
9,1,"D","USA","O'Hara","passes.f.c",NA,NA,"throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,1,"F","USA","Dunn","passes.s.c",NA,NA,NA,"D","JPN","Sasaki","challenged",NA,NA,NA,NA,NA,NA,NA,NA,NA
11,1,"M","USA","Pugh","passes.f",NA,NA,NA,"M","JPN","Utsugi","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA
12,1,"F","USA","Dunn","offside.calls",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,2,"GK","JPN","Yamashita","passes.f",NA,NA,"free.kick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,2,NA,NA,NA,NA,NA,NA,"launch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,2,"F","JPN","Chiba","aerial.lost",NA,NA,NA,"D","USA","Johnston","aerial.lost",NA,NA,NA,NA,NA,NA,NA,NA,NA
15,2,"D","USA","Sauerbrunn","recoveries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,2,"D","USA","Sauerbrunn","passes.b.c",NA,NA,NA,"F","JPN","Iwabuchi","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA
17,2,"GK","USA","Solo","movement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,2,"GK","USA","Solo","passes.f.c",NA,NA,NA,"F","JPN","Iwabuchi","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA
19,2,"D","USA","Sauerbrunn","passes.s.c",NA,NA,NA,"F","JPN","Iwabuchi","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA
